区分,BS-1／耐火造構成比(%),BS-2／準耐火造構成比(%),BS-3／防火造構成比(%),BS-4／木造構成比(%)
BP-1／官公庁施設,77,15.9,6.1,1
BP-2／教育文化施設,75.9,10.8,7.4,5.9
BP-3／厚生医療施設,80.5,12.1,6.6,0.8
BP-4／供給処理施設,83.6,13.4,2.6,0.4
BC-1／事務所建築物,65.5,23.7,9.1,1.7
BC-2／専用商業施設,58.9,32.8,7.2,1.1
BC-3／住商併用施設,33.1,15.4,45.4,6.1
BC-4／宿泊・遊興施設,62.8,20.1,12,5.1
BC-5／スポーツ・興行施設,71.5,22.4,4.7,1.3
BR-1／独立住宅,1.3,13.4,73.6,11.7
BR-2／集合住宅,60.6,18.3,20.3,0.8
BI-1／専用工場,42.1,47.3,7.1,3.5
BI-2／住居併用工場,15,26.2,42.9,15.9
BI-3／倉庫運輸関係施設,43.1,42.9,8.5,5.5
BA／農林漁業施設,2.7,28.6,16.2,52.4
