地域,Area,BP／公共構成比(%),BC／商業構成比(%),BR／住宅構成比(%),BI／工業構成比(%),BA／農業構成比(%)
八王子市,Hachioji,17.7,10.7,63.7,7.3,0.6
立川市,Tachikawa,16.2,13.5,62.3,6.5,1.5
武蔵野市,Musashino,16.9,10.8,70.2,1.9,0.3
三鷹市,Mitaka,20.2,7.9,67.6,4,0.3
青梅市,Ome,16.8,9.8,62.3,10.3,0.9
府中市,Fuchu,17.9,13.2,58.3,10.2,0.4
昭島市,Akishima,14.3,14.8,56.6,14.1,0.2
調布市,Chofu,15.9,11.7,68.1,3.8,0.5
町田市,Machida,13.4,9.1,73.3,3.7,0.5
小金井市,Koganei,20.9,7.1,70.2,1.4,0.3
小平市,Kodaira,19,8.5,65.2,7.2,0.2
日野市,Hino,13.5,7,70.1,9.1,0.2
東村山市,Higashimurayama,17.4,8.7,67.9,5.2,0.7
国分寺市,Kokubunji,15.4,7.4,74.9,1.6,0.7
国立市,Kunitachi,24.3,9.2,61.5,4.7,0.3
福生市,Fussa,12,12.8,68.9,5.6,0.6
狛江市,Komae,10.7,7,79.4,2.5,0.4
東大和市,Higashiyamato,11.8,12.2,68.8,5.9,1.3
清瀬市,Kiyose,26.9,6.4,61.6,2.4,2.7
東久留米市,Higashikurume,13,10.5,68.4,5.4,2.7
武蔵村山市,Musashimurayama,12,12.7,62.8,12,0.5
多摩市,Tama,20.7,11.8,64.4,2.8,0.3
稲城市,Inagi,15.5,12.9,63.4,7.2,1
羽村市,Hamura,10.5,10.2,51.3,26.9,1.1
あきる野市,Akiruno,12.8,10.6,67.6,7.1,1.9
西東京市,Nishitokyo,13.2,8.8,74.5,3.1,0.4
瑞穂町,Mizuho,8.3,13.5,44.4,28.8,4.9
日の出町,Hinode,22.9,9.2,48,14.9,5.1
