産業,件数平成27（件）,件数28（件）,件数29（件）,件数30（件）,件数令和元（件）,構成比平成27（％）,構成比28（％）,構成比29（％）,構成比30（％）,構成比令和元（％）
総数,87,87,73,60,48,100,100,100,100,100
Ａ・Ｂ・Ｃ　農・林・漁・鉱,-,-,-,-,- ,-,-,-,-,- 
Ｄ　建設業,2,3,2,3,2,2.3,3.4,2.7,5,4.2
Ｅ　製造業,10,10,3,3,5,11.5,11.5,4.1,5,10.4
Ｆ　電気・ガス・熱供給・水道業,-,-,-,-,1,-,-,-,-,2.1
Ｇ　情報通信業,9,5,5,5,5,10.3,5.7,6.8,8.3,10.4
Ｈ　運輸・郵便業,17,6,10,9,5,19.5,6.9,13.7,15,10.4
Ｉ　卸売・小売業,12,12,6,8,8,13.8,13.8,8.2,13.3,16.7
Ｊ・Ｋ　金融・保険・不動産・物品賃貸業,-,4,-,1,1,-,4.6,-,1.7,2.1
Ｌ　学術研究・専門サービス業,6,4,2,3,1,6.9,4.6,2.7,5,2.1
Ｍ　宿泊業・飲食サービス業,2,4,8,2,7,2.3,4.6,11,3.3,14.6
Ｎ　生活関連サービス業・娯楽業,2,5,2,1,1,2.3,5.7,2.7,1.7,2.1
Ｏ　教育・学習支援業,8,14,8,10,8,9.2,16.1,11,16.7,16.7
Ｐ　医療・福祉,7,9,14,9,2,8,10.3,19.2,15,4.2
Ｑ　複合サービス事業,-,1,1,-,- ,-,1.1,1.4,-,- 
Ｒ　サービス業,12,10,11,6,2,13.8,11.5,15.1,10,4.2
Ｓ　公務,-,-,1,-,- ,-,-,1.4,-,- 
Ｔ　分類不能,-,-,-,-,- ,-,-,-,-,- 
