区分１,区分２,区分３,平成25,26（一部分離命令で外数）,26,27,28（一部分離命令で外数）,28,29（一部分離命令で外数）,29,30,令和元,2,3（一部分離命令で外数）,3,4
取扱件数（件）,,,427,,447,440,,398,,399,406,412,429,,449,441
取扱件数,前年繰越（件）,,309,,315,323,,301,,294,309,317,313,,350,358
取扱件数,新規申立（件）,,118,,132,117,,97,,105,97,95,116,,99,83
終結件数（件）,,,112,1,124,139,1,104,5,90,89,99,79,2,91,75
終結件数（％）,,,100,,100,100,,100,,100,100,100,100,,100,100
終結件数,取下・和解（件）,,82,,93,114,,85,,72,77,75,56,,69,57
終結件数,取下・和解（％）,,73.2,,75,82,,81.7,,80,86.5,75.8,70.9,,75.8,76
終結件数,取下・和解,取下（件）,15,,17,19,,16,,5,10,15,10,,19,13
終結件数,取下・和解,取下（％）,13.4,,13.7,13.7,,15.4,,5.6,11.2,15.2,12.7,,20.9,17.3
終結件数,取下・和解,無関与和解（件）,13,,12,11,,12,,16,10,12,22,,12,13
終結件数,取下・和解,無関与和解（％）,11.6,,9.7,7.9,,11.5,,17.8,11.2,12.1,27.8,,13.2,17.3
終結件数,取下・和解,関与和解（件）,54,,64,84,,57,,51,57,48,24,,38,31
終結件数,取下・和解,関与和解（％）,48.2,,51.6,60.4,,54.8,,56.7,64,48.5,30.4,,41.7,41.3
終結件数,命令・決定（件）,,30,1,31,25,1,19,5,18,12,24,23,2,22,18
終結件数,命令・決定（％）,,26.8,,25,18,,18.3,,20,13.5,24.2,29.1,,24.2,24
終結件数,命令・決定,全部救済（件）,9,1,4,6,1,3,4,12,3,10,8,,9,4
終結件数,命令・決定,全部救済（％）,8,,3.2,4.3,,2.9,,13.3,3.4,10.1,10.1,,9.9,5.3
終結件数,命令・決定,一部救済（件）,16,,15,10,,8,1,4,7,10,9,,5,8
終結件数,命令・決定,一部救済（％）,14.3,,12.1,7.2,,7.7,,4.4,7.9,10.1,11.4,,5.5,10.7
終結件数,命令・決定,棄却（件）,4,,12,9,,8,,2,1,4,4,1,8,5
終結件数,命令・決定,棄却（％）,3.6,,9.7,6.5,,7.7,,2.2,1.1,4,5.1,,8.8,6.7
終結件数,命令・決定,却下（件）,1,,-,-,,-,,-,1,-,2,1,-,1
終結件数,命令・決定,却下（％）,0.9,,,,,,,,1.1,,2.5,,,1.3
終結件数,命令・決定,救済率（％）,56.7,,39.1,44,,40,,80.4,54.2,62.5,54.3,,52.3,44.4
終結件数,終結率（％）,,26.2,,27.7,31.6,,26.1,,22.6,21.9,24,18.4,,20.3,17
次年繰越（件）,,,315,,323,301,,294,,309,317,313,350,,358,366
