区分１,区分２,区分３,平成22,23,24,25,26,27,28,29,30,令和元
取扱件数（件）,,,382,429,410,385,401,385,318,327,328,336
取扱件数,前年繰越（件）,,210,246,249,228,219,230,191,182,198,204
取扱件数,新規申請（件）,,172,183,161,157,182,155,127,145,130,132
終結件数（件）,,,136,180,182,166,171,194,136,129,124,143
終結件数（％）,,,100,100,100,100,100,100,100,100,100,100
終結件数,取下（件）,,2,1,-,2,3,3,2,1,2,1
終結件数,取下（％）,,1.5,0.6,,1.2,1.8,1.5,1.5,0.8,1.6,0.7
終結件数,打切（件）,,85,111,111,95,101,136,94,78,87,88
終結件数,打切（％）,,62.5,61.7,61,57.2,59.1,70.1,69.1,60.5,70.2,61.5
終結件数,資格あり（件）,,49,68,71,68,67,55,40,50,34,54
終結件数,資格あり（％）,,36,37.8,39,41,39.2,28.4,29.4,38.8,27.4,37.8
終結件数,資格あり,補正勧告あり（件）,-,-,-,-,-,-,-,-,-,- 
終結件数,資格あり,補正勧告なし（件）,49,68,71,68,67,55,40,50,34,54
終結件数,資格なし（件）,,-,-,-,1,-,-,-,-,1,- 
終結件数,資格なし（％）,,,,,0.6,,,,,0.8,
次年繰越（件）,,,246,249,228,219,230,191,182,198,204,193
