区分１,区分２,25（調停件数で内数）,25,26,27,28,29,30,令和元,2,3（調停件数で内数）,3,4
取扱件数（件）,,1,131,120,97,103,89,83,69,72,1,94,77
取扱件数,前年繰越（件）,,25,34,10,16,16,23,21,16,,11,27
取扱件数,新規開始（件）,1,106,86,87,87,73,60,48,56,1,83,50
終結件数（件）,,1,97,110,81,87,66,62,53,61,1,67,61
終結件数（％）,,,100,100,100,100,100,100,100,100,,100,100
終結件数,解決（件）,,43,50,43,39,25,26,19,19,,32,32
終結件数,解決（％）,,44.3,45.5,53.1,44.8,37.9,41.9,35.8,31.1,,47.8,52.5
終結件数,取下（件）,,22,21,10,14,12,8,7,6,,7,5
終結件数,取下（％）,,22.7,19.1,12.3,16.1,18.2,12.9,13.2,9.8,,10.4,8.2
終結件数,打切（件）,1,32,39,28,33,29,28,27,36,,27,23
終結件数,打切（％）,,32,35.5,34.6,37.9,43.9,45.2,50.9,59,,40.3,37.7
終結件数,不調（件）,,-,-,-,-,-,-,-,-,,-,-
終結件数,裁定（件）,,-,-,-,-,-,-,-,-,,-,-
終結件数,解決率（％）,,57.3,56.2,60.6,54.2,46.3,48.1,41.3,34.5,,54.2,58.2
終結件数,終結率（％）,,74,91.7,83.5,84.5,74.2,74.7,76.8,84.7,,71.3,79.2
次年繰越（件）,,,34,10,16,16,23,21,16,11,,27,16
