理由,平成27,28,29,30,令和元
総数（件）,10,14,12,8,7
総数（％）,100,100,100,100,100
自主交渉で解決、又はその見通しがつく（件）,-,2,3,2,1
自主交渉で解決、又はその見通しがつく（％）,,14.3,25,25,14.3
自主交渉で解決したい（件）,-,2,1,1,1
自主交渉で解決したい（％）,,14.3,8.3,12.5,14.3
審査手続又は裁判所で和解（件）,-,-,-,1,1
審査手続又は裁判所で和解（％）,,,,12.5,14.3
不当労働行為事件命令交付（件）,-,-,-,-,-
不当労働行為事件命令交付（％）,,,,,
調停申請、不当労働行為申立、裁判所提訴（件）,2,3,2,1,-
調停申請、不当労働行為申立、裁判所提訴（％）,20,21.4,16.7,12.5,
調整拒否（件）,1,-,2,1,4
調整拒否（％）,10,,16.7,12.5,57.1
当事者主張固持歩みより困難（件）,4,6,3,-,-
当事者主張固持歩みより困難（％）,40,42.9,25,,
その他（件）,3,1,1,2,-
その他（％）,30,7.1,8.3,25,
