区分１,区分２,件数平成27（件）,件数28（件）,件数29（件）,件数30（件）,件数令和元（件）,構成比平成27（％）,構成比28（％）,構成比29（％）,構成比30（％）,構成比令和元（％）
申立件数,,117,97,105,97,95,100,100,100,100,100
大分類,1号関係,43,35,39,37,30,36.8,36.1,37.1,38.1,31.6
大分類,2号関係,96,73,79,71,75,82.1,75.3,75.2,73.2,78.9
大分類,3号関係,54,41,64,66,56,46.2,42.3,61,68,58.9
大分類,4号関係,1,-,5,2,1,0.9,-,4.8,2.1,1.1
内訳,1号,5,6,2,1,- ,4.3,6.2,1.9,1,- 
内訳,2号,54,41,31,24,35,46.2,42.3,29.5,24.7,36.8
内訳,3号,7,8,12,12,11,6,8.2,11.4,12.4,11.6
内訳,4号,-,-,-,-,- ,-,-,-,-,- 
内訳,1・2号,4,9,8,5,4,3.4,9.3,7.6,5.2,4.2
内訳,1・3号,9,10,9,12,9,7.7,10.3,8.6,12.4,9.5
内訳,1・4号,-,-,-,-,- ,-,-,-,-,- 
内訳,2・3号,13,13,22,23,19,11.1,13.4,21,23.7,20
内訳,2・4号,-,-,-,1,- ,-,-,-,1,- 
内訳,3・4号,-,-,1,-,- ,-,-,1,-,- 
内訳,1・2・3号,24,10,16,18,16,20.5,10.3,15.2,18.6,16.8
内訳,1・2・4号,-,-,-,-,- ,-,-,-,-,- 
内訳,1・3・4号,-,-,2,1,- ,-,-,1.9,1,- 
内訳,2・3・4号,-,-,-,-,- ,-,-,-,-,- 
内訳,1・2・3・4号,1,-,2,-,1,0.9,-,1.9,-,1.1
