事項１,事項２,平成27（件）,28（件）,29（件）,30（件）,令和元（件）
総数,,196,189,158,126,103
１件当たり平均事項数,,2.25,2.17,2.16,2.1,2.15
組合承認・組合活動等,,6,4,7,3,5
協約締結・全面改定,,2,-,-,2,1
協約効力・解釈,,2,3,2,-,-
賃金等,,41,39,42,29,24
賃金等,賃金増額,3,2,4,2,3
賃金等,一時金,6,5,6,3,7
賃金等,諸手当,9,5,9,9,-
賃金等,その他賃金に関するもの,18,19,15,12,12
賃金等,退職一時金・年金,3,3,5,3,1
賃金等,解雇・休業手当,2,5,3,-,1
給与以外の労働条件,,28,24,21,19,13
給与以外の労働条件,労働時間,4,3,4,3,3
給与以外の労働条件,休日・休暇,4,2,3,3,2
給与以外の労働条件,作業方法の変更,-,-,-,-,-
給与以外の労働条件,定年制,-,1,2,2,-
給与以外の労働条件,その他の労働条件,20,18,12,11,8
経営又は人事,,46,59,28,34,19
経営又は人事,事業休廃止・事業縮小,4,6,1,1,1
経営又は人事,企業合併・営業譲渡,-,1,-,-,-
経営又は人事,人員整理,1,3,-,1,-
経営又は人事,配置転換,8,9,1,5,3
経営又は人事,解雇,28,32,24,24,14
経営又は人事,その他の経営・人事,5,8,2,3,1
福利厚生,,2,1,-,-,2
団交促進,,57,54,53,39,31
事前協議制,,1,-,-,-,1
その他,,11,5,5,-,7
