事項１,事項２,平成27（件）,28(件）,29（件）,30（件）,令和元（件）
総数,,88,77,75,61,49
組合承認・組合活動等,,4,4,3,2,5
協約締結・全面改定,,1,-,-,-,1
協約効力・解釈,,1,-,1,-,-
賃金等,,28,24,33,19,15
賃金等,賃金増額,2,1,4,2,3
賃金等,一時金,5,3,6,3,5
賃金等,諸手当,7,3,6,5,-
賃金等,その他賃金に関するもの,10,14,11,9,6
賃金等,退職一時金・年金,3,1,3,-,1
賃金等,解雇・休業手当,1,2,3,-,-
給与以外の労働条件,,22,14,14,17,9
給与以外の労働条件,労働時間,4,2,2,3,1
給与以外の労働条件,休日・休暇,4,2,3,3,1
給与以外の労働条件,作業方法の変更,-,-,-,-,-
給与以外の労働条件,定年制,-,-,1,2,-
給与以外の労働条件,その他の労働条件,14,10,8,9,7
経営又は人事,,23,30,20,23,11
経営又は人事,事業休廃止・事業縮小,2,3,-,1,1
経営又は人事,企業合併・営業譲渡,-,-,-,-,-
経営又は人事,人員整理,1,2,-,1,-
経営又は人事,配置転換,4,5,1,4,2
経営又は人事,解雇,14,16,17,15,7
経営又は人事,その他の経営・人事,2,4,2,2,1
福利厚生,,2,-,-,-,2
団交ﾙｰﾙ設定・当事者の態度等,,-,-,-,-,-
事前協議制,,-,-,-,-,1
その他,,7,5,4,-,5
