区分１,区分２,区分３,平成27（日）,28（日）,29（日）,30（日）,令和元（日）
総平均日数,,,496.9,472.5,417.5,401.8,513.3
総平均日数,うち、長期以外,,407.6,459.4,417.5,385.2,513.3
総平均日数,うち、長期以外,全部救済,653.3,739.7,602.5,776.7,765.2
総平均日数,うち、長期以外,一部救済,898.4,861.6,958.8,815.9,992.8
総平均日数,うち、長期以外,棄却,883.1,1051.1,569,554,793.8
総平均日数,うち、長期以外,却下,-,-,-,1056,- 
総平均日数,うち、長期以外,関与和解,336.8,317.3,374.1,351.7,438
総平均日数,うち、長期以外,無関与和解,214.8,482.8,320.7,218.4,297.6
総平均日数,うち、長期以外,取下,307.5,435.6,231.8,236.7,364.1
終結事件総数（件）,,,139,104,90,89,99
終結事件数（長期以外）（件）,,,133,103,90,88,99
