区分１,区分２,区分３,平成22,23（一部分離命令で外数）,23,24,25,26（一部分離命令で外数）,26,27,28（一部分離命令で外数）,28,29（一部分離命令で外数）,29,30,令和元
取扱件数（件）,,,426,,447,430,427,,447,440,,398,,399,406,412
取扱件数,前年繰越（件）,,301,,332,327,309,,315,323,,301,,294,309,317
取扱件数,新規申立（件）,,125,,115,103,118,,132,117,,97,,105,97,95
終結件数（件）,,,94,1,120,121,112,1,124,139,1,104,5,90,89,99
終結件数（％）,,,100,,100,100,100,,100,100,,100,,100,100,100
終結件数,取下・和解（件）,,77,,96,90,82,,93,114,,85,,72,77,75
終結件数,取下・和解（％）,,81.9,,80,74.4,73.2,,75,82,,81.7,,80,86.5,75.8
終結件数,取下・和解,取下（件）,23,,18,23,15,,17,19,,16,,5,10,15
終結件数,取下・和解,取下（％）,24.5,,15,19,13.4,,13.7,13.7,,15.4,,5.6,11.2,15.2
終結件数,取下・和解,無関与和解（件）,12,,8,8,13,,12,11,,12,,16,10,12
終結件数,取下・和解,無関与和解（％）,12.8,,6.7,6.6,11.6,,9.7,7.9,,11.5,,17.8,11.2,12.1
終結件数,取下・和解,関与和解（件）,42,,70,59,54,,64,84,,57,,51,57,48
終結件数,取下・和解,関与和解（％）,44.7,,58.3,48.8,48.2,,51.6,60.4,,54.8,,56.7,64,48.5
終結件数,命令・決定（件）,,17,1,24,31,30,1,31,25,1,19,5,18,12,24
終結件数,命令・決定（％）,,18.1,,20,25.6,26.8,,25,18,,18.3,,20,13.5,24.2
終結件数,命令・決定,全部救済（件）,4,1,14,7,9,1,4,6,1,3,4,12,3,10
終結件数,命令・決定,全部救済（％）,4.3,,11.7,5.8,8,,3.2,4.3,,2.9,,13.3,3.4,10.1
終結件数,命令・決定,一部救済（件）,9,,9,17,16,,15,10,,8,1,4,7,10
終結件数,命令・決定,一部救済（％）,9.6,,7.5,14,14.3,,12.1,7.2,,7.7,,4.4,7.9,10.1
終結件数,命令・決定,棄却（件）,4,,1,6,4,,12,9,,8,,2,1,4
終結件数,命令・決定,棄却（％）,4.3,,0.8,5,3.6,,9.7,6.5,,7.7,,2.2,1.1,4
終結件数,命令・決定,却下（件）,-,,-,1,1,,-,-,,-,,-,1,-
終結件数,命令・決定,却下（％）,,,,0.8,0.9,,,,,,,,1.1,
終結件数,命令・決定,救済率（％）,50,,78,50,56.7,,39.1,44,,40,,80.4,54.2,62.5
終結件数,終結率（％）,,22.1,,26.8,28.1,26.2,,27.7,31.6,,26.1,,22.6,21.9,24
次年繰越（件）,,,332,,327,309,315,,323,301,,294,,309,317,313
