規模,平成27,28,29,30,令和元
総数（件）,87,87,73,60,48
総数（％）,100,100,100,100,100
49人以下（件）,5,11,12,11,7
49人以下（％）,5.7,12.6,16.4,18.3,14.6
50～99（件）,12,12,6,8,8
50～99（％）,13.8,13.8,8.2,13.3,16.7
100～199（件）,15,16,13,9,3
100～199（％）,17.2,18.4,17.8,15,6.3
200～299（件）,2,6,4,3,2
200～299（％）,2.3,6.9,5.5,5,4.2
300～499（件）,15,12,10,11,4
300～499（％）,17.2,13.8,13.7,18.3,8.3
500～999（件）,8,11,9,6,9
500～999（％）,9.2,12.6,12.3,10,18.8
"1,000人以上（件）",27,17,18,10,12
"1,000人以上（％）",31,19.5,24.7,16.7,25
不詳（件）,3,2,1,2,3
不詳（％）,3.4,2.3,1.4,3.3,6.3
