年,不当労働行為前年からの繰越件数（審査再開件数で内数）(a),不当労働行為前年からの繰越件数(a),不当労働行為新規係属件数（審査再開件数で内数）(b),不当労働行為新規係属件数(b),不当労働行為取扱件数（審査再開件数で内数）(a)+(b),不当労働行為取扱件数(a)+(b),不当労働行為終結件数（一部分離命令件数で外数）,不当労働行為終結件数（審問再開件数で内数）,不当労働行為終結件数,資格審査前年からの繰越件数(a),資格審査新規係属件数(b),資格審査取扱件数(a)+(b),資格審査終結件数
昭和21,,―,,13,,13,,,6,,,,
22,,7,,48,,55,,,47,,,,
23,,8,,90,,98,,,78,―,9,9,6
24,,20,,62,,82,,,61,3,107,110,77
25,,21,,44,,65,2,,49,33,191,224,204
26,,16,,37,,53,,,46,20,168,188,174
27,,7,,37,,44,,,38,14,119,133,129
28,,6,,50,,56,,,30,4,68,72,56
29,,26,,37,,63,,,40,16,98,114,95
30,,23,,46,,69,,,57,19,100,119,111
31,,12,,35,,47,,,36,8,56,64,53
32,,11,,38,,49,,,34,11,65,76,66
33,,15,,48,,63,,,50,10,78,88,76
34,,13,,58,,71,,,48,12,98,110,93
35,,23,,45,,68,,,46,17,78,95,69
36,,22,,74,,96,,,56,26,94,120,82
37,,40,,88,,128,,,61,38,143,181,119
38,,67,,67,,134,,,63,62,92,154,114
39,,71,,62,,133,,,60,40,99,139,86
40,,73,,70,,143,,,64,53,124,177,102
41,,79,,88,,167,,,72,75,156,231,125
42,,95,,102,,197,,,60,106,148,254,128
43,,137,,77,,214,,,75,126,131,257,122
44,,139,,81,,220,,,75,135,157,292,149
45,,145,,102,,247,,,95,143,131,274,126
46,,152,,101,,253,1,,82,148,165,313,163
47,,171,,143,,314,,,94,150,255,405,167
48,,220,,104,,324,,,93,238,181,419,164
49,,231,,131,,362,,,76,255,204,459,147
50,,286,,141,,427,,,140,312,286,598,238
51,,287,,129,,416,,,107,360,223,583,215
52,,309,1,114,1,423,,,158,368,203,571,194
53,1,265,,146,1,411,,,113,377,255,632,210
54,1,298,,137,1,435,1,,106,422,216,638,186
55,1,329,,116,1,445,2,1,109,452,189,641,191
56,,336,,153,,489,2,,110,450,245,695,189
57,,379,,124,,503,1,,96,506,209,715,191
58,,407,,119,,526,,,118,524,213,737,248
59,,408,,91,,499,,,99,489,161,650,185
60,,400,,116,,516,,,118,465,200,665,178
61,,398,,107,,505,,,82,487,205,692,162
62,,423,,108,,531,,,98,530,233,763,178
63,,433,,89,,522,,,118,585,155,740,246
平成元,,404,,76,,480,,,89,494,111,605,173
2,,391,,68,,459,,,84,432,97,529,136
3,,375,,74,,449,1,,63,393,152,545,139
4,,386,,81,,467,,,164,406,127,533,119
5,,303,,67,,370,1,,84,414,112,526,181
6,,286,,101,,387,,,57,345,156,501,94
7,,330,,87,,417,,,55,407,157,564,115
8,,362,,98,,460,,,67,449,153,602,107
9,,393,,77,,470,,,145,495,137,632,164
10,,325,,100,,425,,,85,468,153,621,111
11,,340,,114,,454,,,71,510,195,705,154
12,,383,,124,,507,,,111,551,165,716,175
13,,396,,96,,492,,,105,541,162,703,206
14,,387,,125,,512,1,,108,497,183,680,189
15,,404,,115,,519,,,96,491,186,677,172
16,,423,,85,,508,,,102,505,145,650,192
17,,406,,102,,508,,,138,458,138,596,273
