事項１,事項２,平成30（件）,令和元（件）,2（件）,3（件）,4（件）
総数,,61,49,51,87,52
組合承認・組合活動等,,2,5,-,2,-
協約締結・全面改定,,-,1,-,-,1
協約効力・解釈,,-,-,-,-,-
賃金等,,19,15,17,34,18
賃金等,賃金増額,2,3,1,5,3
賃金等,一時金,3,5,3,5,5
賃金等,諸手当,5,-,3,4,2
賃金等,その他賃金に関するもの,9,6,7,10,8
賃金等,退職一時金・年金,-,1,1,4,-
賃金等,解雇・休業手当,-,-,2,6,-
給与以外の労働条件,,17,9,8,20,10
給与以外の労働条件,労働時間,3,1,2,2,3
給与以外の労働条件,休日・休暇,3,1,2,1,1
給与以外の労働条件,作業方法の変更,-,-,-,2,-
給与以外の労働条件,定年制,2,-,1,3,1
給与以外の労働条件,その他の労働条件,9,7,3,12,5
経営又は人事,,23,11,20,24,18
経営又は人事,事業休廃止・事業縮小,1,1,1,-,-
経営又は人事,企業合併・営業譲渡,-,-,1,-,-
経営又は人事,人員整理,1,-,1,-,1
経営又は人事,配置転換,4,2,4,4,2
経営又は人事,解雇,15,7,10,14,11
経営又は人事,その他の経営・人事,2,1,3,6,4
福利厚生,,-,2,1,2,-
団交ﾙｰﾙ設定・当事者の態度等,,-,-,-,-,1
事前協議制,,-,1,-,-,-
その他,,-,5,5,5,4
