区分,件数平成27（件）,件数28（件）,件数29（件）,件数30（件）,件数令和元（件）,構成比平成27（％）,構成比28（％）,構成比29（％）,構成比30（％）,構成比令和元（％）
総数,117,97,105,97,95,100,100,100,100,100
Ａ・Ｂ・Ｃ　農・林・漁・鉱,-,-,-,-,- ,-,-,-,-,-
Ｄ　建設業,2,3,2,3,3,1.7,3.1,1.9,3.1,3.2
Ｅ　製造業,22,14,6,9,15,18.8,14.4,5.7,9.3,15.8
Ｆ　電気・ガス・熱供給・水道業,-,-,1,2,- ,-,-,1,2.1,- 
Ｇ　情報通信業,3,11,11,13,4,2.6,11.3,10.5,13.4,4.2
Ｈ　運輸・郵便業,19,13,24,17,13,16.2,13.4,22.9,17.5,13.7
Ｉ　卸売・小売業,12,13,13,9,13,10.3,13.4,12.4,9.3,13.7
Ｊ・Ｋ　金融・保険・不動産・物品賃貸業,2,3,5,5,6,1.7,3.1,4.8,5.2,6.3
Ｌ　学術研究・専門サービス業,4,2,7,3,4,3.4,2.1,6.7,3.1,4.2
Ｍ　宿泊業・飲食サービス業,9,11,1,6,10,7.7,11.3,1,6.2,10.5
Ｎ　生活関連サービス業・娯楽業,4,4,6,2,3,3.4,4.1,5.7,2.1,3.2
Ｏ　教育・学習支援業,15,6,7,8,6,12.8,6.2,6.7,8.2,6.3
Ｐ　医療・福祉,5,9,13,12,6,4.3,9.3,12.4,12.4,6.3
Ｑ　複合サービス事業,-,-,-,-,1,-,-,-,-,1.1
Ｒ　サービス業,14,8,7,4,10,12,8.2,6.7,4.1,10.5
Ｓ　公務,6,-,2,4,1,5.1,-,1.9,4.1,1.1
Ｔ　分類不能,-,-,-,-,- ,-,-,-,-,- 
