区分,平成27,28,29,30,令和元
総数（件）,117,97,105,97,95
総数（％）,100,100,100,100,100
49人以下（件）,33,29,27,33,23
49人以下（％）,28.2,29.9,25.7,34,24.2
50～99（件）,11,11,18,8,8
50～99（％）,9.4,11.3,17.1,8.2,8.4
100～199（件）,13,9,14,6,9
100～199（％）,11.1,9.3,13.3,6.2,9.5
200～299（件）,7,5,6,7,7
200～299（％）,6,5.2,5.7,7.2,7.4
300～499（件）,6,7,9,5,5
300～499（％）,5.1,7.2,8.6,5.2,5.3
500～999（件）,6,4,5,4,9
500～999（％）,5.1,4.1,4.8,4.1,9.5
"1,000人以上（件）",29,14,22,27,19
"1,000人以上（％）",24.8,14.4,21,27.8,20
不詳（件）,12,18,4,7,15
不詳（％）,10.3,18.6,3.8,7.2,15.8
