事項１,事項２,平成30（件）,令和元（件）,2（件）,3（件）,4（件）
総数,,126,103,116,192,109
１件当たり平均事項数,,2.1,2.15,2.07,2.31,2.18
組合承認・組合活動等,,3,5,3,3,1
協約締結・全面改定,,2,1,-,2,1
協約効力・解釈,,-,-,-,-,-
賃金等,,29,24,31,51,26
賃金等,賃金増額,2,3,1,5,4
賃金等,一時金,3,7,4,5,6
賃金等,諸手当,9,-,6,6,5
賃金等,その他賃金に関するもの,12,12,12,18,10
賃金等,退職一時金・年金,3,1,2,6,-
賃金等,解雇・休業手当,-,1,6,11,1
給与以外の労働条件,,19,13,9,28,13
給与以外の労働条件,労働時間,3,3,3,2,4
給与以外の労働条件,休日・休暇,3,2,2,2,1
給与以外の労働条件,作業方法の変更,-,-,-,2,-
給与以外の労働条件,定年制,2,-,1,4,2
給与以外の労働条件,その他の労働条件,11,8,3,18,6
経営又は人事,,34,19,28,43,25
経営又は人事,事業休廃止・事業縮小,1,1,1,2,-
経営又は人事,企業合併・営業譲渡,-,-,1,-,-
経営又は人事,人員整理,1,-,1,-,1
経営又は人事,配置転換,5,3,4,9,4
経営又は人事,解雇,24,14,17,25,16
経営又は人事,その他の経営・人事,3,1,4,7,4
福利厚生,,-,2,1,2,-
団交促進,,39,31,33,50,37
事前協議制,,-,1,0,1,1
その他,,-,7,11,12,5
