区分１,区分２,平成22,23,24,25（調停件数で内数）,25,26,27,28,29,30,令和元
取扱件数（件）,,213,182,171,1,131,120,97,103,89,83,69
取扱件数,前年繰越（件）,60,35,47,,25,34,10,16,16,23,21
取扱件数,新規開始（件）,153,147,124,1,106,86,87,87,73,60,48
終結件数（件）,,178,135,146,1,97,110,81,87,66,62,53
終結件数（％）,,100,100,100,,100,100,100,100,100,100,100
終結件数,解決（件）,92,63,81,,43,50,43,39,25,26,19
終結件数,解決（％）,51.7,46.7,55.5,,44.3,45.5,53.1,44.8,37.9,41.9,35.8
終結件数,取下（件）,26,10,10,,22,21,10,14,12,8,7
終結件数,取下（％）,14.6,7.4,6.8,,22.7,19.1,12.3,16.1,18.2,12.9,13.2
終結件数,打切（件）,59,62,55,1,32,39,28,33,29,28,27
終結件数,打切（％）,33.1,45.9,37.7,,32,35.5,34.6,37.9,43.9,45.2,50.9
終結件数,不調（件）,-,-,-,,-,-,-,-,-,-,-
終結件数,裁定（件）,-,-,-,,-,-,-,-,-,-,-
終結件数,解決率（％）,60.9,50.4,59.6,,57.3,56.2,60.6,54.2,46.3,48.1,41.3
終結件数,終結率（％）,83.6,74.2,85.4,,74,91.7,83.5,84.5,74.2,74.7,76.8
次年繰越（件）,,35,47,25,,34,10,16,16,23,21,16
