区分１,区分２,件数平成30（件）,件数令和元（件）,件数2（件）,件数3（件）,件数4（件）,構成比平成30（％）,構成比令和元（％）,構成比2（％）,構成比3（％）,構成比4（％）
申立件数,,97,95,116,99,83,100,100,100,100,100
大分類,1号関係,37,30,45,35,31,38.1,31.6,38.8,35.4,37.3
大分類,2号関係,71,75,82,76,67,73.2,78.9,70.7,76.8,80.7
大分類,3号関係,66,56,62,53,32,68,58.9,53.4,53.5,38.6
大分類,4号関係,2,1,2,2,2,2.1,1.1,1.7,2,2.4
内訳,1号,1,- ,7,4,1,1,- ,r6,4,1.2
内訳,2号,24,35,41,38,38,24.7,36.8,35.3,38.4,45.8
内訳,3号,12,11,8,7,5,12.4,11.6,6.9,7.1,6
内訳,4号,-,- ,- ,- ,1,-,- ,- ,- ,1.2
内訳,1・2号,5,4,6,4,10,5.2,4.2,5.2,4,12
内訳,1・3号,12,9,18,10,9,12.4,9.5,15.5,10.1,10.8
内訳,1・4号,-,- ,- ,- ,- ,-,- ,- ,- ,-
内訳,2・3号,23,19,22,19,8,23.7,20,19,19.2,9.6
内訳,2・4号,1,- ,- ,- ,- ,1,- ,- ,- ,-
内訳,3・4号,-,- ,- ,- ,- ,-,- ,- ,- ,-
内訳,1・2・3号,18,16,12,15,10,18.6,16.8,10.3,15.2,12
内訳,1・2・4号,-,- ,- ,- ,1,-,- ,- ,- ,1.2
内訳,1・3・4号,1,- ,1,2,- ,1,- ,- ,2,-
内訳,2・3・4号,-,- ,- ,- ,- ,-,- ,- ,- ,-
内訳,1・2・3・4号,-,1,1,- ,- ,-,1.1,0.9,- ,-
