年次・年度,婚姻_総数,婚姻_本籍人の受理,婚姻_他市町村からの送付,婚姻_非本籍人の受理,離婚_総数,離婚_本籍人の受理,離婚_他市町村からの送付,離婚_非本籍人の受理
1973,2543,1280,757,506,210,126,49,35
1974,2356,1204,654,498,294,169,82,43
1975,2234,1065,680,489,294,165,77,52
1976,2198,1098,614,486,322,187,89,46
1977,2130,1013,636,481,289,165,83,41
1978,2059,1003,615,441,332,195,89,48
1979,2110,1035,642,433,286,156,99,31
1980,1938,855,676,407,366,206,113,47
1981,2020,896,652,472,378,211,125,42
1982,2098,970,703,425,370,208,120,42
1983,2096,970,690,436,418,229,139,50
1984,2040,922,689,429,436,264,133,39
1985,2124,941,773,410,429,216,157,56
1986,2110,942,734,434,440,244,150,46
1987,2069,922,746,401,382,208,111,63
1988,2299,980,865,454,410,240,117,53
1989,2399,1055,925,419,416,224,133,59
1990,2373,979,952,442,452,258,140,54
1991,2632,1119,1064,449,468,236,178,54
1992,2495,1018,1044,433,488,254,183,51
1993,2815,1201,1146,468,474,250,169,55
1994,2754,1143,1116,495,527,286,177,64
1995,2821,1184,1201,436,523,268,195,60
1996,2912,1160,1254,498,569,308,197,64
1997,2797,1145,1198,454,626,333,224,69
1998,2884,1184,1229,471,728,404,247,77
1999,2890,1155,1289,446,733,405,266,62
2000,2833,1156,1222,455,721,390,261,70
2001,2974,1206,1299,469,756,424,245,87
2002,2864,1189,1235,440,755,410,285,60
2003,2809,1111,1247,451,726,401,260,65
2004,2775,1148,1190,437,671,370,234,67
2005,2675,1038,1178,459,711,373,274,64
2006,2753,1132,1207,414,718,383,260,75
2007,2639,1075,1168,396,658,378,223,57
2008,2700,1102,1166,432,699,375,246,78
2009,2811,1131,1241,439,671,385,220,66
2010,2682,1075,1169,438,668,364,238,66
2011,2646,1014,1259,373,626,379,197,50
2012,2539,1007,1144,388,600,344,205,51
2013,2571,1016,1159,396,596,331,208,57
2014,2481,999,1127,355,612,362,197,53
2015,2503,1014,1149,340,645,345,218,82
2016,2338,917,1095,326,629,360,205,64
2017,2390,920,1165,305,622,350,205,67
2018,2231,838,1077,316,610,361,197,52
2019,2403,874,1180,349,560,314,194,52
2020,2078,734,1080,264,565,332,183,50
2021,2173,767,1106,300,554,316,185,53
2022,2149,746,1111,292,470,268,172,30
2023,2066,689,1116,261,503,295,167,41
