時点,農家数_総数,農家数_専業農家,兼業農家_総数,兼業農家_第1種兼業(旧：農業が主),兼業農家_第2種兼業(旧：兼業が主),農業人口_総数,農業人口_男,農業人口_女
1954/1/1,1345,567,778,409,369,…,…,…
1955/1/1,1340,583,757,367,390,…,…,…
1956/1/1,1352,633,719,323,396,…,…,…
1957/1/1,1334,536,798,393,405,…,…,…
1958/1/1,1314,531,783,373,410,…,…,…
1959/1/1,1284,487,797,395,402,…,…,…
1960/1/1,1260,407,853,447,406,…,…,…
1961/1/1,1208,398,810,319,491,…,…,…
1962/1/1,1155,331,824,428,396,…,…,…
1963/1/1,1140,367,773,421,352,…,…,…
1964/1/1,1114,373,741,353,388,…,…,…
1965/1/1,1088,334,754,322,432,…,…,…
1966/1/1,1049,330,719,307,412,…,…,…
1967/1/1,1029,316,713,224,489,…,…,…
1968/1/1,1010,276,734,316,418,…,…,…
1969/1/1,988,283,705,218,487,…,…,…
1970/1/1,951,119,832,165,667,…,…,…
1971/1/1,819,109,710,133,577,1645,870,775
1972/1/1,812,100,712,117,595,1628,853,775
1973/1/1,820,104,716,142,574,1579,839,740
1974/1/1,782,87,695,133,562,1522,811,711
1975/1/1,790,94,696,100,596,1530,809,721
1976/1/1,777,80,697,98,599,1493,781,712
1977/1/1,761,68,693,74,619,1478,773,705
1978/1/1,764,62,702,74,628,1489,784,705
1979/1/1,736,57,679,58,621,1424,750,674
1980/1/1,735,45,690,64,626,1422,745,677
1981/1/1,722,43,679,91,588,1404,735,669
1982/1/1,714,47,667,74,593,1408,741,667
1983/1/1,690,47,643,86,557,1405,745,660
1984/1/1,691,40,651,84,567,1423,756,667
1985/1/1,671,36,635,72,563,1388,750,638
1986/1/1,668,32,636,67,569,1380,731,649
1987/1/1,661,31,630,62,568,1362,741,621
1988/1/1,645,28,617,67,550,1303,695,608
1989/1/1,653,26,627,73,554,1345,727,618
1990/1/1,640,22,618,75,543,1337,716,621
1991/1/1,627,25,602,56,546,1428,767,661
1992/1/1,622,18,604,57,547,1363,734,629
1993/1/1,588,14,574,35,539,1272,688,584
1994/1/1,572,11,561,29,532,1235,662,573
1995/1/1,566,10,556,20,536,1245,669,576
1996/1/1,555,10,545,24,521,1223,686,537
1997/1/1,545,10,535,22,513,1259,660,599
1998/1/1,518,11,507,24,483,1129,612,517
1999/1/1,504,13,491,22,469,1074,578,496
2000/1/1,521,12,509,26,483,1118,600,518
2001/1/1,521,11,510,29,481,1121,605,516
2002/1/1,513,9,504,31,473,1048,553,495
2003/1/1,516,9,507,32,475,1138,601,537
2004/1/1,475,11,464,28,436,1091,587,504
2005/1/1,476,11,465,26,439,1087,573,514
2006/1/1,472,10,462,28,434,1082,569,513
2007/1/1,471,10,461,28,433,1065,558,507
2008/1/1,470,9,461,19,442,1058,582,476
2009/1/1,468,9,459,19,440,1051,580,471
2010/1/1,470,10,460,19,441,1038,581,457
2011/1/1,474,11,463,24,439,1046,598,448
2012/1/1,470,8,462,18,444,1024,589,435
2013/1/1,469,8,461,19,442,1030,592,438
2014/1/1,468,6,462,20,442,1020,589,431
2015/1/1,454,6,448,20,428,993,582,411
2016/1/1,450,7,443,22,421,974,571,403
2017/1/1,443,7,436,22,414,970,564,406
2018/1/1,433,10,423,23,400,973,561,412
2019/1/1,423,9,414,21,393,905,534,371
2020/1/1,419,11,408,18,390,965,554,411
2021/1/1,417,11,406,18,388,937,549,388
2022/1/1,416,9,407,26,381,848,506,342
2023/1/1,408,8,400,18,382,806,490,316
2024/1/1,394,8,386,18,368,774,466,308
