期間,小学校_身長(ｃm)_1年_男,小学校_身長(ｃm)_1年_女,小学校_身長(ｃm)_2年_男,小学校_身長(ｃm)_2年_女,小学校_身長(ｃm)_3年_男,小学校_身長(ｃm)_3年_女,小学校_身長(ｃm)_4年_男,小学校_身長(ｃm)_4年_女,小学校_身長(ｃm)_5年_男,小学校_身長(ｃm)_5年_女,小学校_身長(ｃm)_6年_男,小学校_身長(ｃm)_6年_女,中学校_身長(ｃm)_1年_男,中学校_身長(ｃm)_1年_女,中学校_身長(ｃm)_2年_男,中学校_身長(ｃm)_2年_女,中学校_身長(ｃm)_3年_男,中学校_身長(ｃm)_3年_女,小学校_体重(ｋｇ)_1年_男,小学校_体重(ｋｇ)_1年_女,小学校_体重(ｋｇ)_2年_男,小学校_体重(ｋｇ)_2年_女,小学校_体重(ｋｇ)_3年_男,小学校_体重(ｋｇ)_3年_女,小学校_体重(ｋｇ)_4年_男,小学校_体重(ｋｇ)_4年_女,小学校_体重(ｋｇ)_5年_男,小学校_体重(ｋｇ)_5年_女,小学校_体重(ｋｇ)_6年_男,小学校_体重(ｋｇ)_6年_女,中学校_体重(ｋｇ)_1年_男,中学校_体重(ｋｇ)_1年_女,中学校_体重(ｋｇ)_2年_男,中学校_体重(ｋｇ)_2年_女,中学校_体重(ｋｇ)_3年_男,中学校_体重(ｋｇ)_3年_女
1974(4/1-6/30),115.8,115.1,121.1,120.4,127.1,126.3,131.9,131.7,136.3,138.3,142.2,144.7,148.9,149.9,156.7,153.3,162.5,155.1,20.9,20.5,23.2,22.6,26.3,25.7,28.8,29,31.5,32.7,35.7,37,40.6,41.5,46.3,45.8,51.7,48.4
1975(4/1-6/30),115.5,114.9,121.4,120.9,126.8,126,132.3,132,137,138,142.9,144.8,149.2,150.4,156.9,154,163.1,155.4,20.5,20.4,23.3,22.8,25.9,25.4,29.1,28.7,32.1,32.2,35.5,37.1,40.5,42.4,46.7,45.9,51.9,48.6
1976(4/1-6/30),115.6,114.8,121.1,120.7,126.8,126.5,132.2,131.5,137.5,138.4,142.7,144.7,148.8,150.3,156.2,154,163.3,156,20.8,20.3,23.2,22.9,26.1,25.7,28.8,28.5,32.3,32.7,35.9,37,40.2,42.2,46.5,45.9,52,48.4
1977(4/1-6/30),115.9,115,121.1,120.3,126.8,126.3,132.2,132.3,137.4,137.8,143.1,145.1,149.5,150.7,156.4,154.4,163.1,156.2,20.9,20.2,23.1,22.7,25.8,25.4,29,28.8,32.2,32,35.9,37.3,41.3,42.3,46.5,46.1,51.8,49
1978(4/1-6/30),116,115.3,121.7,120.9,127.1,126.3,132,132,137.3,138.9,142.8,144.8,150.2,150.9,157.6,154.2,163.3,156.1,21,20.5,23.2,22.7,26.1,25.7,28.9,28.7,32.4,33,35.8,37.3,41.4,42.4,47.3,46.4,51.9,49.1
1979(4/1-6/30),116.2,115.2,121.5,121,127.1,126.4,132.5,131.9,137.2,138.7,143.1,145.5,149.8,150.9,158.3,154.6,163.9,156.3,21,20.5,23.4,22.9,26.1,25.6,29.3,28.8,32.4,33,36.5,37.6,41.2,42.6,47.8,46.9,53,49.2
1980(4/1-6/30),116.2,115.1,121.7,120.6,127.1,126.5,132.4,133.3,137.6,138.4,142.7,145.3,150.2,151.2,157.8,154.4,164.8,156.5,21.2,20.5,23.3,22.7,26.2,25.4,29,28.4,32.7,32.6,35.9,37.4,41.9,42.7,47.4,46.8,53.3,49.5
1981(4/1-6/30),116,115.3,121.8,120.8,127.1,126.7,132.3,132.2,137.2,138.2,143.2,145.1,149.8,150.5,157.8,154.9,164,156.4,21,20.6,23.5,22.9,26.1,25.5,29.2,28.3,32.2,32.1,34.5,37.3,41.4,42.8,47.7,46.6,52.3,49.8
1982(4/1-6/30),116.3,115.5,121.8,121.3,127.2,126.6,132.6,132.4,137.6,138.2,143.3,144.8,150,150.7,157.4,154.6,164,156.5,21.3,20.6,23.5,23.1,26.5,25.74,29.3,29.1,32.6,32.5,36.2,37,41.4,42.4,47.3,46.9,53.3,49.5
1983(4/1-6/30),116.5,115.6,122.3,121.5,127.4,126.9,132.7,132.3,137.7,138.8,143.5,145.1,150.1,150.7,157.7,154.5,163.6,156.6,21.1,20.6,23.7,23,26.2,26.1,29.3,28.8,32.6,33.1,36.6,37.5,41.4,42,47.8,46.3,52.4,49.5
