年次,世帯数,人口_総数,人口_男,人口_女,人口の対前年増加_実数,人口の対前年増加_率(%),説明
1951,3087,16558,8720,7838,420,2.6,国勢調査（10月1日）
1952,3675,22104,12861,9243,5546,33.49438338,国勢調査（10月1日）
1953,4308,26110,15132,10978,4006,18.12341658,国勢調査（10月1日）
1954,…,34926,18198,16728,8816,33.76484106,人口調査（11月1日）
1955,7155,35673,18656,17017,747,2.138807765,人口調査（4月26日）
1956,7897,40987,22602,18385,5314,14.89642026,国勢調査（10月1日）
1957,8572,45295,24845,20450,4308,10.51064972,国勢調査（10月1日）
1958,10815,50209,25435,24774,4914,10.84887957,食料配給台帳人口（4月1日）
1959,11708,58937,31554,27383,8728,17.38333765,国勢調査（10月1日）
1960,18705,82098,43076,39022,23161,39.29789436,国勢調査（10月1日）
1961,21083,89028,46398,42630,6930,8.441131331,推計人口（10月1日）
1962,23948,97139,50918,46221,8111,9.110616885,推計人口（10月1日）
1963,27215,106362,55847,50515,9223,9.494641699,推計人口（10月1日）
1964,30427,115780,60781,54999,9418,8.85466614,推計人口（10月1日）
1965,32728,126519,66397,60122,10739,9.275349801,国勢調査（10月1日）
1966,36036,135949,71278,64671,9430,7.453425968,推計人口（10月1日）
1967,38547,142614,74867,67747,6665,4.902573759,推計人口（10月1日）
1968,41643,151978,79702,72276,9364,6.56597529,推計人口（10月1日）
1969,43915,158452,83125,75327,6474,4.25982708,推計人口（10月1日）
1970,45324,163173,85872,77301,4721,2.97945119,国勢調査（10月1日）
1971,49082,169881,89800,80081,6708,4.110974242,推計人口（10月1日）
1972,50461,174042,91678,82364,4161,2.449361612,推計人口（10月1日）
1973,51845,177907,93414,84493,3865,2.22072833,推計人口（10月1日）
1974,53916,181491,95417,86074,3584,2.014535684,推計人口（10月1日）
1975,55120,182474,95975,86499,983,0.541624654,国勢調査（10月1日）
1976,55930,184826,97132,87694,2352,1.288950755,推計人口（10月1日）
1977,56684,186533,97979,88554,1707,0.923571359,推計人口（10月1日）
1978,57223,187105,98371,88734,572,0.306648153,推計人口（10月1日）
1979,58680,190048,99951,90097,2943,1.572913605,推計人口（10月1日）
1980,67529,192198,101546,90652,2150,1.131293147,国勢調査（10月1日）
1981,68760,193731,102449,91282,1533,0.79761496,推計人口（10月1日）
1982,70181,195214,103328,91886,1483,0.765494423,推計人口（10月1日）
1983,71438,196850,104105,92745,1636,0.838054648,推計人口（10月1日）
1984,73148,199996,105802,94194,3146,1.598171196,推計人口（10月1日）
1985,72999,201972,107021,94951,1976,0.98801976,国勢調査（10月1日）
1986,74951,205135,108842,96293,3163,1.566058662,推計人口（10月1日）
1987,76730,206591,109888,96703,1456,0.709776489,推計人口（10月1日）
1988,77678,207304,110404,96900,713,0.345126361,推計人口（10月1日）
1989,79122,208334,110996,97338,1030,0.49685486,推計人口（10月1日）
1990,81245,209396,111563,97833,1062,0.509758369,国勢調査（10月1日）
1991,83022,211287,112442,98845,1891,0.903073602,推計人口（10月1日）
1992,84992,213428,113374,100054,2141,1.013313644,推計人口（10月1日）
1993,86446,214862,114072,100790,1434,0.671889349,推計人口（10月1日）
1994,87247,215353,113927,101426,491,0.22851877,推計人口（10月1日）
1995,88036,216211,114001,102210,858,0.398415625,国勢調査（10月1日）
1996,89621,218682,115095,103587,2471,1.142865072,推計人口（10月1日）
1997,91316,220927,116076,104851,2245,1.026604842,推計人口（10月1日）
1998,92972,223280,117224,106056,2353,1.065057689,推計人口（10月1日）
1999,94484,224894,117950,106944,1614,0.72285919,推計人口（10月1日）
2000,96424,226769,118626,108143,1875,0.833726111,国勢調査（10月1日）
2001,99239,231725,121195,110530,4956,2.185483907,推計人口（10月1日）
2002,101350,234664,122640,112024,2939,1.268313734,推計人口（10月1日）
2003,103153,237163,123854,113309,2499,1.064926874,推計人口（10月1日）
2004,105427,241359,125511,115848,4196,1.769247311,推計人口（10月1日）
2005,107695,245623,127575,118048,4264,1.766662938,国勢調査（10月1日）
2006,109246,247163,128109,119054,1540,0.626977115,推計人口（10月1日）
2007,110236,248750,128561,120189,1587,0.642086396,推計人口（10月1日）
2008,111835,250988,129413,121575,2238,0.899698492,推計人口（10月1日）
2009,113918,254007,131118,122889,3019,1.202846351,推計人口（10月1日）
2010,115166,255506,131558,123948,1499,0.590141217,国勢調査（10月1日）
2011,115266,255586,130933,124653,80,0.031310419,推計人口（10月1日）
2012,118192,256230,130991,125239,644,0.251969983,推計人口（10月1日）
2013,118825,257062,131009,126053,991,0.386761894,推計人口（10月1日）
2014,120234,258328,131419,126909,1442,0.560954167,推計人口（10月1日）
2015,119569,260274,132172,128102,1946,0.753305875,国勢調査（10月1日)
2016,121335,261972,132822,129150,1698,0.652389405,推計人口（10月1日）
2017,122186,262380,132566,129814,408,0.155741835,推計人口（10月1日）
2018,123421,263385,132486,130899,1005,0.383032243,推計人口（10月1日）
2019,124340,263346,132212,131134,-39,-0.014807221,推計人口（10月1日）
2020,124744,262790,131468,131322,-556,-0.211129085,国勢調査（10月1日)
2021,124735,262708,131127,131581,-82,-0.031203623,推計人口（10月1日）
2022,125979,263006,131279,131727,298,0.113433926,推計人口（10月1日）
2023,126746,262724,130928,131796,-282,-0.107221888,推計人口（10月1日）
