"年月[西暦]","調査項目","設問","調査回答者の属性種別","調査回答者の属性","調査数[人]","よく知っている[人]","知っている[人]","知らない[人]","無回答[人]"
"202203","全国連携の取組","Q20. 区では、全国各地域と共存・共栄を図り、互いの地域の発展と住民のより豊かな生活の実現に向けて、様々な分野において全国連携の取組を推進しています。あなたは区の全国連携の取組について知っていますか。（○は１つ）","全体",,"558","4","67","476","11"
"202203","全国連携の取組","Q20. 区では、全国各地域と共存・共栄を図り、互いの地域の発展と住民のより豊かな生活の実現に向けて、様々な分野において全国連携の取組を推進しています。あなたは区の全国連携の取組について知っていますか。（○は１つ）","性・年代別","男性（計）","231","2","26","202","1"
"202203","全国連携の取組","Q20. 区では、全国各地域と共存・共栄を図り、互いの地域の発展と住民のより豊かな生活の実現に向けて、様々な分野において全国連携の取組を推進しています。あなたは区の全国連携の取組について知っていますか。（○は１つ）","性・年代別","男性 18～29歳","13","0","2","11","0"
"202203","全国連携の取組","Q20. 区では、全国各地域と共存・共栄を図り、互いの地域の発展と住民のより豊かな生活の実現に向けて、様々な分野において全国連携の取組を推進しています。あなたは区の全国連携の取組について知っていますか。（○は１つ）","性・年代別","男性 30～39歳","38","1","2","35","0"
"202203","全国連携の取組","Q20. 区では、全国各地域と共存・共栄を図り、互いの地域の発展と住民のより豊かな生活の実現に向けて、様々な分野において全国連携の取組を推進しています。あなたは区の全国連携の取組について知っていますか。（○は１つ）","性・年代別","男性 40～49歳","50","0","5","45","0"
"202203","全国連携の取組","Q20. 区では、全国各地域と共存・共栄を図り、互いの地域の発展と住民のより豊かな生活の実現に向けて、様々な分野において全国連携の取組を推進しています。あなたは区の全国連携の取組について知っていますか。（○は１つ）","性・年代別","男性 50～59歳","47","0","7","40","0"
"202203","全国連携の取組","Q20. 区では、全国各地域と共存・共栄を図り、互いの地域の発展と住民のより豊かな生活の実現に向けて、様々な分野において全国連携の取組を推進しています。あなたは区の全国連携の取組について知っていますか。（○は１つ）","性・年代別","男性 60～69歳","42","1","4","37","0"
"202203","全国連携の取組","Q20. 区では、全国各地域と共存・共栄を図り、互いの地域の発展と住民のより豊かな生活の実現に向けて、様々な分野において全国連携の取組を推進しています。あなたは区の全国連携の取組について知っていますか。（○は１つ）","性・年代別","男性 70歳以上","40","0","6","33","1"
"202203","全国連携の取組","Q20. 区では、全国各地域と共存・共栄を図り、互いの地域の発展と住民のより豊かな生活の実現に向けて、様々な分野において全国連携の取組を推進しています。あなたは区の全国連携の取組について知っていますか。（○は１つ）","性・年代別","男性 無回答","1","0","0","1","0"
"202203","全国連携の取組","Q20. 区では、全国各地域と共存・共栄を図り、互いの地域の発展と住民のより豊かな生活の実現に向けて、様々な分野において全国連携の取組を推進しています。あなたは区の全国連携の取組について知っていますか。（○は１つ）","性・年代別","女性（計）","313","2","41","270","0"
"202203","全国連携の取組","Q20. 区では、全国各地域と共存・共栄を図り、互いの地域の発展と住民のより豊かな生活の実現に向けて、様々な分野において全国連携の取組を推進しています。あなたは区の全国連携の取組について知っていますか。（○は１つ）","性・年代別","女性 18～29歳","26","0","3","23","0"
