措置区分,財援（平成29年）,定例（平成30年）,財援（平成30年）,行政(指定管理)（平成30年）,定例（令和元年）,工事（令和元年）,平成30年度各会計歳入歳出決算,財援（令和元年）,計
ア　返還・戻入等（是正・改善措置）※措置区分のうち主なものを１つ選定した場合の数値,,,,,,,,3,3
ア　返還・戻入等（是正・改善措置）※措置区分のうち主なものを全て選定した場合の数値,,,,,,1,,3,4
イ　財産・物品管理（是正・改善措置）※措置区分のうち主なものを１つ選定した場合の数値,,4,1,,2,,,,7
イ　財産・物品管理（是正・改善措置）※措置区分のうち主なものを全て選定した場合の数値,,4,1,,2,,,,7
ウ　会計処理（是正・改善措置）※措置区分のうち主なものを１つ選定した場合の数値,,,,,1,,2,,3
ウ　会計処理（是正・改善措置）※措置区分のうち主なものを全て選定した場合の数値,,,,,1,,2,,3
エ　事務処理等（是正・改善措置）※措置区分のうち主なものを１つ選定した場合の数値,1,1,2,4,6,1,1,4,20
エ　事務処理等（是正・改善措置）※措置区分のうち主なものを全て選定した場合の数値,1,1,3,4,7,5,1,4,26
小計※措置区分のうち主なものを１つ選定した場合の数値,1,5,3,4,9,1,3,7,33
小計※措置区分のうち主なものを全て選定した場合の数値,1,5,4,4,10,6,3,7,40
ア　要綱等の制定・改正※措置区分のうち主なものを１つ選定した場合の数値,,,1,,,5,,,6
ア　要綱等の制定・改正※措置区分のうち主なものを全て選定した場合の数値,,,1,,1,5,,,7
イ　契約・仕様等の見直し※措置区分のうち主なものを１つ選定した場合の数値,,,,,4,4,,,8
イ　契約・仕様等の見直し※措置区分のうち主なものを全て選定した場合の数値,,,,,5,5,,2,12
ウ　ルール・体制の構築※措置区分のうち主なものを１つ選定した場合の数値,,,,,1,17,,2,20
ウ　ルール・体制の構築※措置区分のうち主なものを全て選定した場合の数値,,3,2,2,5,23,2,8,45
エ　研修等の実施※措置区分のうち主なものを１つ選定した場合の数値,,,,,2,,,3,5
エ　研修等の実施※措置区分のうち主なものを全て選定した場合の数値,,2,2,,8,27,1,8,48
小計※措置区分のうち主なものを１つ選定した場合の数値,,,1,,7,26,,5,39
小計※措置区分のうち主なものを全て選定した場合の数値,,5,5,2,19,60,3,18,112
合計※措置区分のうち主なものを１つ選定した場合の数値,1,5,4,4,16,27,3,12,72
合計※措置区分のうち主なものを全て選定した場合の数値,1,10,9,6,29,66,6,25,152
