"年月[西暦]","調査項目","設問","選択肢","件数[人]","(全体)[%]","(除不)[%]"
"202003","生活状況等について","Q5-2. あなたの現在のお住まいで困っていることはありますか。（あてはまるものすべてに○）","階段の昇り降りが大変なこと","265","12.8","13.5"
"202003","生活状況等について","Q5-2. あなたの現在のお住まいで困っていることはありますか。（あてはまるものすべてに○）","エレベーターが設置されていないこと","76","3.7","3.9"
"202003","生活状況等について","Q5-2. あなたの現在のお住まいで困っていることはありますか。（あてはまるものすべてに○）","浴室・浴槽が使いにくいこと","178","8.6","9.1"
"202003","生活状況等について","Q5-2. あなたの現在のお住まいで困っていることはありますか。（あてはまるものすべてに○）","浴室・浴槽が無いこと","18","0.9","0.9"
"202003","生活状況等について","Q5-2. あなたの現在のお住まいで困っていることはありますか。（あてはまるものすべてに○）","トイレに手すりがない、洋式でないなどで使いにくいこと","52","2.5","2.6"
"202003","生活状況等について","Q5-2. あなたの現在のお住まいで困っていることはありますか。（あてはまるものすべてに○）","居室が狭いこと","200","9.7","10.2"
"202003","生活状況等について","Q5-2. あなたの現在のお住まいで困っていることはありますか。（あてはまるものすべてに○）","家が老朽化していること","308","14.9","15.7"
"202003","生活状況等について","Q5-2. あなたの現在のお住まいで困っていることはありますか。（あてはまるものすべてに○）","家賃が高いこと","184","8.9","9.4"
"202003","生活状況等について","Q5-2. あなたの現在のお住まいで困っていることはありますか。（あてはまるものすべてに○）","その他","124","6.0","6.3"
"202003","生活状況等について","Q5-2. あなたの現在のお住まいで困っていることはありますか。（あてはまるものすべてに○）","特にない","1059","51.2","53.9"
"202003","生活状況等について","Q5-2. あなたの現在のお住まいで困っていることはありますか。（あてはまるものすべてに○）","無回答","105","5.1",

"港区保健福祉基礎調査（高齢者）・単純集計表・生活状況等についてQ5-2","Ver202003",,,,,
