区分,名称,TKK参加,連絡先電話,ファックス,連絡先Eメール,備考
港区,特定非営利活動法人東京高次脳機能障害協議会(略称 TKK)　http://www.brain-tkk.com,★,080-5773-2396＜事務局＞,03-3704-2187<今井＞,info@brain-tkk.com,後天的に様々な原因による脳損傷で、高次脳機能障害を持った者に対して、保健・医療・福祉の充実を図り、生活支援と社会参加を促進する事業、及び行政・医療・福祉や一般社会に対して、当障害の理解と支援を広める事業を行うことにより、当事者とその家族か?安心して生活て?きる社会の実現を目的としている。当法人の趣旨に賛同する当事者・家族・家族会や関連団体の代表者・支援者などの「個人」や「団体」か?構成員。要望提言・支援・啓発・社会教育・調査研究・情報収集提供及びネットワーク構築なと?、様々な事業を協力して展開している。平成29年度には「発足15周年・NPO法人設立10周年の記念事業」を開催した。毎年「実践的アプローチ講習会」や「医療及び家族相談会」を開催している。令和３年現在、東京都内の33団体が加盟している。
港区,高次脳機能障がい者の未来を紡ぐ会「みなと高次脳」　https://yykoujinou.com/,★,03-3444-6126,03-3444-6126,yykoujinou@honey.ocn.ne.jp,相談、交流、情報交換、親睦、要望、啓発を中心に、主に偶数月の土曜日または日曜日などに定例会開催。2021年当事者の会も発足。港区主催の高次脳の「相談会」に協力。ホームページの「問い合わせ」というコーナーからもメール連絡が可能
新宿区,新宿高次脳機能障害者友の会（アンサンブル）,,03-3200-8970＜太田＞,03-3200-8970＜太田＞,m.ohta102@quartz.ocn.ne.jp,新宿区内における高次脳機能障害の理解と普及・啓発。２か月に１回交流会を開催。区外又は会員外の方も参加可能
墨田区,高次脳機能障害すみだ患者・家族の会,,03-3623-7910＜関野＞,,,墨田区在住者中心ですが、関連医療機関からの紹介のある方は、近隣の区民も可能です。急性期を過ぎた当事者と家族が対象です。訓練や親睦や情報交換がなされ、墨田区内の施設との連携があります。グループ訓練は、月・火曜日は午後、金曜日は午前に行っています。スタッフは臨床心理士、言語聴覚士、教師、音楽療法士などで、顧問は脳神経外科医です。場所は錦糸町駅から徒歩２分の藤原QOL研究所です。ただ、一つご用心。訓練先は３階です。エレベーターがないので、半身まひや車いす使用の方には、参加にご無理があります。年に１～２回、「高次脳機能障害者と家族の集い通信」を発行し、会と会員たちの活動をアピールしています。残部あります。12号まで発行済です。
江東区,江東区・高次脳機能障害者と家族会（福寿の館）,★,03-3642-0823＜田代＞,,tashiromisao@gmail.com,高次脳機能障害者は社会リハが必要。地域の人達と交わりながらのお茶会を開催
品川区,品川区高次脳機能障害者と家族の会　https://shinagawa-kouji.com/,,03-3781-0921＜渡辺＞,03-3781-9126,mitsuewatanabe@w8.dion.ne.jp,毎月第３日曜日13時半より定例会「ひだまり」を開催しています。定例会のなかでは、当事者の集団認知訓練、また家族は別室で家族相談会を行っています。年に１回、家族会主催で講演会も開催しています。どなたでも参加できます。詳しくは会のホームページをご覧ください。
目黒区,目黒区高次脳機能障害者家族会　https://megurokufamily.wixsite.com/megurokufamily/about,,080-5028-7519＜根本＞,03-5721-7166＜根本＞,ai-chino@aidea.co.jp,偶数月の第３日曜日午前10時から定例会を開催。定例会同日時に別室で当事者会も行っている。障害を持っても地域でより良く生きることはみんなの問題です。一人で抱え込まず参加してみませんか。
大田区,フォーラム大田高次脳,★,,03-3730-6823,yoiya.yoiya3108@gmail.com,当事者と家族、医療、介護、福祉等関係者が、毎月第４日曜日「たまりば～」定例交流会、毎月第１日曜日AMに「高次脳機能障害と囲碁＆心の唄コンサート」、PM「当事者会・楽花」を開催。どなたでも参加可。「家族相談会」随時
世田谷区,パートナーセンター（旧コージーズ）,,03-6804-0405,03-6383-2156,partner@otagaisama.or.jp,高次脳機能障害・若年認知症当事者と共に活動します。私たちの＜したい＞＜できる＞を一緒にしていきましょう。
世田谷区,世田谷高次脳機能障害連絡協議会,★,03-5491-0340,03-3413-5039,,高次脳機能障害のある方、家族、医師、セラピスト、施設職員、ケアマネジャー、就労支援職員、失語症会話パートナー、ボランティアなど支援者が多い。政策提言、講師派遣、「春の音コンサート」の開催など、世田谷区で活動
杉並区,杉並高次脳機能障害家族会クローバー,★,03-3247-3242＜山田＞,03-3247-3242＜山田＞,mmmd0917@gmail.com,高次脳機能障害の当事者と家族、支援者、関心のある人が集まっています。クローバーは、この障害についての勉強会(４回/年)・当事者や家族が自由に話せる当事者カフェ(第４木曜日)・家族カフェ(第１土曜日)・総会(１回/年）・お楽しみ会やバスハイクなどのイベントを会員を対象に開催しています。会やイベントの詳細は、クローバー通信(３回/年)で会員にお知らせしています。なお、事前に連絡があれば、入会前でもこれらの会に参加することもできます。また、杉並区以外にお住まいの方も入会OKです。
板橋区,中途障害者と家族の会「のびるの会」,,03-3974-7344＜中途障害をもつ人のデイサービスをつくろう会　本山千恵子＞,03-3974-7344＜中途障害をもつ人のデイサービスをつくろう会　本山千恵子＞,,板橋区内の中途障害者の日中の生活がより豊かになるよう、家族・ボランティアと共に活動を通して交流しつつ模索している。高次脳機能障がいと難病のピアカウセリングを毎月第２火曜日（８月除く）と第４日曜日(８月・12月除く）開催
板橋区,特定非営利活動法人みんなのセンターおむすびデイサービスおむすび家族会,★,03-3579-7059,03-3579-7059,omusubi@polka.ocn.ne.jp,区内在住の高次脳機能障害や難病等で中途障害となった方が、それぞれの残存機能や個々の能力を活用し、向上し合いながら社会参加をしている施設です。ご利用者のクオリティの高い手作り作品は定評があります。家族会は不定期で茶話会交流を開催しています。なんでも相談できる温かい空間を提供しています。
