"年度[西暦]","款","当初予算 金額[千円]","当初予算 構成比[%]","最終補正後 金額[千円]","最終補正後 構成比[%]"
"2020","後期高齢者医療保険料","3466630","60.4","3514437","61.7"
"2020","使用料及び手数料","1","0.0","1","0.0"
"2020","繰入金","2153529","37.5","1985170","34.8"
"2020","繰越金","1","0.0","76209","1.3"
"2020","諸収入","119566","2.1","121246","2.1"
"2020","歳入合計","5739727","100.0","5697063","100.0"
"2021","後期高齢者医療保険料","3502530","60.9",,
"2021","使用料及び手数料",,,,
"2021","繰入金","2129979","37.0",,
"2021","繰越金","1","0.0",,
"2021","諸収入","121740","2.1",,
"2021","歳入合計","5754250","100.0",,

"令和3年度港区行政資料集　後期高齢者医療会計歳入予算","Ver202103",,,,
