地域,Area,BP-1／官公庁施設構成比(%),BP-2／教育文化施設構成比(%),BP-3／厚生医療施設構成比(%),BP-4／供給処理施設構成比(%),BC-1／事務所建築物構成比(%),BC-2／専用商業施設構成比(%),BC-3／住商併用施設構成比(%),BC-4／宿泊・遊興施設構成比(%),BC-5／スポーツ・興行施設構成比(%),BR-1／独立住宅構成比(%),BR-2／集合住宅構成比(%),BI-1／専用工場構成比(%),BI-2／住居併用工場構成比(%),BI-3／倉庫運輸関係施設構成比(%),BA／農林漁業施設構成比(%)
千代田区,Chiyoda-ku,8.6,12.2,1.1,0.2,50.1,5.2,4.3,3.4,0.4,1.6,9.5,0.1,0.2,3.3,-
中央区,Chuo-ku,2.5,3.3,1.4,1.6,44.2,6,8.5,3.3,0.1,3.5,21.9,0.2,0.4,3.1,-
港区,Minato-ku,3,9.2,1.9,1.3,28.7,4.5,4.8,4.9,0.8,7.9,27.8,0.4,0.4,4.3,-
新宿区,Shinjuku-ku,1.9,9.4,2.8,0.7,13,3.3,7,3.1,1.6,20.7,34.3,0.5,0.7,1,-
文京区,Bunkyo-ku,1,15.1,2.8,0.2,8.8,0.6,8,1.1,2.1,29.7,27.9,0.5,1.3,0.9,-
台東区,Taito-ku,0.9,11,1.5,0.5,14.7,4.3,15.2,3.7,0.2,18.8,21.3,0.6,4,3.1,-
墨田区,Sumida-ku,0.7,5.5,2.4,0.8,6,3.7,12.2,1.1,0.8,24.1,27.5,4.8,8,2.7,-
江東区,Koto-ku,1.4,5.6,1.6,5.1,9.1,7.3,5.3,1,2.4,12.2,23.3,3.7,1.7,20.3,-
品川区,Shinagawa-ku,1.1,5.8,1.4,1.5,8.8,2.7,6.4,0.8,1.2,26.6,32.7,2.4,1.9,6.7,0
目黒区,Meguro-ku,0.8,6.9,2,0,3.5,2.2,7.3,0.7,0.5,39.3,34.8,0.5,0.9,0.7,0
大田区,Ota-ku,0.7,4.4,1.5,2.9,3.3,1.8,6,0.6,0.5,33.1,26.1,4.5,2.8,11.8,0
世田谷区,Setagaya-ku,0.6,6.3,2.3,0.5,2.1,2.3,5.7,0.1,0.5,45.9,32.2,0.3,0.4,0.8,0
渋谷区,Shibuya-ku,1.6,8.6,1.7,0.2,14.7,5.5,11.6,1.1,1.6,21.1,30.7,0.2,0.2,1.3,-
中野区,Nakano-ku,0.6,5.3,2.1,0.2,2.9,1.4,6.6,0.3,0.1,37.3,41.6,0.2,0.4,1,0
杉並区,Suginami-ku,0.5,5.4,2.2,0.3,1.8,1.7,5.2,0.2,0.3,48.9,32.2,0.3,0.3,0.7,0
豊島区,Toshima-ku,0.8,7.9,1.8,0.5,7.4,3.9,7.7,1.5,0.8,29.9,35.4,0.3,0.6,1.5,-
北区,Kita-ku,0.8,6.4,2.6,0.5,3.7,2.6,7,0.4,0.8,35.4,32,4.1,1.3,2.6,-
荒川区,Arakawa-ku,0.7,5.9,2.3,2.2,4.5,2.4,10.4,0.7,0.3,31.3,27.1,2.7,6.1,3.6,0
板橋区,Itabashi-ku,0.5,5.4,3,1.2,2.7,3.1,6.2,0.4,0.3,32.6,33.1,5.7,2,4,0
練馬区,Nerima-ku,0.4,4.7,2.2,0.2,1.6,2.6,5.3,0.2,0.3,51.8,28.2,0.7,0.5,1.2,0.1
足立区,Adachi-ku,0.5,4.9,2.4,1.4,2.3,4.3,6.8,0.4,0.3,39.5,24.8,4.1,2.3,6,0.1
葛飾区,Katsushika-ku,0.8,5.3,2.3,2.2,2,3.4,7.2,0.3,0.4,42.3,24.8,3.6,3,2.5,0
江戸川区,Edogawa-ku,0.5,5,1.7,1,2.4,3.6,5.7,0.5,0.4,39.5,29,4.6,2.2,3.9,0
