地域,Area,BP-1／官公庁施設構成比(%),BP-2／教育文化施設構成比(%),BP-3／厚生医療施設構成比(%),BP-4／供給処理施設構成比(%),BC-1／事務所建築物構成比(%),BC-2／専用商業施設構成比(%),BC-3／住商併用施設構成比(%),BC-4／宿泊・遊興施設構成比(%),BC-5／スポーツ・興行施設構成比(%),BR-1／独立住宅構成比(%),BR-2／集合住宅構成比(%),BI-1／専用工場構成比(%),BI-2／住居併用工場構成比(%),BI-3／倉庫運輸関係施設構成比(%),BA／農林漁業施設構成比(%)
大手町,Otemachi,3.8,0,0,0.1,94.5,0,0,1.6,0,0,0,0,0,0,0
丸の内,Marunouchi,0,6.7,0,0.1,80.9,6.1,0,2,0,0,0,0,0,4.2,0
有楽町,Yurakucho,0.8,0,0,0,62.7,20.7,0.1,9.3,5.9,0,0,0,0,0.6,0
日比谷・内幸町,Hibiya/Uchisaiwaicho,0,2.8,0,0.2,80.8,0.3,0,15.4,0.1,0,0,0,0,0.4,0
霞が関,Kasumigaseki,79.1,0,0,0,20.6,0.2,0,0,0,0,0,0,0,0,0
永田町,Nagatacho,47.4,9.5,0,0.1,30.4,0.2,0.2,10.2,0,0.1,1.9,0,0,0,0
日本橋,Nihombashi,5.2,0.5,0,0,80.6,10,2.9,0.3,0,0,0.5,0,0,0.1,0
八重洲,Yaesu,0,0.8,0,0,83.7,2.7,6.2,5.4,0,0,0.6,0,0,0.6,0
京橋,Kyobashi,0.4,0.6,0.4,0,92.9,0.1,1.9,2.8,0,0.1,0.6,0,0,0.1,0
銀座,Ginza,1.8,0.8,0.3,0,58.7,17.2,5.8,10.9,0,0.2,4.3,0,0,0.2,0
新橋,Shimbashi,1.2,0.5,5.1,0,74.6,2.3,3.5,5.4,0,0.4,5.9,0,0.1,0.8,0
六本木・虎ノ門,Roppongi/Toranomon,2.3,4.2,1,0,51.4,3.2,2.9,9.3,0,1.4,23.7,0.1,0.1,0.3,0
新宿,Shinjuku,3.7,3.7,2.6,0.1,49.9,11,2.1,14.3,1.2,0.3,9.8,0,0,1.1,0
渋谷,Shibuya,1.7,4.4,0.7,0.4,44.9,13.6,11.6,9.3,1.9,0.9,10,0,0,0.6,0
池袋,Ikebukuro,5.8,4.9,0.6,0.4,23.3,25.7,3.4,8.8,3.8,1.6,20.5,0,0.1,1.1,0
大崎,Osaki,0.2,0.9,0.4,0.1,46.3,5.5,2.5,4.5,0.4,0.4,36.6,1.2,0.2,0.8,0
上野・浅草,Ueno/Asakusa,1.1,4.5,1.2,0,29.7,8.9,12.2,7.7,0.2,4.2,25,0.1,1.3,3.8,0
錦糸町・亀戸,Kinshicho/Kameido,1.1,3.5,2.9,0.4,17.2,10,10.3,6,2,4.6,38.4,0.9,1.2,1.5,0
台場,Daiba,0,4.2,0.1,0.8,25.9,11.5,1.4,25,0,0,29.8,0,0,1.3,0
有明,Ariake,0,5.9,4.4,6.6,20.3,18.7,0,6.5,2,0,24.6,0.3,0,10.8,0
青海,Aomi,6.8,21.9,0,2.2,52.9,12.4,0,3.1,0,0,0,0,0,0.7,0
品川,Shinagawa,1,2.4,0.1,3.1,42.2,1.2,0.4,14.7,0.5,0.2,28.8,0.2,0,5.1,0
秋葉原,Akihabara,2.7,1.5,0,0,58.3,20.4,6,2.1,0,0.4,6.6,0,0.1,1.7,0
