地域,Area,BP-1／官公庁施設構成比(%),BP-2／教育文化施設構成比(%),BP-3／厚生医療施設構成比(%),BP-4／供給処理施設構成比(%),BC-1／事務所建築物構成比(%),BC-2／専用商業施設構成比(%),BC-3／住商併用施設構成比(%),BC-4／宿泊・遊興施設構成比(%),BC-5／スポーツ・興行施設構成比(%),BR-1／独立住宅構成比(%),BR-2／集合住宅構成比(%),BI-1／専用工場構成比(%),BI-2／住居併用工場構成比(%),BI-3／倉庫運輸関係施設構成比(%),BA／農林漁業施設構成比(%)
大手町,Otemachi,12.6,-,-,0.4,84.4,0.6,-,2.1,-,-,-,-,-,0,－
丸の内,Marunouchi,-,7.7,-,0.1,58.3,11.2,-,1.3,-,-,-,-,-,21.4,－
有楽町,Yurakucho,0,0.2,0.1,-,52.4,33,0.3,5.9,4.6,0,-,-,-,3.4,－
日比谷・内幸町,Hibiya/Uchisaiwaicho,0.4,8.9,-,1,66.1,4.6,-,18.3,0.6,-,-,-,-,0.1,－
霞が関,Kasumigaseki,83.2,-,-,0.2,13,3.5,-,-,-,-,-,-,-,0.2,－
永田町,Nagatacho,63.9,19.4,-,0.2,8.6,2.2,0,3.7,-,0.3,1.5,-,-,0.2,－
日本橋,Nihombashi,7.9,2,0.2,-,73.5,10.2,4.2,0.9,-,0.1,0.7,-,-,0.3,－
八重洲,Yaesu,0.4,-,0.2,-,86,2.4,4.7,5.3,-,0.1,0.7,-,-,0.5,－
京橋,Kyobashi,1.4,0.8,1.2,-,88.2,0.5,3.4,3,-,0.2,0.7,-,-,0.6,－
銀座,Ginza,3,3.3,0.5,-,51.1,18.9,6.9,11.9,-,0.5,3.5,0,0.1,0.3,－
新橋,Shimbashi,1.6,1.4,7.8,0.1,64.2,4.3,5.1,5.2,-,1,6,0.1,0.2,3,－
六本木・虎ノ門,Roppongi/Toranomon,4.2,13.9,0.8,0.2,32.7,5.4,3.5,9.4,0.2,4,24.6,0.1,0.2,0.8,－
新宿,Shinjuku,3.7,7.9,2.6,0.9,36.9,13,3.7,12.1,2.3,1.6,11.4,0,0.1,3.7,－
渋谷,Shibuya,1.9,5.9,0.9,0.8,36.8,14.9,13.3,5.9,1.9,2.9,12.2,-,0.1,2.5,－
池袋,Ikebukuro,3.4,6.5,0.8,1.3,23.9,17.9,5.6,8,2.7,6.7,19.2,0.3,0.2,3.7,－
大崎,Osaki,0.4,1.3,0.6,0.3,44.6,8.2,3.5,3.3,0.9,1.7,28.2,2.9,0.6,3.5,－
上野・浅草,Ueno/Asakusa,0.9,13.8,1.5,0.1,20.5,8.2,15.7,6.3,0.2,8.3,15.6,0.2,2.3,6.4,－
錦糸町・亀戸,Kinshicho/Kameido,0.8,6.7,2.4,1.2,11.5,9.3,12,3.9,2.2,11.8,32.3,1.3,2,2.8,－
台場,Daiba,-,8.5,0.3,1,21.5,18.2,3.3,16,3.1,-,22.8,-,-,5.2,－
有明,Ariake,0,11,2,5.6,7.8,32.2,-,4.5,7.2,-,10.7,0.9,-,18,－
青海,Aomi,5.3,24.4,-,2.7,24.8,19.5,-,7.7,10.9,-,-,-,-,4.8,－
品川,Shinagawa,2.8,15,0.3,13.1,26,3.8,0.6,9.9,1.7,0.6,17.3,0.9,0,7.9,－
秋葉原,Akihabara,3.2,2.8,0.2,-,46.4,23.2,7.6,3.5,-,1.2,5,-,0.2,6.7,－
