地域,Area,BP-1／官公庁施設構成比(%),BP-2／教育文化施設構成比(%),BP-3／厚生医療施設構成比(%),BP-4／供給処理施設構成比(%),BC-1／事務所建築物構成比(%),BC-2／専用商業施設構成比(%),BC-3／住商併用施設構成比(%),BC-4宿泊・遊興施設構成比(%),BC-5／スポーツ・興業施設構成比(%),BR-1／独立住宅構成比(%),BR-2／集合住宅構成比(%),BI-1／専用工場構成比(%),BI-2／住居併用工場構成比(%),BI-3／倉庫運輸関係施設構成比(%),BA／農林漁業施設構成比(%)
大手町,Otemachi,6.5,-,-,0.3,90.8,0.5,-,1.9,-,-,-,-,-,0,-
丸の内,Marunouchi,-,7.9,-,0.1,58.6,11.9,-,1.3,-,-,-,-,-,20.2,-
有楽町,Yurakucho,0,0,0,-,53.7,31.8,0.3,5,4.9,0,-,-,-,4.2,-
日比谷・内幸町,Hibiya/Uchisaiwaicho,0.4,7.2,-,1,66.6,3.1,-,20.9,0.7,-,-,-,-,0,-
霞が関,Kasumigaseki,81.1,-,-,0.3,16.9,1.6,-,-,-,-,-,-,-,0.2,-
永田町,Nagatacho,52.2,20.6,-,0.2,15.1,2.1,0.1,6.7,-,0.5,2.2,-,-,0.3,-
日本橋,Nihombashi,7.9,1.2,0.2,-,73.2,11.4,4.2,1,-,0.1,0.7,-,-,0.2,-
八重洲,Yaesu,0.3,-,0,-,85,2.3,5.3,5.9,-,0.1,0.8,-,-,0.4,-
京橋,Kyobashi,1.1,0.9,1.1,-,88.8,0.5,3.3,3.1,-,0.2,0.7,-,-,0.3,-
銀座,Ginza,2.4,1.6,0.5,-,51.6,20.5,6.9,12.6,-,0.4,3.1,0,0.1,0.2,-
新橋,Shimbashi,1.5,1.1,6.4,0.1,65.1,4.1,5.4,5.8,-,1,5.7,0.1,0.3,3.5,-
六本木・虎ノ門,Roppongi/Toranomon,2.8,9.4,0.9,0.1,38.1,5.9,4.6,8.7,0.1,4.2,24.3,0.1,0.2,0.6,-
新宿,Shinjuku,2.8,5.4,2,0.6,35.7,16,4,14.2,2.6,1.6,10.9,0,0.1,4.1,-
渋谷,Shibuya,1.9,5,0.8,0.7,36.4,18.1,13.4,6.3,2.1,2.6,10.1,-,0.1,2.5,-
池袋,Ikebukuro,3,6,0.8,0.8,25.1,21.1,5.6,8.4,2.9,5.7,16.3,0.1,0.2,3.8,-
大崎,Osaki,0.5,1.4,0.7,0.3,42,8.2,4.4,4.1,1.3,1.6,27.7,3.3,0.7,3.9,-
上野・浅草,Ueno/Asakusa,0.9,8.7,1.2,0,23.1,9.4,16.9,6.8,0.3,8.3,15.9,0.2,2.4,5.8,-
錦糸町・亀戸,Kinshicho/Kameido,0.8,4.7,2.5,0.8,12.2,9.9,14,4.7,2.9,11.8,29.7,1.4,2.2,2.4,-
台場,Daiba,-,8.1,0.5,1.3,16.5,25.6,3.4,20.9,2.3,-,14.8,-,-,6.6,-
有明,Ariake,0,8.1,1.9,5.1,9.3,41.3,-,3.9,9.6,-,5.6,0.8,-,14.3,-
青海,Aomi,5.2,19.6,-,2.4,29.5,21.8,-,6.2,13.2,-,#VALUE!,-,-,2.1,-
品川,Shinagawa,2,8.5,0.3,9.7,30.7,5,0.9,10.1,2.4,0.8,17.7,1.2,0,10.8,-
秋葉原,Akihabara,2.7,2.2,0.2,-,45.2,24.7,8,3.5,-,1.1,4,-,0.3,8.1,-
