地域,Area,BP-1／官公庁施設構成比(%),BP-2／教育文化施設構成比(%),BP-3／厚生医療施設構成比(%),BP-4／供給処理施設構成比(%),BC-1／事務所建築物構成比(%),BC-2／専用商業施設構成比(%),BC-3／住商併用施設構成比(%),BC-4／宿泊・遊興施設構成比(%),BC-5／スポーツ・興行施設構成比(%),BR-1／独立住宅構成比(%),BR-2／集合住宅構成比(%),BI-1／専用工場構成比(%),BI-2／住居併用工場構成比(%),BI-3／倉庫運輸関係施設構成比(%),BA／農林漁業施設構成比(%)
千代田区,Chiyoda-ku,29.5,12.1,1,0.2,35.5,3.7,2.9,3.1,0.2,1.3,8.1,0,0.1,2.3,-
中央区,Chuo-ku,3.8,4.7,1.8,2.1,39,5.3,7.4,2.8,0.1,3.2,26.3,0.2,0.4,3,-
港区,Minato-ku,8.3,12.9,2,1.8,23.9,3.7,3.5,5.4,0.8,7.4,25.8,0.6,0.3,3.7,-
新宿区,Shinjuku-ku,3.5,12.7,2.9,0.8,11.4,2.6,5.7,2.5,1.9,20.7,33.3,0.4,0.6,1,-
文京区,Bunkyo-ku,0.8,23,2.8,0.3,7.3,0.5,6.5,1.3,1.6,28.2,25.4,0.4,1,0.9,-
台東区,Taito-ku,0.9,17.8,1.6,0.7,12.6,3.7,13.2,3.3,0.3,18.3,20.5,0.5,3.5,3.1,-
墨田区,Sumida-ku,0.9,8,2.4,1.1,5.4,3.3,10.6,0.9,1.2,23.6,28.1,4.6,7,2.9,-
江東区,Koto-ku,1.5,7.8,1.5,7.9,8.2,5.8,3.5,0.9,2.7,9.1,24.5,4.4,1.1,21.1,-
品川区,Shinagawa-ku,1.4,8.5,1.4,3.3,8.2,2.2,5,0.6,3.1,24.5,30.4,2.6,1.5,7.3,-
目黒区,Meguro-ku,0.9,12.8,2.3,0.1,3.1,1.9,6,0.7,0.4,37.4,32.6,0.4,0.7,0.7,0
大田区,Ota-ku,0.9,6.6,1.5,3.8,3,1.6,4.6,0.5,0.8,30.8,24,4.3,2.2,15.6,0
世田谷区,Setagaya-ku,0.6,10,2.7,1.1,2,2,4.5,0.1,0.8,44.1,30.7,0.3,0.3,0.8,0
渋谷区,Shibuya-ku,1.6,17.6,1.8,0.3,12.3,4.4,9.5,0.9,2,19.9,28.2,0.2,0.2,1.1,-
中野区,Nakano-ku,0.6,8.3,2.2,0.3,2.5,1.3,5.7,0.3,0.1,37.3,39.8,0.1,0.4,1,0
杉並区,Suginami-ku,0.5,8.7,2.2,0.4,1.6,1.5,4.1,0.1,0.3,49,30.2,0.3,0.3,0.8,0
豊島区,Toshima-ku,0.9,12,1.7,0.5,6.4,3,6.8,1.3,0.7,30,34.5,0.3,0.5,1.5,-
北区,Kita-ku,1.1,10.8,2.6,0.8,3.5,2,5.3,0.3,1.2,32.3,32.2,4.4,1,2.5,-
荒川区,Arakawa-ku,0.8,8.8,2.2,5.1,4.4,2.1,8.6,0.5,0.2,29.1,27.6,2.3,4.9,3.5,-
板橋区,Itabashi-ku,0.5,8.5,3,2.6,2.5,2.8,4.9,0.3,0.3,31.5,32.6,4.9,1.6,4,0
練馬区,Nerima-ku,0.5,8.8,2.1,0.4,1.6,2.6,4.2,0.1,0.5,49.5,27,0.7,0.4,1.4,0.1
足立区,Adachi-ku,0.7,7.9,2.2,2.2,2.3,4.1,5.5,0.3,0.5,37.4,25.6,4,1.8,5.4,0
葛飾区,Katsushika-ku,1.3,8.5,2.3,3.2,1.8,3.1,5.6,0.3,0.6,39.7,25.4,3.3,2.3,2.5,0
江戸川区,Edogawa-ku,0.6,8.4,1.7,2,2.4,3.5,4.6,0.4,0.7,36.9,28.3,4.6,1.8,4.1,0.1
