地域,Area,BP-1／官公庁施設構成比(%),BP-2／教育文化施設構成比(%),BP-3／厚生医療施設構成比(%),BP-4／供給処理施設構成比(%),BC-1／事務所建築物構成比(%),BC-2／専用商業施設構成比(%),BC-3／住商併用施設構成比(%),BC-4／宿泊・遊興施設構成比(%),BC-5／スポーツ・興行施設構成比(%),BR-1／独立住宅構成比(%),BR-2／集合住宅構成比(%),BI-1／専用工場構成比(%),BI-2／住居併用工場構成比(%),BI-3／倉庫運輸関係施設構成比(%),BA／農林漁業施設構成比(%)
大手町,Otemachi,6.9,-,-,0.3,90.7,0.2,-,1.9,-,-,-,-,-,0,-
丸の内,Marunouchi,0,8.1,-,0.1,57.4,12.3,-,1.4,-,-,-,-,-,20.7,-
有楽町,Yurakucho,0.9,0,-,-,61.6,21,0.5,5.7,5.5,0.1,-,-,-,4.7,-
日比谷・内幸町,Hibiya/Uchisaiwaicho,0.4,8.5,-,1,65.8,2,-,20.7,0.7,-,-,-,-,0.9,-
霞が関,Kasumigaseki,82.6,-,-,0.2,15.7,1.4,-,-,-,-,-,-,-,0.1,-
永田町,Nagatacho,52.2,20.4,-,0.2,17.5,0.8,0.3,6.1,-,0.5,1.8,-,-,0.3,-
日本橋,Nihombashi,7.6,0.7,0.1,-,74.4,11.5,4.4,0.5,-,0.2,0.5,-,0,0.2,-
八重洲,Yaesu,0.2,2.7,0,0.1,78.5,3.9,8.7,4.9,-,0,0.6,-,-,0.5,-
京橋,Kyobashi,1.2,1,1.1,-,88.4,0.5,3.9,2.7,-,0.3,0.6,-,0.1,0.2,-
銀座,Ginza,2.5,1.6,0.4,-,54.4,18,7.4,11.6,-,0.5,2.9,0,0.1,0.4,-
新橋,Shimbashi,1.3,0.7,5.5,0.1,66.3,4,7,5.6,-,1.4,4.5,0.1,0.5,3.1,-
六本木・虎ノ門,Roppongi/Toranomon,3.2,9.7,0.9,0.1,39.3,5.4,5.4,7.5,0.1,5,22.2,0.1,0.4,0.8,-
新宿,Shinjuku,2.8,5.6,2.5,0.6,34.6,15.5,4.3,13.5,2.9,1.9,11.3,0,0.1,4.5,-
渋谷,Shibuya,2.2,5.4,0.9,0.7,36.2,15.4,15.4,6.9,2.1,3.1,9.5,-,0.1,2.2,-
池袋,Ikebukuro,4.4,5.8,1.1,0.8,25,19.8,5.8,8,3.1,6.7,15.9,0.2,0.2,3.2,-
大崎,Osaki,0.6,1.4,0.7,0.3,41.8,8.2,4.7,4.4,1.3,1.8,26.7,3.6,0.8,3.8,-
上野・浅草,Ueno/Asakusa,0.9,8.6,1.2,0,24,9.2,18.1,5.5,0.3,8.9,14.2,0.3,2.7,6,-
錦糸町・亀戸,Kinshicho/Kameido,1.1,4.6,2.4,0.8,12.2,10.6,14.9,4.6,-,11.9,26.7,2.2,2.6,2.6,-
台場,Daiba,-,8.9,0.5,1.5,16.7,26,3.4,21.2,-,-,15,-,-,6.7,-
有明,Ariake,0,7.8,2.6,7,14.4,37.4,-,4.1,4.4,-,5.4,1.1,-,15.8,-
青海,Aomi,6,18.2,-,2.8,33.4,30,-,7.1,-,-,-,-,-,2.4,-
品川,Shinagawa,2.1,8.5,0.1,11.1,30.5,4.9,1,10,2.4,0.9,16.8,1.4,0,10.2,-
秋葉原,Akihabara,2.4,2.6,0.1,-,45.4,24,9.5,2.4,-,1.5,3.6,-,0.3,8.2,-
