地域,Area,BP／公共構成比(%),BC／商業構成比(%),BR／住宅構成比(%),BI／工業構成比(%),BA／農業構成比(%)
大手町,Otemachi,12.9,87,-,0,-
丸の内,Marunouchi,7.8,70.8,-,21.4,-
有楽町,Yurakucho,0.3,96.2,0,3.4,-
日比谷・内幸町,Hibiya/Uchisaiwaicho,10.3,89.6,-,0.1,-
霞が関,Kasumigaseki,83.3,16.5,-,0.2,-
永田町,Nagatacho,83.5,14.6,1.8,0.2,-
日本橋,Nihombashi,10.1,88.8,0.8,0.3,-
八重洲,Yaesu,0.5,98.3,0.7,0.5,-
京橋,Kyobashi,3.3,95.2,0.9,0.6,-
銀座,Ginza,6.8,88.7,4,0.5,-
新橋,Shimbashi,10.9,78.8,7,3.3,-
六本木・虎ノ門,Roppongi/Toranomon,19.1,51.3,28.6,1,-
新宿,Shinjuku,15.2,67.9,13.1,3.8,-
渋谷,Shibuya,9.5,72.7,15.1,2.6,-
池袋,Ikebukuro,11.9,58.1,25.9,4.2,-
大崎,Osaki,2.6,60.5,29.8,7,-
上野・浅草,Ueno/Asakusa,16.3,51,23.9,8.8,-
錦糸町・亀戸,Kinshicho/Kameido,11.1,38.8,44,6,-
台場,Daiba,9.9,62.1,22.8,5.2,-
有明,Ariake,18.6,51.8,10.7,18.9,-
青海,Aomi,32.3,62.9,-,4.8,-
品川,Shinagawa,31.2,41.9,18,8.8,-
秋葉原,Akihabara,6.2,80.7,6.2,6.9,-
