地域,Area,BP-1／官公庁施設構成比(%),BP-2／教育文化施設構成比(%),BP-3／厚生医療施設構成比(%),BP-4／供給処理施設構成比(%),BC-1／事務所建築物構成比(%),BC-2／専用商業施設構成比(%),BC-3／住商併用施設構成比(%),BC-4／宿泊・遊興施設構成比(%),BC-5／スポーツ・興行施設構成比(%),BR-1／独立住宅構成比(%),BR-2／集合住宅構成比(%),BI-1／専用工場構成比(%),BI-2／住居併用工場構成比(%),BI-3／倉庫運輸関係施設構成比(%),BA／農林漁業施設構成比(%)
大手町,Otemachi,14.3,-,-,0.4,82.9,0.2,-,2.2,-,-,-,-,-,0,-
丸の内,Marunouchi,0,8,-,0.2,58.2,11.7,-,1.4,-,-,-,-,-,20.6,-
有楽町,Yurakucho,0.9,0.2,-,-,60.9,21.3,0.6,6.9,5.3,0.1,-,-,-,3.9,-
日比谷・内幸町,Hibiya/Uchisaiwaicho,0.4,10.7,-,1,65,3.1,-,18.4,0.6,-,-,-,-,0.7,-
霞が関,Kasumigaseki,82.1,-,-,0.2,14,3.6,-,-,-,-,-,-,-,0.2,-
永田町,Nagatacho,63.1,20,-,0.2,10.6,0.7,0.1,3.6,-,0.3,1.3,-,-,0.2,-
日本橋,Nihombashi,7.6,1.2,0.1,-,74.8,10.3,4.4,0.4,-,0.2,0.5,-,0,0.4,-
八重洲,Yaesu,0.2,4.1,0.1,0.1,77.5,3.9,8.3,4.6,-,0,0.6,-,-,0.7,-
京橋,Kyobashi,1.4,0.8,1.2,-,88.1,0.5,4,2.5,-,0.3,0.6,-,0.1,0.6,-
銀座,Ginza,3.1,3.3,0.4,-,53.5,16.5,7.4,11.1,-,0.6,3.3,0.1,0.1,0.5,-
新橋,Shimbashi,1.6,1.5,7.2,0.1,64.2,4.4,6.5,5.1,-,1.3,5,0.1,0.5,2.7,-
六本木・虎ノ門,Roppongi/Toranomon,4.7,14.6,0.6,0.2,33.1,5.1,4.1,8,0.1,4.9,23,0.1,0.3,1,-
新宿,Shinjuku,3.7,8,3.4,0.8,35.9,12.6,4,11.3,2.6,2,11.5,0,0.1,4,-
渋谷,Shibuya,2.3,6.3,0.9,0.8,36.2,12.5,15.5,6.5,2,3.6,11.5,-,0.1,1.9,-
池袋,Ikebukuro,5.6,6.2,1,1.2,23.5,16.5,5.8,7.6,2.8,7.6,18.4,0.3,0.2,3.3,-
大崎,Osaki,0.4,1.3,0.6,0.3,44,8.3,3.8,3.3,0.9,1.8,27.9,3.4,0.6,3.4,-
上野・浅草,Ueno/Asakusa,1,14.1,1.5,0,21.5,8,16.6,5.1,0.2,8.7,13.9,0.3,2.4,6.7,-
錦糸町・亀戸,Kinshicho/Kameido,1.1,6.5,2.3,1,11.4,9.9,12.9,3.8,2.3,12,29.6,1.9,2.3,3,-
台場,Daiba,-,9.2,0.4,1.2,22.1,18.6,3.4,16.4,-,-,23.4,-,-,5.4,-
有明,Ariake,0.1,10.4,2.6,7.7,11.5,30.6,-,4.6,2.3,-,9.2,1.3,-,19.8,-
青海,Aomi,5.9,21.9,-,2.9,26.6,28.4,-,8.2,1.1,-,-,-,-,5,-
品川,Shinagawa,2.9,14.9,0.1,14.4,25.4,3.8,0.6,9.7,1.7,0.7,16.8,1.2,0,7.9,-
秋葉原,Akihabara,2.9,3.2,0.1,-,46.3,22.4,9.3,2.4,-,1.5,4.6,-,0.4,6.9,-
