地域,Area,BP-1／官公庁施設構成比(%),BP-2／教育文化施設構成比(%),BP-3／厚生医療施設構成比(%),BP-4／供給処理施設構成比(%),BC-1／事務所建築物構成比(%),BC-2／専用商業施設構成比(%),BC-3／住商併用施設構成比(%),BC-4／宿泊・遊興施設構成比(%),BC-5／スポーツ・興行施設構成比(%),BR-1／独立住宅構成比(%),BR-2／集合住宅構成比(%),BI-1／専用工場構成比(%),BI-2／住居併用工場構成比(%),BI-3／倉庫運輸関係施設構成比(%),BA／農林漁業施設構成比(%)
大手町,Otemachi,3.4,-,-,0.1,94.8,0.3,-,1.4,-,-,-,-,-,0,-
丸の内,Marunouchi,-,6.2,-,0.1,80.1,4.4,-,1.8,-,-,-,-,-,7.5,-
有楽町,Yurakucho,0,0,0,-,57.3,28,0.1,8.6,5.5,0,-,-,-,0.5,-
日比谷・内幸町,Hibiya/Uchisaiwaicho,0,2.5,-,0.2,81.2,0.6,-,15.5,0,-,-,-,-,0,-
霞が関,Kasumigaseki,74.5,-,-,0.1,25.2,0.3,-,-,-,-,-,-,-,0,-
永田町,Nagatacho,47.2,9.6,-,0.1,29.1,0.5,0.1,11.1,-,0.1,2.3,-,-,0,-
日本橋,Nihombashi,5.2,0.6,0.1,-,80,9.9,2.8,0.7,-,0,0.5,-,-,0.1,-
八重洲,Yaesu,0,-,0,-,90.8,1.4,1.9,5,-,0,0.5,-,-,0.4,-
京橋,Kyobashi,0.4,0.5,0.4,-,93.4,0.1,1.6,2.9,-,0,0.6,-,-,0.2,-
銀座,Ginza,1.7,0.8,0.3,-,52.9,21.8,5.4,12.6,-,0.1,4.3,0,0,0.1,-
新橋,Shimbashi,1.3,0.8,6.1,0,73.1,2.2,2.7,5.4,-,0.3,7.2,0,0.1,0.8,-
六本木・虎ノ門,Roppongi/Toranomon,1.9,3.4,0.9,0,47.3,3.2,2.1,10.9,0,1,29.1,0,0.1,0.2,-
新宿,Shinjuku,3.5,3.5,2,0.1,51.3,10.5,2.1,14.9,1,0.3,9.9,0,0,0.9,-
渋谷,Shibuya,2,3.8,0.6,0.4,47.1,14.3,9.5,8.1,1.7,0.7,11.1,-,0,0.6,-
池袋,Ikebukuro,4.8,4.8,0.4,0.4,22.7,27,3.3,9,3.6,1.3,21.2,0,0.1,1.3,-
大崎,Osaki,0.2,0.8,0.4,0.1,46.1,5.4,2.4,4.7,0.4,0.3,37.1,1.1,0.1,0.8,-
上野・浅草,Ueno/Asakusa,1,4.3,1.1,0,27.4,9.5,10.8,10.3,0.2,3.8,27,0.1,1.1,3.4,-
錦糸町・亀戸,Kinshicho/Kameido,0.8,3.3,2.8,0.4,16.4,9.2,9.2,6,1.9,4.4,42.8,0.6,1,1.4,-
台場,Daiba,-,4,0.1,0.8,25.9,11.5,1.4,25,0.2,-,29.7,-,-,1.3,-
有明,Ariake,0,5.9,3.1,5,13.5,24.7,-,6.6,4.6,-,25,0.2,-,11.2,-
青海,Aomi,6.1,23.2,-,2.1,51.5,10.8,-,3.2,2.4,-,-,-,-,0.7,-
品川,Shinagawa,1,2.4,0.1,2.8,40.8,1.2,0.4,14.6,0.5,0.2,30.8,0.2,0,5,-
秋葉原,Akihabara,2.8,1.1,0.1,-,59.1,21.2,3.9,3,-,0.3,6.7,-,0.1,1.6,-
