地域,Area,BP／公共構成比(%),BC／商業構成比(%),BR／住宅構成比(%),BI／工業構成比(%),BA／農業構成比(%)
大手町,Otemachi,14.6,85.3,-,0,-
丸の内,Marunouchi,8.2,71.3,-,20.6,-
有楽町,Yurakucho,1.2,94.8,0.1,3.9,-
日比谷・内幸町,Hibiya/Uchisaiwaicho,12.1,87.1,-,0.7,-
霞が関,Kasumigaseki,82.3,17.5,-,0.2,-
永田町,Nagatacho,83.3,14.9,1.6,0.2,-
日本橋,Nihombashi,9,89.9,0.7,0.4,-
八重洲,Yaesu,4.5,94.2,0.6,0.7,-
京橋,Kyobashi,3.4,95.1,0.9,0.6,-
銀座,Ginza,6.8,88.5,3.9,0.7,-
新橋,Shimbashi,10.3,80.2,6.3,3.2,-
六本木・虎ノ門,Roppongi/Toranomon,20.1,50.5,27.9,1.4,-
新宿,Shinjuku,16,66.4,13.5,4.1,-
渋谷,Shibuya,10.2,72.7,15.1,2,-
池袋,Ikebukuro,14,56.2,26,3.8,-
大崎,Osaki,2.6,60.3,29.7,7.4,-
上野・浅草,Ueno/Asakusa,16.6,51.4,22.6,9.4,-
錦糸町・亀戸,Kinshicho/Kameido,11,40.2,41.6,7.2,-
台場,Daiba,10.8,60.5,23.4,5.4,-
有明,Ariake,20.7,49,9.2,21.1,-
青海,Aomi,30.6,64.3,-,5,-
品川,Shinagawa,32.3,41.2,17.5,9.1,-
秋葉原,Akihabara,6.2,80.4,6.1,7.3,-
