地域,Area,BP-1／官公庁施設構成比(%),BP-2／教育文化施設構成比(%),BP-3／厚生医療施設構成比(%),BP-4／供給処理施設構成比(%),BC-1／事務所建築物構成比(%),BC-2／専用商業施設構成比(%),BC-3／住商併用施設構成比(%),BC-4／宿泊・遊興施設構成比(%),BC-5／スポーツ・興行施設構成比(%),BR-1／独立住宅構成比(%),BR-2／集合住宅構成比(%),BI-1／専用工場構成比(%),BI-2／住居併用工場構成比(%),BI-3／倉庫運輸関係施設構成比(%),BA／農林漁業施設構成比(%)
千代田区,Chiyoda-ku,7.6,8.4,1,0.1,59.8,3.4,2.3,4.2,0.3,0.4,11.1,0,0,1.3,-
中央区,Chuo-ku,1.9,1.5,1,0.5,46.4,4.5,5.7,3.3,0,0.9,32.7,0.1,0.1,1.5,-
港区,Minato-ku,1.9,4,1.7,0.6,41,2.5,2.6,7,0.2,2.3,34,0.1,0.1,1.9,-
新宿区,Shinjuku-ku,2.9,6.9,3,0.3,24.8,3.7,5.9,5.9,1.2,8.4,35.5,0.3,0.5,0.5,-
文京区,Bunkyo-ku,1.7,13.5,4.9,0.4,14,0.5,8,2.6,2,14.2,36.7,0.3,0.7,0.5,-
台東区,Taito-ku,1,6.6,1.5,0.6,18,4.6,10.3,5.3,0.2,9.5,37.8,0.3,2.2,1.9,-
墨田区,Sumida-ku,0.9,4.2,2.3,0.8,7.7,7,9.2,2.3,0.7,12.5,43.4,3,4.4,1.7,-
江東区,Koto-ku,1.2,4.1,1.5,3.6,12.2,5.6,3.6,1.3,1.3,5.9,44.2,1.6,0.9,12.9,-
品川区,Shinagawa-ku,0.9,3.9,1.6,1.1,18.2,2.8,4.7,1.8,0.7,13,43.6,1.7,1,4.9,-
目黒区,Meguro-ku,0.8,6.7,2.6,0,5.9,3.3,8.2,2.1,0.5,25.9,42.5,0.4,0.6,0.5,0
大田区,Ota-ku,0.8,4,1.7,1.9,4.9,1.7,5.6,1.1,0.5,22.2,35.5,3.7,2.2,14.1,0
世田谷区,Setagaya-ku,0.7,6.7,2.9,0.5,3.1,2.3,6.8,0.1,0.5,34.4,40.9,0.2,0.3,0.6,0
渋谷区,Shibuya-ku,2,7.1,1.9,0.2,24.4,6.7,11.5,2.4,1.3,9.9,31.8,0.1,0.1,0.6,-
中野区,Nakano-ku,1,5.7,2.3,0.1,6.1,1.4,6.1,0.7,0.1,25.2,50,0.1,0.3,0.7,0
杉並区,Suginami-ku,0.7,6,2.6,0.4,2.7,1.8,6.1,0.3,0.3,38.1,39.6,0.4,0.3,0.6,0
豊島区,Toshima-ku,1.7,7.4,1.5,0.3,11.3,8.7,5.9,3.3,1.3,16,41.4,0.2,0.3,0.8,-
北区,Kita-ku,0.8,5.7,2.6,0.7,4.6,2.5,6.1,0.6,1,21.6,48.1,3.1,0.9,1.8,-
荒川区,Arakawa-ku,0.7,5.3,2.1,1.4,5,1.5,10.1,1.1,0.3,19.4,45.4,1.6,3.9,2.3,-
板橋区,Itabashi-ku,0.7,4.6,3.7,0.8,3,2.4,5.7,0.4,0.3,21.7,48.7,3.6,1.4,2.9,0
練馬区,Nerima-ku,0.7,4.9,2.3,0.3,1.8,2.5,6.2,0.4,0.3,38.5,40.4,0.5,0.4,0.8,0
足立区,Adachi-ku,0.7,4.8,2.8,1,2.5,3.4,6.2,0.6,0.2,28.6,40.6,3,1.8,3.9,0
葛飾区,Katsushika-ku,1.1,4.9,2.6,1.7,2.1,2.9,6.7,0.4,0.3,32,39,2.5,2.3,1.5,0
江戸川区,Edogawa-ku,0.5,4.6,1.7,0.9,2.6,3,4.6,0.6,0.4,28.2,45.1,3.1,1.6,2.9,0
