地域,Area,合計（ha）,L-1／宅地（ha）,L-2／その他（ha）,L-2／（屋外利用地）／内数（ha）,L-3／公園等（ha）,L-4／未利用地等（ha）,L-5／道路等（ha）,L-5／（道路）／内数（ha）,L-6／農用地（ha）,L-7／水面・河川・水路（ha）,L-8／森林（ha）,L-9／原野（ha）
大手町,Otemachi,45.9,27.8,0.2,0.2,0.6,0.1,16.2,14.1,0.0,1.0,0.0,0.0
丸の内,Marunouchi,68.7,39.2,0.1,0.1,0.1,0.0,29.3,22.5,0.0,0.0,0.0,0.0
有楽町,Yurakucho,19.2,9.6,0.0,0.0,0.0,0.2,9.3,7.6,0.0,0.0,0.0,0.0
日比谷・内幸町,Hibiya/Uchisaiwaicho,37.9,13.5,0.1,0.1,14.5,0.0,9.8,8.2,0.0,0.0,0.0,0.0
霞が関,Kasumigaseki,49.9,33.7,0.0,0.0,0.0,0.3,16.0,16.0,0.0,0.0,0.0,0.0
永田町,Nagatacho,70.7,48.0,0.6,0.6,4.4,1.3,16.3,16.3,0.0,0.0,0.0,0.0
日本橋,Nihombashi,55.2,29.7,0.2,0.2,0.2,1.9,22.3,22.3,0.0,0.9,0.0,0.0
八重洲,Yaesu,15.1,6.9,0.5,0.5,0.0,1.9,5.8,5.8,0.0,0.1,0.0,0.0
京橋,Kyobashi,22.3,12.5,0.2,0.2,0.1,0.2,9.3,9.3,0.0,0.0,0.0,0.0
銀座,Ginza,86.9,47.9,0.6,0.6,0.6,0.3,37.3,37.3,0.0,0.1,0.0,0.0
新橋,Shimbashi,97.4,52.5,1.8,1.8,1.2,0.4,41.5,37.6,0.0,0.0,0.0,0.0
六本木・虎ノ門,Roppongi/Toranomon,475.6,327.1,8.0,8.0,24.8,4.6,110.9,108.4,0.0,0.0,0.1,0.0
新宿,Shinjuku,271.6,159.9,4.1,4.1,10.7,7.1,89.6,80.6,0.0,0.2,0.0,0.0
渋谷,Shibuya,154.4,98.6,2.4,2.4,0.7,4.5,47.7,44.6,0.0,0.6,0.0,0.0
池袋,Ikebukuro,164.2,91.5,3.9,3.9,7.0,4.6,57.2,47.8,0.0,0.0,0.0,0.0
大崎,Osaki,124.2,73.2,2.7,2.7,1.5,0.8,42.0,36.3,0.0,4.0,0.0,0.0
上野・浅草,Ueno/Asakusa,270.8,163.6,5.1,5.1,6.5,1.3,94.3,90.3,0.0,0.0,0.0,0.0
錦糸町・亀戸,Kinshicho/Kameido,205.0,112.9,6.8,6.8,11.0,1.7,70.0,56.2,0.0,2.8,0.0,0.0
台場,Daiba,82.1,24.6,4.6,4.6,29.7,0.3,22.9,21.2,0.0,0.0,0.0,0.0
有明,Ariake,247.4,105.1,21.1,21.1,45.3,17.5,58.3,55.5,0.0,0.2,0.0,0.0
青海,Aomi,110.7,39.0,14.5,14.5,22.6,4.4,30.3,27.8,0.0,0.0,0.0,0.0
品川,Shinagawa,234.3,131.3,3.4,3.4,17.3,14.9,65.2,41.3,0.0,2.3,0.0,0.0
秋葉原,Akihabara,36.5,17.6,0.4,0.4,0.5,0.2,17.1,13.7,0.0,0.8,0.0,0.0
山手線内側,Inside JR Yamanote Line,6187.4,4117.9,100.4,100.3,474.1,80.2,1318.6,1284.1,0.1,94.9,0.8,0.4
環状６号線内側,Inside Ring Road No. 6,18393.1,10971.6,565.1,564.9,1341.1,365.9,4300.6,3861.7,1.3,841.0,0.8,5.7
環状７号線内側,Inside Ring Road No. 7,32230.0,19238.9,1198.1,1183.7,2158.6,570.3,7106.7,6449.5,28.0,1717.9,1.6,210.0
