地域,Area,グロス令和3年(Gross2021)構成比(%),ネット令和3年(Net2021)構成比(%)
千代田区,Chiyoda-ku,292.9,502.4
中央区,Chuo-ku,295.7,680.4
港区,Minato-ku,263.8,427.8
新宿区,Shinjuku-ku,200,291.8
文京区,Bunkyo-ku,177,253.5
台東区,Taito-ku,171.6,298.5
墨田区,Sumida-ku,147.8,264.7
江東区,Koto-ku,106.5,224.4
品川区,Shinagawa-ku,138.8,239.6
目黒区,Meguro-ku,126,171.6
大田区,Ota-ku,78.5,155.2
世田谷区,Setagaya-ku,93.5,136.8
渋谷区,Shibuya-ku,175.4,255.2
中野区,Nakano-ku,120.6,167.9
杉並区,Suginami-ku,94.6,132.8
豊島区,Toshima-ku,161.5,236.5
北区,Kita-ku,103.7,182.2
荒川区,Arakawa-ku,124.6,209.1
板橋区,Itabashi-ku,103.2,165.2
練馬区,Nerima-ku,83.9,131
足立区,Adachi-ku,77.1,139
葛飾区,Katsushika-ku,73,137.8
江戸川区,Edogawa-ku,80.3,163.1
