地域,Area,BP／公共構成比(%),BC／商業構成比(%),BR／住宅構成比(%),BI／工業構成比(%),BA／農業構成比(%)
千代田区,Chiyoda-ku,42.7,45.5,9.4,2.4,-
中央区,Chuo-ku,12.4,54.6,29.5,3.5,-
港区,Minato-ku,24.9,37.3,33.2,4.6,-
新宿区,Shinjuku-ku,20,24.1,53.9,2,-
文京区,Bunkyo-ku,27,17.2,53.6,2.3,-
台東区,Taito-ku,21,33,38.8,7.1,-
墨田区,Sumida-ku,12.4,21.4,51.7,14.5,-
江東区,Koto-ku,18.7,21.1,33.6,26.6,-
品川区,Shinagawa-ku,14.6,19.2,54.9,11.3,-
目黒区,Meguro-ku,16.1,12.1,70,1.8,0
大田区,Ota-ku,12.8,10.4,54.8,22.1,0
世田谷区,Setagaya-ku,14.4,9.4,74.8,1.3,0
渋谷区,Shibuya-ku,21.3,29.1,48.1,1.5,-
中野区,Nakano-ku,11.4,9.9,77.1,1.5,0
杉並区,Suginami-ku,11.8,7.7,79.1,1.4,0
豊島区,Toshima-ku,15.2,18,64.5,2.3,-
北区,Kita-ku,15.4,12.3,64.5,7.9,-
荒川区,Arakawa-ku,16.9,15.8,56.6,10.7,-
板橋区,Itabashi-ku,14.6,10.8,64.1,10.5,0
練馬区,Nerima-ku,11.9,9.1,76.5,2.5,0.1
足立区,Adachi-ku,12.9,12.7,63,11.3,0
葛飾区,Katsushika-ku,15.3,11.3,65.2,8.2,0
江戸川区,Edogawa-ku,12.6,11.6,65.2,10.5,0.1
