病院名,急性期,回復期,維持期,住所,電話,相談・対応窓口,備考
日本郵政株式会社東京逓信病院,○,,,千代田区富士見2-14-23,03-5214-7111(代),医療福祉相談室  03-5214-7728(直）,急性期リハビリテーションを実施し適宜評価をしています。外来でも復職支援として評価を実施しています。要予約、紹介状、診療情報提供書、脳画像
医療法人社団明善会飯田橋榎本クリニック,,,○,千代田区飯田橋4-6-5,03-5276-0601(代),「高次脳機能障害のデイナイトケアについて」とお問い合わせください。担当相談員から聞き取りを行い、予約をお取りします。,リハビリを終えた維持期の方を対象に、精神科デイナイトケアにて、精神症状や社会生活機能について、必要時は薬物療法等、フォローを行っております。要予約、紹介状、診療情報提供書
東京慈恵会医科大学附属病院,○,,○,港区西新橋3-19-18,03-3433-1111(代),リハビリテーション科外来,初診の場合は紹介状をご持参ください。外来での対応となります。症状により、関連病院（東京慈恵会医科大学附属第三病院）へ紹介します。要予約、紹介状、診療情報提供書、脳画像
国際医療福祉大学三田病院,○,○,,港区三田1-4-3,03-3451-8121(代),地域医療連携部,高次脳機能障害での当院への転入院をご希望の際は、地域医療連携部までご連絡をお願いいたします。※受け入れ確認資料として、紹介状、診療情報提供書、脳画像、ADL表等の書類のご送付をお願いいたします。要予約
慶應義塾大学病院,○,,,新宿区信濃町35, 03-3353-1211(代）,医療連携推進部ソーシャルワーカー・リハビリテーション科,初診予約必要。要紹介状、診療情報提供書、脳画像
学校法人東京女子医科大学病院,○,,,新宿区河田町8-1,03-3353-8111(代),医療連携・入退院支援部リハビリテーション科,器質的疾患の診察のみとなります。要予約、診療情報提供書、脳画像
東京医科大学病院,○,,,新宿区西新宿6-7-1,03-3342-6111(代),総合相談支援センター,症例により受け入れ不可もある。要紹介状、診療情報提供書
東京都立大久保病院,○,,,新宿区歌舞伎町2-44-1,03-5273-7711(代),患者・地域サポートセンター,事前にお問い合わせください。
順天堂大学医学部附属順天堂医院,○,,,文京区本郷3-1-3,03-3813-3111(代),リハビリテーション科外来,要予約、診療情報提供書、脳画像
東京都立駒込病院,○,,,文京区本駒込3-18-22,03-3823-2101(代),患者サポートセンター    ,がん・感染症センターの専門病院。小児科病棟、リハビリ科外来なし。リハビリ訓練は入院患者のみ。要予約、紹介状、診療情報提供書
