1,"東京都生計分析調査　令和 4年10月","","","","","","","","","","","","","","","","","",""
2,"","","","","","","","","第２表　世帯主年齢階層別１世帯当たり１か月間の品目別生計支出　―　全　世　帯　―","","","","","","","","","",""
3,"","","","","","","","","項目（0：世帯数等　2：生計支出）","","","","","","","","","",""
4,"項目","階層","大分類","中分類","小分類","中間計","符号","項目名","都平均／実数（円）","都平均／対前年同月増加率（％）","35歳未満（円）","35～39歳（円）","40～44歳（円）","45～49歳（円）","50～54歳（円）","55～59歳（円）","60～64歳（円）","65歳以上（円）","（再掲）75歳以上（円）"
5,"0","0","0","0","0","0","0","世帯数分布",10000,-,394,607,736,981,1248,1022,938,4075,2176
6,"0","0","0","0","0","0","0","調査世帯数",636,-,23,37,47,63,80,61,60,265,141
7,"0","0","0","0","0","0","0","世帯人員",2.90,-,3.03,3.44,3.80,3.49,3.43,3.12,2.83,2.31,2.28
8,"0","0","0","0","0","0","0","有業人員",1.34,-,1.62,1.67,1.52,1.63,1.85,1.79,1.75,0.80,0.63
9,"0","0","0","0","0","0","0","世帯主平均年齢",60.0,-,30.5,36.9,41.8,47.1,51.7,56.8,62.1,75.6,80.7
10,"2","2","0","0","0","0","0","生計支出",337010,2.3,283830,282268,422931,332059,435223,383304,344229,292641,280285
11,"2","3","0","0","0","0","0","消費支出",337010,2.3,283830,282268,422931,332059,435223,383304,344229,292641,280285
12,"2","4","1","0","0","0","0","食料",99028,5.4,73716,85977,115337,108781,101443,110846,103618,93365,88535
13,"2","5","1","1","0","0","0","穀類",7570,10.1,7053,5682,8812,9837,7115,7959,6912,7324,7440
14,"2","6","1","1","1","0","0","米類",2233,11.8,2666,592,2079,3628,1753,2128,2041,2346,2740
15,"2","7","1","1","1","0","102","米",2233,11.8,2666,592,2079,3628,1753,2128,2041,2346,2740
16,"2","6","1","1","2","0","0","パン",3109,9.7,2732,2999,3904,3837,2900,3239,2616,2987,2856
17,"2","7","1","1","2","0","120","食パン",1048,14.5,789,838,1087,1141,1007,1143,917,1093,1012
18,"2","7","1","1","2","0","129","他のパン",2061,7.4,1942,2161,2818,2696,1893,2097,1700,1894,1845
19,"2","6","1","1","3","0","0","麺類",1716,7.8,1150,1626,2111,1870,1790,2039,1791,1555,1450
20,"2","7","1","1","3","0","130","生うどん・そば",307,19.0,211,231,241,310,270,218,387,353,326
21,"2","7","1","1","3","0","131","乾うどん・そば",118,-7.1,78,63,156,105,47,26,105,175,222
22,"2","7","1","1","3","0","134","パスタ",148,3.5,159,150,150,223,199,219,125,101,88
23,"2","7","1","1","3","0","133","中華麺",426,9.5,148,399,592,428,458,434,448,410,406
24,"2","7","1","1","3","0","135","カップ麺",453,7.6,337,476,605,556,516,836,450,294,221
25,"2","7","1","1","3","0","132","即席麺",171,-3.4,125,226,213,168,209,193,180,142,124
26,"2","7","1","1","3","0","139","他の麺類",92,21.1,91,82,154,82,92,113,96,79,65
27,"2","6","1","1","4","0","0","他の穀類",512,13.8,506,466,718,502,672,553,464,436,394
28,"2","7","1","1","4","0","140","小麦粉",55,14.6,18,35,122,46,22,29,36,72,72
29,"2","7","1","1","4","0","150","もち",111,4.7,11,74,150,113,91,75,162,122,128
30,"2","7","1","1","4","0","160","他の穀類のその他",346,17.3,476,357,446,344,559,448,266,243,194
31,"2","5","1","2","0","0","0","魚介類",6315,-1.9,2962,2950,5525,4661,5652,6606,5772,7937,8498
32,"2","6","1","2","1","0","0","生鮮魚介",3381,-15.0,1670,1523,3036,2760,3075,3566,3353,4090,4324
33,"2","7","1","2","1","170-189","0","鮮魚",3151,-14.6,1647,1492,2944,2611,2866,3279,3060,3787,3981
34,"2","7","1","2","1","170-189","170","まぐろ",465,-27.2,182,225,262,258,583,581,399,565,540
35,"2","7","1","2","1","170-189","172","あじ",110,26.4,37,11,131,51,104,47,100,161,185
36,"2","7","1","2","1","170-189","173","いわし",25,-3.8,-,-,9,36,42,16,19,29,31
