"項目","項目名","都平均／実数（円）","都平均／構成比（％）","都平均／対前年増加率（％）","第1階層／実数（円）","第1階層／構成比（％）","第2階層／実数（円）","第2階層／構成比（％）","第3階層／実数（円）","第3階層／構成比（％）","第4階層／実数（円）","第4階層／構成比（％）","第5階層／実数（円）","第5階層／構成比（％）","第6階層／実数（円）","第6階層／構成比（％）","第7階層／実数（円）","第7階層／構成比（％）"
"0","世帯数分布",10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
"0","調査世帯数",340,-,-,48,-,48,-,49,-,49,-,49,-,49,-,47,-
"0","世帯人員",3.27,-,-,2.90,-,2.83,-,3.28,-,3.35,-,3.52,-,3.46,-,3.52,-
"0","有業人員",1.74,-,-,1.67,-,1.60,-,1.62,-,1.74,-,1.75,-,1.84,-,1.95,-
"0","世帯主平均年齢",49.7,-,-,56.3,-,52.3,-,47.9,-,47.7,-,47.3,-,47.9,-,48.6,-
"0","消費支出",350149,100.0,-2.0,245103,100.0,258480,100.0,297299,100.0,326647,100.0,400585,100.0,400937,100.0,522599,100.0
"2","基礎的支出",175563,50.1,-0.9,150569,61.4,151794,58.7,164840,55.4,165798,50.8,193368,48.3,185139,46.2,217399,41.6
"3","選択的支出",174586,49.9,-3.0,94534,38.6,106686,41.3,132459,44.6,160849,49.2,207217,51.7,215798,53.8,305200,58.4
"1","食料",95136,27.2,-2.2,76353,31.2,77959,30.2,84589,28.5,94203,28.8,93682,23.4,106857,26.7,132063,25.3
"2","基礎的支出",70922,20.3,-4.8,60997,24.9,62671,24.2,63606,21.4,69912,21.4,69737,17.4,77486,19.3,91903,17.6
"3","選択的支出",24214,6.9,6.4,15356,6.3,15288,5.9,20983,7.1,24291,7.4,23946,6.0,29371,7.3,40160,7.7
"1","住居",27728,7.9,-4.6,29617,12.1,28515,11.0,26729,9.0,26226,8.0,30365,7.6,29402,7.3,23291,4.5
"2","基礎的支出",24484,7.0,-9.0,28394,11.6,26272,10.2,24370,8.2,24041,7.4,25971,6.5,23669,5.9,18776,3.6
"3","選択的支出",3244,0.9,51.4,1223,0.5,2244,0.9,2360,0.8,2186,0.7,4395,1.1,5734,1.4,4514,0.9
"1","光熱・水道",23000,6.6,17.8,19082,7.8,20093,7.8,24184,8.1,22625,6.9,24512,6.1,24741,6.2,25631,4.9
"2","基礎的支出",23000,6.6,17.8,19082,7.8,20093,7.8,24184,8.1,22625,6.9,24512,6.1,24741,6.2,25631,4.9
"3","選択的支出",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"1","家具・家事用品",14177,4.0,-5.6,10045,4.1,8980,3.5,13035,4.4,12860,3.9,13022,3.3,14450,3.6,26828,5.1
"2","基礎的支出",9020,2.6,-13.2,6855,2.8,5885,2.3,9097,3.1,7888,2.4,9504,2.4,9464,2.4,14474,2.8
"3","選択的支出",5157,1.5,11.5,3190,1.3,3094,1.2,3938,1.3,4972,1.5,3518,0.9,4986,1.2,12354,2.4
"1","被服及び履物",14927,4.3,11.8,8559,3.5,8841,3.4,12253,4.1,14483,4.4,14579,3.6,18603,4.6,27176,5.2
"2","基礎的支出",765,0.2,-4.1,672,0.3,466,0.2,799,0.3,683,0.2,575,0.1,823,0.2,1328,0.3
"3","選択的支出",14162,4.0,12.9,7887,3.2,8375,3.2,11454,3.9,13800,4.2,14004,3.5,17780,4.4,25848,4.9
"1","保健医療",16040,4.6,-4.9,15034,6.1,14073,5.4,13600,4.6,14008,4.3,17426,4.4,18119,4.5,20048,3.8
"2","基礎的支出",13110,3.7,-6.2,12949,5.3,12029,4.7,11080,3.7,11501,3.5,14167,3.5,14279,3.6,15830,3.0
"3","選択的支出",2929,0.8,1.5,2086,0.9,2044,0.8,2520,0.8,2507,0.8,3259,0.8,3840,1.0,4217,0.8
"1","交通・通信",38780,11.1,-10.2,24630,10.0,27399,10.6,38547,13.0,37286,11.4,43826,10.9,48554,12.1,51538,9.9
"2","基礎的支出",8092,2.3,-4.7,6340,2.6,7485,2.9,6972,2.3,8068,2.5,8235,2.1,8549,2.1,10989,2.1
"3","選択的支出",30688,8.8,-11.6,18290,7.5,19913,7.7,31574,10.6,29217,8.9,35591,8.9,40005,10.0,40549,7.8
"1","教育",28810,8.2,-2.0,13565,5.5,10747,4.2,14462,4.9,21699,6.6,41443,10.3,40926,10.2,59298,11.3
"2","基礎的支出",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"3","選択的支出",28810,8.2,-2.0,13565,5.5,10747,4.2,14462,4.9,21699,6.6,41443,10.3,40926,10.2,59298,11.3
"1","教養娯楽",39480,11.3,5.6,25135,10.3,22528,8.7,29919,10.1,41843,12.8,40521,10.1,46601,11.6,69982,13.4
"2","基礎的支出",5264,1.5,-0.2,3969,1.6,4682,1.8,5000,1.7,4694,1.4,4923,1.2,6604,1.6,7002,1.3
"3","選択的支出",34216,9.8,6.5,21165,8.6,17846,6.9,24919,8.4,37149,11.4,35599,8.9,39997,10.0,62980,12.1
"1","その他の消費支出",52072,14.9,-7.1,23084,9.4,39346,15.2,39981,13.4,41415,12.7,81208,20.3,52683,13.1,86746,16.6
"2","基礎的支出",20906,6.0,21.5,11311,4.6,12211,4.7,19731,6.6,16387,5.0,35745,8.9,19524,4.9,31466,6.0
"3","選択的支出",31167,8.9,-19.8,11773,4.8,27135,10.5,20250,6.8,25028,7.7,45463,11.3,33160,8.3,55280,10.6
"","","","","","","","","","","","","","","","","","",""
"東京都生計分析調査　令和 4年","","","","","","","","","","","","","","","","","",""
"第２６表　勤め先収入７分位階層別１世帯当たり年平均１か月間の基礎的・選択的支出　―　勤労者世帯　―","","","","","","","","","","","","","","","","","",""
"項目（0：世帯数等　1：品目　2：基礎的支出　3：選択的支出）","","","","","","","","","","","","","","","","","",""
