"実数・増加率","年次コード","年次","西暦（年）","月","調査世帯数(世帯）","世帯人員（人）","有業人員（人）","世帯主平均年齢（歳）","実収入（円）","実収入／経常収入（円）","実収入／経常収入／勤め先収入（円）","実収入／経常収入／勤め先収入／世帯主の配偶者の収入（円）","実収入／経常収入／勤め先収入／他の世帯員収入（円）","実収入／経常収入／事業・内職収入（円）","実収入／経常収入／他の経常収入（円）","実収入／経常収入／他の経常収入／社会保障給付（円）","実収入／特別収入（円）","可処分所得（円）","実支出（円）","実支出／生計支出（円）","実支出／生計支出／消費支出（円）","実支出／生計支出／消費支出／食料（円）","実支出／生計支出／消費支出／食料／穀類（円）","実支出／生計支出／消費支出／食料／魚介類（円）","実支出／生計支出／消費支出／食料／肉類（円）","実支出／生計支出／消費支出／食料／乳卵類（円）","実支出／生計支出／消費支出／食料／野菜・海藻（円）","実支出／生計支出／消費支出／食料／果物（円）","実支出／生計支出／消費支出／食料／油脂・調味料（円）","実支出／生計支出／消費支出／食料／菓子類（円）","実支出／生計支出／消費支出／食料／調理食品（円）","実支出／生計支出／消費支出／食料／飲料（円）","実支出／生計支出／消費支出／食料／酒類（円）","実支出／生計支出／消費支出／食料／外食（円）","実支出／生計支出／消費支出／住居（円）","実支出／生計支出／消費支出／住居／家賃地代（円）","実支出／生計支出／消費支出／住居／設備修繕・維持（円）","実支出／生計支出／消費支出／光熱・水道（円）","実支出／生計支出／消費支出／光熱・水道／電気代（円）","実支出／生計支出／消費支出／光熱・水道／ガス代（円）","実支出／生計支出／消費支出／光熱・水道／他の光熱（円）","実支出／生計支出／消費支出／光熱・水道／上下水道料（円）","実支出／生計支出／消費支出／家具・家事用品（円）","実支出／生計支出／消費支出／家具・家事用品／家庭用耐久財（円）","実支出／生計支出／消費支出／家具・家事用品／室内装備・装飾品（円）","実支出／生計支出／消費支出／家具・家事用品／寝具類（円）","実支出／生計支出／消費支出／家具・家事用品／家事雑貨（円）","実支出／生計支出／消費支出／家具・家事用品／家事用消耗品（円）","実支出／生計支出／消費支出／家具・家事用品／家事サービス（円）","実支出／生計支出／消費支出／被服及び履物（円）","実支出／生計支出／消費支出／被服及び履物／和服（円）","実支出／生計支出／消費支出／被服及び履物／洋服（円）","実支出／生計支出／消費支出／被服及び履物／シャツ・セーター類（円）","実支出／生計支出／消費支出／被服及び履物／下着類（円）","実支出／生計支出／消費支出／被服及び履物／生地・糸類（円）","実支出／生計支出／消費支出／被服及び履物／他の被服（円）","実支出／生計支出／消費支出／被服及び履物／履物類（円）","実支出／生計支出／消費支出／被服及び履物／被服関連サービス（円）","実支出／生計支出／消費支出／保健医療（円）","実支出／生計支出／消費支出／保健医療／医薬品（円）","実支出／生計支出／消費支出／保健医療／健康保持用摂取品（円）","実支出／生計支出／消費支出／保健医療／保健医療用品 ・器具（円）","実支出／生計支出／消費支出／保健医療／保健医療サービス（円）","実支出／生計支出／消費支出／交通・通信（円）","実支出／生計支出／消費支出／交通・通信／交通（円）","実支出／生計支出／消費支出／交通・通信／自動車等関係費（円）","実支出／生計支出／消費支出／交通・通信／通信（円）","実支出／生計支出／消費支出／教育（円）","実支出／生計支出／消費支出／教育／授業料等（円）","実支出／生計支出／消費支出／教育／教科書・学習参考教材（円）","実支出／生計支出／消費支出／教育／補習教育（円）","実支出／生計支出／消費支出／教養娯楽（円）","実支出／生計支出／消費支出／教養娯楽／教養娯楽用耐久財（円）","実支出／生計支出／消費支出／教養娯楽／教養娯楽用品（円）","実支出／生計支出／消費支出／教養娯楽／書籍・他の印刷物（円）","実支出／生計支出／消費支出／教養娯楽／教養娯楽サービス（円）","実支出／生計支出／消費支出／その他の消費支出（円）","実支出／生計支出／消費支出／その他の消費支出／諸雑費（円）","実支出／生計支出／消費支出／その他の消費支出／こづかい（円）","実支出／生計支出／消費支出／その他の消費支出／交際費（円）","実支出／生計支出／消費支出／その他の消費支出／仕送り金（円）","実支出／生計支出／土地家屋購入（円）","実支出／その他の実支出（円）","平均消費性向（％）","エンゲル係数（％）"
"Jissu","nen","実数_令和 3年","2021","",214,2.34,0.43,75.1,235231,228818,32643,9198,23445,6694,189480,183738,6413,195835,292619,253223,253223,79382,6572,7795,7314,4407,11945,4838,4025,5798,12151,4753,3451,6334,23196,5282,17914,20297,9148,5597,446,5107,11282,4091,578,735,1883,2967,1029,6594,284,2256,1411,838,136,486,840,344,18792,3356,1520,2482,11434,20104,2858,7189,10056,2351,2082,19,250,24759,1623,4732,4490,13915,46466,20670,5674,18084,2038,-,39396,129.3,31.3
"Jissu","nen","実数_令和 4年","2022","",211,2.25,0.41,75.3,248209,230354,27815,13357,14458,8229,194309,185240,17855,214648,304792,271232,265685,79514,6421,7620,6689,4162,11481,4478,3943,5988,13024,4761,3773,7174,23096,8870,14226,22860,11148,6421,635,4655,10720,4294,511,691,1626,2859,740,5945,20,1839,1261,798,117,539,894,476,18901,3303,2004,2242,11352,27463,4114,13614,9735,636,536,12,88,27505,1613,4058,4325,17509,49046,23531,4542,19593,1380,5547,33560,123.8,29.9
"Jissu","tuki","実数_令和 4年 1月","2022","1",216,2.25,0.43,75.0,52108,48316,27329,7773,19557,9146,11840,6489,3793,29693,275899,253484,253484,71479,5886,7118,6453,3835,10496,4534,3593,5310,11675,4002,2890,5689,12420,5650,6769,23878,9992,8002,2206,3679,8839,3299,409,248,1681,2426,776,4741,-,1667,737,695,121,577,868,75,16650,2741,1899,1952,10058,24043,2992,11552,9500,58,58,-,-,28122,1516,2542,4411,19654,63254,24667,5059,31243,2285,-,22415,853.7,28.2
"Jissu","tuki","実数_令和 4年 2月","2022","2",217,2.25,0.40,75.3,395533,387383,21361,7913,13447,6212,359810,356339,8150,352865,297146,254477,254477,69564,5983,6774,5920,3874,10614,4436,3449,5545,10895,3917,2998,5159,20791,6773,14018,28672,12514,9227,1527,5403,8283,3520,236,441,1344,2304,439,3685,-,1395,645,500,79,370,573,124,12842,2773,1299,1380,7391,31026,1983,20020,9024,58,52,6,-,19425,1123,3052,4334,10916,60131,36951,5831,15208,2141,-,42669,72.1,27.3
"Jissu","tuki","実数_令和 4年 3月","2022","3",214,2.27,0.38,75.4,59047,35822,14447,5277,9171,8169,13205,9170,23225,43334,331493,315781,265216,80086,6709,8010,6247,4206,11427,4498,3808,6444,13150,4677,3763,7146,19120,6818,12301,28801,14246,9451,995,4109,8115,1986,421,791,1481,2749,687,6954,3,2629,1538,777,69,694,736,508,18870,3251,1595,1588,12436,29191,3588,16356,9248,1225,1201,24,-,24356,1421,4796,4438,13701,48499,21873,2604,23052,970,50565,15712,612.0,30.2
"Jissu","tuki","実数_令和 4年 4月","2022","4",225,2.24,0.38,75.4,404541,395532,20124,8317,11808,6867,368541,363027,9008,371147,314375,280981,273226,74599,6213,7038,5968,3890,10719,3800,3360,5625,12371,4323,3687,7605,16633,9542,7092,27181,13058,8556,148,5419,8229,2608,387,528,1594,2621,490,6040,8,1951,1232,843,44,355,904,703,15104,2997,1490,2528,8089,39979,4676,25619,9685,3114,3114,-,-,30826,1438,4606,4456,20326,51521,21107,3522,25135,1757,7755,33394,73.6,27.3
"Jissu","tuki","実数_令和 4年 5月","2022","5",221,2.28,0.38,75.3,40668,33893,16707,7207,9500,4842,12344,10270,6774,11186,321336,291855,291855,80896,6530,7301,6181,4166,11090,4069,3708,6403,13489,5526,3992,8442,42922,8466,34456,21832,11177,7072,51,3532,8968,3779,230,199,1393,2880,488,6060,-,1411,1451,541,81,664,1082,831,19217,2675,1276,2195,13071,40259,4374,26575,9310,1536,1478,25,34,26866,1369,4257,4228,17011,43299,18519,3626,19695,1459,-,29482,2609.1,27.7
"Jissu","tuki","実数_令和 4年 6月","2022","6",216,2.28,0.40,75.1,530442,436035,34099,15366,18732,11126,390810,372767,94408,462528,320677,252763,244521,79022,6414,7258,6074,4162,11809,4060,3787,6503,12345,5154,3452,8004,23708,10743,12966,20542,8993,5714,101,5735,12952,7007,596,503,1472,2906,468,7016,-,2097,1662,971,114,380,1129,662,14777,3030,1392,2251,8104,20161,4771,5871,9518,127,127,-,-,23556,806,3687,4233,14830,42660,18691,5219,17691,1058,8242,67914,52.9,32.3
"Jissu","tuki","実数_令和 4年 7月","2022","7",207,2.26,0.42,75.4,55544,52111,33604,13602,20002,7996,10511,6816,3433,43197,260558,248211,248211,78449,6139,6347,6381,4368,11873,4668,3961,6079,12198,5347,3775,7313,17829,8998,8831,17298,8918,4604,54,3722,11583,5538,637,288,1551,3111,459,4444,13,1158,1375,703,141,293,537,224,19592,3450,2662,1656,11823,19070,4029,6199,8842,266,26,4,236,40594,451,3181,4118,32844,39085,18389,4497,15751,447,-,12347,574.6,31.6
"Jissu","tuki","実数_令和 4年 8月","2022","8",214,2.24,0.43,75.5,420037,414520,24451,11396,13054,10095,379974,374572,5516,367875,314170,262008,262008,80128,6307,6885,6913,4214,12258,5294,3900,6093,12708,5337,3790,6429,17917,9461,8456,20867,10941,4002,55,5870,10860,2411,247,1361,1405,3037,2400,4377,13,1152,884,753,163,385,878,148,27956,3673,3405,2623,18255,20831,3400,6705,10726,58,20,12,25,24278,662,3372,4229,16015,54738,32438,6021,14481,1799,-,52162,71.2,30.6
"Jissu","tuki","実数_令和 4年 9月","2022","9",208,2.23,0.41,75.2,54767,52540,29617,14428,15189,8858,14065,8158,2227,38989,265772,249994,249994,79148,6216,6994,6815,4206,12071,4824,4497,5447,12638,4850,4653,5936,22059,10226,11833,20312,12541,3805,67,3898,11712,4617,309,1347,1655,3102,683,5609,22,1768,953,905,187,415,1081,278,21419,3059,2245,2797,13318,23465,4220,8573,10672,283,240,17,26,27219,5990,3837,4243,13150,38768,18263,4802,13636,2067,-,15778,641.2,31.7
"Jissu","tuki","実数_令和 4年10月","2022","10",204,2.26,0.40,75.2,423439,417322,31406,15421,15985,8790,377127,368566,6116,375111,320267,271938,271938,82710,6700,7018,7319,4419,12162,4577,4315,6029,14624,4377,3563,7607,13790,9505,4285,21201,11484,3914,332,5471,16256,9009,1310,796,1611,2712,818,8878,94,1908,2131,998,226,871,1433,1218,20176,4075,2201,3114,10786,33894,5936,18568,9390,791,31,59,701,30352,1928,4032,4371,20021,43892,19988,5484,16842,1579,-,48328,72.5,30.4
"Jissu","tuki","実数_令和 4年11月","2022","11",193,2.24,0.41,75.7,101477,61786,34361,23927,10434,6846,20578,4477,39691,86303,298035,282862,282862,78883,6441,7414,6705,4212,10881,4255,3963,5425,13379,4727,3438,8043,49869,10521,39348,19354,9540,5521,583,3709,13482,6048,666,1238,1737,3141,653,7308,86,3184,1254,1028,104,619,565,467,19333,3671,2913,1995,10753,26097,5422,9638,11036,39,22,-,17,27519,1165,4964,4264,17126,40976,19705,3880,16803,589,-,15174,327.8,27.9
"Jissu","tuki","実数_令和 4年12月","2022","12",191,2.25,0.44,75.1,440899,428984,46279,29658,16621,9803,372903,342226,11914,393553,337772,290427,290427,99207,7515,13287,9290,4392,12372,4721,4969,6957,16815,4897,5274,8716,20090,9732,10358,24376,10374,7185,1501,5316,9355,1701,681,548,2586,3323,516,6230,-,1747,1275,867,74,847,940,479,20874,4240,1675,2825,12134,21537,3975,7691,9871,76,59,-,17,26952,1487,6370,4579,14516,61730,31778,3960,25581,410,-,47345,73.8,34.2
"meimoku","nen","対前年（同月）名目増加率_平成23年","2011","",-,-,-,-,0.3,0.7,-14.2,7.6,-27.1,23.3,1.6,2.2,-12.9,1.5,2.6,3.6,-1.4,2.6,-1.2,2.0,5.2,-3.4,1.1,4.0,6.1,-2.9,2.8,9.7,3.5,6.4,-10.9,-4.1,-15.6,-7.0,-7.4,-7.3,15.6,-8.0,6.9,5.5,0.5,62.1,9.0,5.2,-4.6,3.8,-21.8,6.9,1.2,-2.3,43.9,7.3,-4.4,9.0,3.9,6.1,14.5,2.5,2.1,-9.9,-0.1,-23.1,0.3,-7.0,1.3,-59.6,-34.8,-6.8,-38.3,4.2,-7.5,-2.5,2.4,3.1,0.3,4.3,-23.4,623.2,-5.6,,
"meimoku","nen","対前年（同月）名目増加率_平成24年","2012","",-,-,-,-,-2.5,-2.6,18.8,10.6,25.9,-5.4,-4.5,-4.2,1.5,-2.1,-1.9,-1.6,3.5,2.0,1.4,-0.6,-1.9,6.3,-2.8,-0.7,1.6,0.3,10.2,8.5,5.9,1.7,23.8,4.7,38.7,12.1,10.4,20.3,19.0,4.2,-4.0,-23.9,6.2,3.7,7.9,11.5,9.0,5.0,16.2,0.2,2.0,25.1,1.6,17.2,2.2,-0.2,4.3,1.8,8.1,5.2,4.4,10.9,2.5,27.9,-0.4,83.2,61.8,119.0,219.7,-7.0,-21.3,-7.2,2.2,-7.1,-2.2,6.0,-11.9,-4.8,-24.9,-87.9,-4.6,,
"meimoku","nen","対前年（同月）名目増加率_平成25年","2013","",-,-,-,-,1.6,0.1,0.4,-32.5,25.5,11.1,-0.3,0.2,52.1,-0.5,3.4,2.4,3.0,-0.8,-3.1,-2.1,3.4,0.9,0.8,0.9,-1.3,-2.2,-8.6,-2.9,13.6,1.6,9.6,0.8,14.7,4.1,12.7,-4.0,-19.5,2.5,7.0,33.8,-9.0,50.7,-18.5,-6.2,-4.7,-0.9,72.2,-6.2,13.5,-15.5,-12.4,-8.8,28.2,-22.8,1.2,-1.2,7.1,20.3,-2.4,1.5,-0.6,6.9,-4.0,-64.7,-68.8,-26.1,-53.5,5.0,-3.4,-2.4,-5.6,10.4,8.6,15.1,-12.2,9.0,-11.7,-79.3,12.4,,
"meimoku","nen","対前年（同月）名目増加率_平成26年","2014","",-,-,-,-,-4.3,-2.7,-3.1,-39.0,11.7,19.5,-3.7,-5.8,-41.3,-3.9,-2.9,-2.4,-4.1,1.3,-1.5,-1.5,10.0,7.1,0.2,-2.8,6.3,3.2,8.2,-1.8,-4.3,-4.4,-18.0,-27.4,-13.1,-0.9,-3.2,4.5,18.8,-5.4,-1.8,-10.0,0.6,-22.7,6.5,8.2,15.1,-6.8,23.5,-5.7,-13.8,-7.9,-37.3,6.9,-12.9,10.2,-3.3,6.0,-1.5,-12.7,-4.2,2.4,4.0,-0.1,4.9,-38.2,-49.6,-20.6,-14.4,0.2,-10.9,19.5,8.2,-4.7,-10.5,-6.2,2.7,-18.2,25.7,...,-6.6,,
"meimoku","nen","対前年（同月）名目増加率_平成27年","2015","",-,-,-,-,-1.5,-1.4,-1.1,85.9,-20.6,20.2,-2.6,-1.4,-6.8,-3.7,1.6,0.7,2.7,3.1,0.6,4.0,4.3,8.0,6.9,9.4,-1.0,1.2,3.9,2.5,-8.0,0.1,4.5,46.0,-13.5,0.5,1.3,-2.8,-35.0,8.6,-3.6,-5.4,-33.1,-16.5,6.5,0.4,9.2,9.4,21.4,26.0,7.0,8.4,24.5,-9.1,-8.2,-4.9,-2.6,-5.2,0.7,-24.2,1.9,6.7,4.3,4.9,11.2,343.4,650.1,-22.2,-26.2,1.8,-16.4,-4.6,-8.0,7.6,-1.2,-10.7,4.0,-0.1,138.4,-100.0,8.8,,
"meimoku","nen","対前年（同月）名目増加率_平成28年","2016","",-,-,-,-,-1.1,-3.0,-10.7,2.3,-17.6,-2.9,-2.1,-4.1,75.2,2.6,-10.1,-9.2,-9.2,0.0,-3.9,2.0,1.6,-2.4,-1.6,-2.6,1.1,0.5,9.0,2.8,2.3,-7.4,-5.7,-20.9,5.3,-13.2,-12.6,-17.5,-21.3,-7.8,-6.4,-8.4,-0.5,-8.2,-6.1,1.7,-19.7,-9.7,104.4,-26.5,-4.7,-9.4,-33.3,-7.4,11.6,-3.2,-15.3,-7.1,-10.3,-0.7,-20.8,-22.1,-19.3,-34.0,-8.7,-79.9,-84.5,9.5,-26.4,-13.4,-1.8,-13.9,-3.6,-16.2,-7.4,-1.0,11.3,-14.3,-37.5,-,-17.1,,
"meimoku","nen","対前年（同月）名目増加率_平成29年","2017","",-,-,-,-,-6.6,-4.7,-30.0,-34.3,-27.2,-15.5,-1.3,2.1,-48.3,-8.6,1.9,1.7,1.7,0.7,1.2,-5.6,2.1,7.9,-0.8,3.7,2.0,0.7,-1.3,-1.8,14.6,0.3,-5.2,-9.4,-2.9,1.9,1.6,-0.9,47.2,2.6,-2.8,-3.5,-16.4,29.9,-5.5,-2.9,-6.7,-6.3,-94.7,2.8,-6.9,-4.3,93.2,-4.4,2.8,-15.2,10.8,-1.9,-18.7,31.4,17.3,14.5,-6.1,27.5,15.6,-14.7,-26.9,-95.7,30.9,-0.3,-7.6,-1.4,-1.1,0.7,1.4,-10.8,-18.0,23.6,-24.5,-,4.1,,
"meimoku","nen","対前年（同月）名目増加率_平成30年","2018","",-,-,-,-,22.0,20.7,76.9,65.2,83.8,-40.9,19.8,18.0,75.2,24.9,6.0,5.7,4.8,2.8,5.0,-0.3,6.0,-7.1,5.0,2.4,2.1,8.4,1.8,9.5,-19.0,8.4,8.5,13.2,6.1,5.4,7.5,3.2,-13.3,5.9,14.4,32.1,28.4,-26.8,7.0,8.4,9.2,-3.3,513.6,-8.8,-9.3,-2.1,-13.5,-0.3,-9.9,31.6,3.4,7.6,20.5,-0.7,0.7,11.6,13.3,25.6,-4.0,128.8,231.6,700.0,-34.4,3.7,25.7,15.4,-3.6,0.9,2.6,23.0,-2.4,-10.6,-25.6,...,8.4,,
"meimoku","nen","対前年（同月）名目増加率_平成31年・令和元年","2019","",-,-,-,-,9.4,10.3,30.6,14.0,39.4,22.9,7.6,8.5,-15.4,9.3,0.7,-0.4,0.5,-0.9,0.0,-6.4,-10.5,-1.3,-10.9,-7.5,-4.1,6.1,8.3,1.9,2.8,10.0,-9.9,-18.1,-5.4,-5.3,-3.2,-2.5,8.1,-13.6,9.5,15.1,-5.7,36.4,1.2,7.6,0.3,20.3,145.9,24.2,34.3,3.3,12.9,19.7,4.3,-2.4,4.5,6.0,1.9,16.7,2.0,-3.9,3.3,-15.6,7.6,69.9,54.3,37.5,194.2,7.2,7.0,16.9,6.4,4.7,-0.2,-3.4,3.4,3.8,-29.1,-100.0,9.8,,
"meimoku","nen","対前年（同月）名目増加率_令和 2年","2020","",-,-,-,-,16.8,7.7,2.4,-11.4,8.4,112.5,5.1,5.0,353.9,19.0,-1.2,-2.0,-2.0,4.9,4.9,9.9,17.6,22.0,15.0,22.3,19.8,5.7,5.8,13.2,21.0,-42.7,21.9,-13.5,38.7,8.0,8.0,6.4,-11.3,12.1,2.2,-10.2,-6.2,12.4,11.9,18.8,-6.1,-30.8,-96.7,-23.3,-45.1,4.1,-15.1,-28.2,-25.2,-44.1,15.2,4.9,3.4,10.2,21.8,1.5,-53.7,23.7,11.1,-20.5,-9.8,163.6,-69.9,-21.7,39.5,-21.5,-1.2,-32.5,-15.4,-18.4,3.3,-18.6,36.6,-,5.4,,
