1,"東京都生計分析調査　令和 4年 8月","","","","","","","","","","","","","","","","","",""
2,"","","第１５表　生計支出７分位階層別１世帯当たり１か月間の基礎的・選択的支出　―　全　世　帯　―","","","","","","","","","","","","","","","",""
3,"","","項目（0：世帯数等　1：品目　2：基礎的支出　3：選択的支出）","","","","","","","","","","","","","","","",""
4,"項目","項目名","都平均／実数（円）","都平均／構成比（％）","都平均／対前年同月増加率（％）","第1階層／実数（円）","第1階層／構成比（％）","第2階層／実数（円）","第2階層／構成比（％）","第3階層／実数（円）","第3階層／構成比（％）","第4階層／実数（円）","第4階層／構成比（％）","第5階層／実数（円）","第5階層／構成比（％）","第6階層／実数（円）","第6階層／構成比（％）","第7階層／実数（円）","第7階層／構成比（％）"
5,"0","世帯数分布",10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
6,"0","調査世帯数",656,-,-,85,-,100,-,96,-,91,-,95,-,96,-,93,-
7,"0","世帯人員",2.90,-,-,2.69,-,2.54,-,2.79,-,2.69,-,3.07,-,3.21,-,3.30,-
8,"0","有業人員",1.33,-,-,1.29,-,1.04,-,1.19,-,1.25,-,1.40,-,1.52,-,1.59,-
9,"0","世帯主平均年齢",59.8,-,-,61.9,-,63.0,-,63.5,-,59.0,-,59.1,-,57.4,-,55.2,-
10,"0","消費支出",328143,100.0,11.2,97947,100.0,165352,100.0,210201,100.0,260392,100.0,318057,100.0,422924,100.0,814700,100.0
11,"2","基礎的支出",184326,56.2,3.1,76004,77.6,117032,70.8,143850,68.4,161309,61.9,192985,60.7,226553,53.6,369574,45.4
12,"3","選択的支出",143816,43.8,23.7,21943,22.4,48320,29.2,66351,31.6,99082,38.1,125072,39.3,196370,46.4,445126,54.6
13,"1","食料",95399,29.1,2.7,55087,56.2,72408,43.8,84443,40.2,89179,34.2,102247,32.1,121323,28.7,142207,17.5
14,"2","基礎的支出",75456,23.0,-2.6,48209,49.2,60743,36.7,70983,33.8,74075,28.4,81652,25.7,91008,21.5,101002,12.4
15,"3","選択的支出",19943,6.1,29.4,6877,7.0,11666,7.1,13460,6.4,15104,5.8,20596,6.5,30316,7.2,41205,5.1
16,"1","住居",21121,6.4,-20.5,1078,1.1,9118,5.5,12682,6.0,14986,5.8,18693,5.9,33410,7.9,57265,7.0
