1,"東京都生計分析調査　令和 4年 6月","","","","","","","","","","","","","","","","","",""
2,"","","第１５表　生計支出７分位階層別１世帯当たり１か月間の基礎的・選択的支出　―　全　世　帯　―","","","","","","","","","","","","","","","",""
3,"","","項目（0：世帯数等　1：品目　2：基礎的支出　3：選択的支出）","","","","","","","","","","","","","","","",""
4,"項目","項目名","都平均／実数（円）","都平均／構成比（％）","都平均／対前年同月増加率（％）","第1階層／実数（円）","第1階層／構成比（％）","第2階層／実数（円）","第2階層／構成比（％）","第3階層／実数（円）","第3階層／構成比（％）","第4階層／実数（円）","第4階層／構成比（％）","第5階層／実数（円）","第5階層／構成比（％）","第6階層／実数（円）","第6階層／構成比（％）","第7階層／実数（円）","第7階層／構成比（％）"
5,"0","世帯数分布",10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
6,"0","調査世帯数",643,-,-,83,-,91,-,93,-,92,-,96,-,97,-,91,-
7,"0","世帯人員",2.91,-,-,2.60,-,2.66,-,2.75,-,3.10,-,2.79,-,3.16,-,3.32,-
8,"0","有業人員",1.30,-,-,1.25,-,1.02,-,1.15,-,1.37,-,1.20,-,1.50,-,1.62,-
9,"0","世帯主平均年齢",59.5,-,-,61.0,-,62.3,-,60.8,-,58.5,-,60.8,-,57.5,-,55.8,-
10,"0","消費支出",287718,100.0,0.5,95918,100.0,151023,100.0,193036,100.0,242009,100.0,297456,100.0,384744,100.0,646240,100.0
11,"2","基礎的支出",166278,57.8,-2.4,72300,75.4,107445,71.1,130978,67.9,149427,61.7,179738,60.4,215531,56.0,306782,47.5
12,"3","選択的支出",121440,42.2,4.8,23618,24.6,43578,28.9,62058,32.1,92582,38.3,117718,39.6,169213,44.0,339459,52.5
13,"1","食料",88396,30.7,-2.1,52354,54.6,65298,43.2,73263,38.0,87188,36.0,99845,33.6,112362,29.2,127810,19.8
14,"2","基礎的支出",70234,24.4,-6.7,44553,46.4,55196,36.5,63082,32.7,71319,29.5,79878,26.9,84946,22.1,92217,14.3
15,"3","選択的支出",18161,6.3,20.6,7800,8.1,10102,6.7,10181,5.3,15869,6.6,19967,6.7,27416,7.1,35594,5.5
16,"1","住居",22231,7.7,27.6,3215,3.4,5944,3.9,14140,7.3,16132,6.7,20671,6.9,34398,8.9,60751,9.4
