1,"東京都生計分析調査　令和 4年11月","","","","","","","","","","","","","","","","","","",""
2,"","","","第１１表　生計支出７分位階層別１世帯当たり１か月間の公共的料金支出　―　全　世　帯　―","","","","","","","","","","","","","","","",""
3,"","","","項目（0：世帯数等　1：公共料金等　2：準公共料金等）","","","","","","","","","","","","","","","",""
4,"項目","階層","項目名","都平均／実数（円）","都平均／負担率（％）","都平均／対前年同月増加率（％）","第1階層／実数（円）","第1階層／負担率（％）","第2階層／実数（円）","第2階層／負担率（％）","第3階層／実数（円）","第3階層／負担率（％）","第4階層／実数（円）","第4階層／負担率（％）","第5階層／実数（円）","第5階層／負担率（％）","第6階層／実数（円）","第6階層／負担率（％）","第7階層／実数（円）","第7階層／負担率（％）"
5,"0","0","世帯数分布",10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
6,"0","0","調査世帯数",624,-,-,88,-,94,-,91,-,88,-,87,-,87,-,89,-
7,"0","0","世帯人員",2.95,-,-,2.62,-,2.84,-,2.70,-,2.90,-,2.99,-,3.26,-,3.37,-
8,"0","0","有業人員",1.37,-,-,1.05,-,1.12,-,1.23,-,1.41,-,1.54,-,1.53,-,1.67,-
9,"0","0","世帯主平均年齢",59.5,-,-,66.3,-,61.0,-,61.9,-,60.7,-,56.0,-,54.8,-,56.1,-
10,"0","0","消費支出",346572,-,6.4,107595,-,177991,-,228871,-,282442,-,342836,-,430482,-,853363,-
11,"0","0","公共的料金",90651,26.2,17.7,28369,26.4,50800,28.5,69119,30.2,77096,27.3,91495,26.7,108298,25.2,208672,24.5
12,"1","0","公共料金等",63087,18.2,18.8,24708,23.0,40667,22.8,50498,22.1,57243,20.3,67204,19.6,76850,17.9,123999,14.5
13,"1","1","米",1593,0.5,7.6,1669,1.6,2386,1.3,1069,0.5,1410,0.5,1341,0.4,1565,0.4,1717,0.2
14,"1","1","食塩",46,0.0,35.3,20,0.0,47,0.0,18,0.0,79,0.0,37,0.0,61,0.0,57,0.0
15,"1","1","学校給食",1053,0.3,-5.3,94,0.1,595,0.3,749,0.3,997,0.4,877,0.3,2073,0.5,1977,0.2
16,"1","1","公営家賃",3995,1.2,140.1,1580,1.5,2604,1.5,6215,2.7,4305,1.5,5512,1.6,3390,0.8,4308,0.5
17,"1","1","電気代",10736,3.1,37.0,5992,5.6,9329,5.2,10066,4.4,11145,3.9,11034,3.2,12782,3.0,14742,1.7
18,"1","1","都市ガス",5342,1.5,30.8,3737,3.5,5033,2.8,5417,2.4,4059,1.4,5167,1.5,6099,1.4,7861,0.9
19,"1","1","上下水道料",4591,1.3,7.5,2718,2.5,3484,2.0,4462,1.9,4063,1.4,5736,1.7,4909,1.1,6737,0.8
20,"1","1","医科診療代",4414,1.3,7.5,1289,1.2,2429,1.4,5224,2.3,4987,1.8,4994,1.5,5071,1.2,6852,0.8
21,"1","1","歯科診療代",3141,0.9,-6.7,536,0.5,1042,0.6,857,0.4,928,0.3,5420,1.6,2084,0.5,11102,1.3
22,"1","1","出産入院料",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23,"1","1","他の入院料",745,0.2,-24.2,-,-,-,-,54,0.0,1572,0.6,466,0.1,432,0.1,2688,0.3
24,"1","1","鉄道運賃",3702,1.1,15.4,647,0.6,1360,0.8,1706,0.7,2472,0.9,4711,1.4,6037,1.4,8955,1.0
25,"1","1","鉄道通学定期代",384,0.1,42.8,-,-,103,0.1,-,-,333,0.1,117,0.0,1367,0.3,767,0.1
26,"1","1","鉄道通勤定期代",2220,0.6,92.9,324,0.3,241,0.1,178,0.1,2849,1.0,1940,0.6,4800,1.1,5202,0.6
