1,"東京都生計分析調査　令和 4年10月","","","","","","","","","","","","","","",""
2,"","","","","","","第５表　世帯人員別１世帯当たり１か月間の用途別生計支出　―　全　世　帯　―　","","","","","","","","",""
3,"","","","","","","注）1)は「住居」のほか、「自動車等購入」、「贈与金」、「仕送り金」を除いている。","","","","","","","","",""
4,"","","","","","","項目（0：世帯数等　2：生計支出）","","","","","","","","",""
5,"項目","階層","大分類","中分類","小分類","項目名","都平均／実数（円）","都平均／構成比（％）","2人／実数（円）","2人／構成比（％）","3人／実数（円）","3人／構成比（％）","4人／実数（円）","4人／構成比（％）","5人以上／実数（円）","5人以上／構成比（％）"
6,"0","0","0","0","0","世帯数分布",10000,-,4564,-,2621,-,2174,-,641,-
7,"0","0","0","0","0","調査世帯数",636,-,293,-,163,-,136,-,44,-
8,"0","0","0","0","0","世帯人員",2.90,-,2.00,-,3.00,-,4.00,-,5.22,-
9,"0","0","0","0","0","有業人員",1.34,-,0.83,-,1.71,-,1.81,-,1.92,-
10,"0","0","0","0","0","世帯主平均年齢",60.0,-,67.9,-,57.6,-,49.9,-,47.9,-
11,"2","2","0","0","0","生計支出",337010,-,281326,-,387415,-,376347,-,393978,-
12,"2","3","0","0","0","消費支出",337010,100.0,281326,100.0,387415,100.0,376347,100.0,393978,100.0
13,"2","4","1","0","0","食料",94608,28.1,80473,28.6,102608,26.5,106218,28.2,123167,31.3
14,"2","5","1","1","0","穀類",7327,2.2,5779,2.1,7582,2.0,9249,2.5,10783,2.7
15,"2","6","1","1","1","米類",2045,0.6,1507,0.5,1859,0.5,3090,0.8,3095,0.8
16,"2","6","1","1","2","パン",3090,0.9,2496,0.9,3532,0.9,3612,1.0,3737,0.9
17,"2","6","1","1","3","麺類",1683,0.5,1396,0.5,1709,0.4,1871,0.5,2980,0.8
18,"2","6","1","1","4","他の穀類",509,0.2,380,0.1,483,0.1,676,0.2,970,0.2
19,"2","5","1","2","0","魚介類",6139,1.8,6095,2.2,6655,1.7,5824,1.5,5411,1.4
20,"2","6","1","2","1","生鮮魚介",3378,1.0,3334,1.2,3666,0.9,3341,0.9,2636,0.7
21,"2","6","1","2","2","塩干魚介",1111,0.3,1115,0.4,1165,0.3,1024,0.3,1158,0.3
22,"2","6","1","2","3","魚肉練製品",691,0.2,699,0.2,708,0.2,614,0.2,831,0.2
23,"2","6","1","2","4","他の魚介加工品",959,0.3,947,0.3,1115,0.3,845,0.2,786,0.2
24,"2","5","1","3","0","肉類",9053,2.7,6516,2.3,9204,2.4,12268,3.3,15590,4.0
25,"2","6","1","3","1","生鮮肉",7382,2.2,5216,1.9,7374,1.9,10298,2.7,12940,3.3
26,"2","6","1","3","2","加工肉",1671,0.5,1299,0.5,1830,0.5,1970,0.5,2650,0.7
27,"2","5","1","4","0","乳卵類",4559,1.4,3802,1.4,4867,1.3,5212,1.4,6467,1.6
28,"2","6","1","4","1","牛乳",1386,0.4,1072,0.4,1444,0.4,1714,0.5,2271,0.6
29,"2","6","1","4","2","乳製品",2259,0.7,1953,0.7,2502,0.6,2487,0.7,2679,0.7
30,"2","6","1","4","3","卵",913,0.3,777,0.3,921,0.2,1011,0.3,1518,0.4
31,"2","5","1","5","0","野菜・海藻",10808,3.2,10333,3.7,11270,2.9,10756,2.9,12468,3.2
32,"2","6","1","5","1","生鮮野菜",7636,2.3,7230,2.6,7934,2.0,7784,2.1,8810,2.2
33,"2","6","1","5","2","乾物・海藻",715,0.2,662,0.2,775,0.2,692,0.2,925,0.2
34,"2","6","1","5","3","大豆加工品",1182,0.4,1145,0.4,1188,0.3,1194,0.3,1389,0.4
35,"2","6","1","5","4","他の野菜・海藻加工品",1274,0.4,1296,0.5,1373,0.4,1087,0.3,1345,0.3
36,"2","5","1","6","0","果物",3654,1.1,3815,1.4,3771,1.0,3182,0.8,3623,0.9
37,"2","6","1","6","1","生鮮果物",3247,1.0,3388,1.2,3395,0.9,2800,0.7,3151,0.8
38,"2","6","1","6","2","果物加工品",407,0.1,427,0.2,376,0.1,382,0.1,473,0.1
39,"2","5","1","7","0","油脂・調味料",4314,1.3,3642,1.3,4759,1.2,4876,1.3,5381,1.4
40,"2","6","1","7","1","油脂",483,0.1,450,0.2,446,0.1,573,0.2,569,0.1
41,"2","6","1","7","2","調味料",3831,1.1,3191,1.1,4313,1.1,4303,1.1,4812,1.2
42,"2","5","1","8","0","菓子類",7559,2.2,5826,2.1,8542,2.2,9138,2.4,10527,2.7
43,"2","5","1","9","0","調理食品",14641,4.3,13728,4.9,17490,4.5,13007,3.5,15031,3.8
44,"2","6","1","9","1","主食的調理食品",6435,1.9,5783,2.1,7736,2.0,6094,1.6,6917,1.8
45,"2","6","1","9","2","他の調理食品",8206,2.4,7945,2.8,9753,2.5,6913,1.8,8114,2.1
46,"2","5","1","10","0","飲料",5219,1.5,4562,1.6,5504,1.4,5690,1.5,7133,1.8
