1,"東京都生計分析調査　令和 4年 6月","","","","","","","","","","","","","","",""
2,"","","","","","","第５表　世帯人員別１世帯当たり１か月間の用途別生計支出　―　全　世　帯　―　","","","","","","","","",""
3,"","","","","","","注）1)は「住居」のほか、「自動車等購入」、「贈与金」、「仕送り金」を除いている。","","","","","","","","",""
4,"","","","","","","項目（0：世帯数等　2：生計支出）","","","","","","","","",""
5,"項目","階層","大分類","中分類","小分類","項目名","都平均／実数（円）","都平均／構成比（％）","2人／実数（円）","2人／構成比（％）","3人／実数（円）","3人／構成比（％）","4人／実数（円）","4人／構成比（％）","5人以上／実数（円）","5人以上／構成比（％）"
6,"0","0","0","0","0","世帯数分布",10000,-,4707,-,2359,-,2195,-,739,-
7,"0","0","0","0","0","調査世帯数",643,-,295,-,149,-,149,-,50,-
8,"0","0","0","0","0","世帯人員",2.91,-,2.00,-,3.00,-,4.00,-,5.19,-
9,"0","0","0","0","0","有業人員",1.30,-,0.82,-,1.66,-,1.73,-,2.03,-
10,"0","0","0","0","0","世帯主平均年齢",59.5,-,67.5,-,57.7,-,48.3,-,47.9,-
11,"2","2","0","0","0","生計支出",294679,-,262161,-,313398,-,321658,-,361956,-
12,"2","3","0","0","0","消費支出",287718,100.0,247372,100.0,313398,100.0,321658,100.0,361956,100.0
13,"2","4","1","0","0","食料",84703,29.4,74005,29.9,91777,29.3,93839,29.2,103133,28.5
14,"2","5","1","1","0","穀類",6444,2.2,5478,2.2,6651,2.1,7423,2.3,9036,2.5
15,"2","6","1","1","1","米類",1603,0.6,1305,0.5,1614,0.5,1851,0.6,2727,0.8
16,"2","6","1","1","2","パン",2855,1.0,2576,1.0,2836,0.9,3257,1.0,3506,1.0
17,"2","6","1","1","3","麺類",1601,0.6,1263,0.5,1871,0.6,1826,0.6,2228,0.6
18,"2","6","1","1","4","他の穀類",385,0.1,334,0.1,329,0.1,490,0.2,576,0.2
19,"2","5","1","2","0","魚介類",5855,2.0,5955,2.4,6119,2.0,5330,1.7,5937,1.6
20,"2","6","1","2","1","生鮮魚介",3366,1.2,3453,1.4,3297,1.1,3188,1.0,3564,1.0
21,"2","6","1","2","2","塩干魚介",1019,0.4,997,0.4,1112,0.4,932,0.3,1119,0.3
22,"2","6","1","2","3","魚肉練製品",583,0.2,633,0.3,647,0.2,443,0.1,475,0.1
23,"2","6","1","2","4","他の魚介加工品",887,0.3,872,0.4,1063,0.3,768,0.2,779,0.2
24,"2","5","1","3","0","肉類",7588,2.6,5576,2.3,7876,2.5,10039,3.1,12199,3.4
25,"2","6","1","3","1","生鮮肉",6074,2.1,4426,1.8,6167,2.0,8156,2.5,10090,2.8
26,"2","6","1","3","2","加工肉",1514,0.5,1151,0.5,1709,0.5,1883,0.6,2109,0.6
27,"2","5","1","4","0","乳卵類",4229,1.5,3746,1.5,4198,1.3,4967,1.5,5216,1.4
28,"2","6","1","4","1","牛乳",1330,0.5,1136,0.5,1211,0.4,1725,0.5,1766,0.5
29,"2","6","1","4","2","乳製品",2084,0.7,1924,0.8,2159,0.7,2327,0.7,2134,0.6
30,"2","6","1","4","3","卵",816,0.3,685,0.3,828,0.3,915,0.3,1316,0.4
31,"2","5","1","5","0","野菜・海藻",10503,3.7,10389,4.2,10747,3.4,10421,3.2,10702,3.0
32,"2","6","1","5","1","生鮮野菜",7535,2.6,7384,3.0,7656,2.4,7707,2.4,7599,2.1
33,"2","6","1","5","2","乾物・海藻",689,0.2,679,0.3,669,0.2,684,0.2,829,0.2
34,"2","6","1","5","3","大豆加工品",1085,0.4,1067,0.4,1125,0.4,1073,0.3,1115,0.3
35,"2","6","1","5","4","他の野菜・海藻加工品",1194,0.4,1259,0.5,1298,0.4,957,0.3,1159,0.3
36,"2","5","1","6","0","果物",3217,1.1,3567,1.4,2927,0.9,3098,1.0,2264,0.6
37,"2","6","1","6","1","生鮮果物",2850,1.0,3174,1.3,2596,0.8,2756,0.9,1876,0.5
38,"2","6","1","6","2","果物加工品",367,0.1,393,0.2,330,0.1,342,0.1,388,0.1
39,"2","5","1","7","0","油脂・調味料",3855,1.3,3409,1.4,4236,1.4,4007,1.2,5018,1.4
40,"2","6","1","7","1","油脂",452,0.2,400,0.2,486,0.2,467,0.1,633,0.2
41,"2","6","1","7","2","調味料",3402,1.2,3009,1.2,3751,1.2,3540,1.1,4386,1.2
42,"2","5","1","8","0","菓子類",6873,2.4,5686,2.3,7432,2.4,7981,2.5,9359,2.6
43,"2","5","1","9","0","調理食品",12417,4.3,10971,4.4,14660,4.7,12669,3.9,13723,3.8
44,"2","6","1","9","1","主食的調理食品",5457,1.9,4957,2.0,6429,2.1,5327,1.7,5925,1.6
45,"2","6","1","9","2","他の調理食品",6960,2.4,6014,2.4,8231,2.6,7343,2.3,7798,2.2
46,"2","5","1","10","0","飲料",5512,1.9,4895,2.0,6116,2.0,6117,1.9,5716,1.6
