"項目","階層","大分類","中分類","小分類","項目名","都平均／実数（円）","都平均／構成比（％）","ローン返済世帯／実数（円）","ローン返済世帯／構成比（％）","ローン返済世帯／40歳未満／実数（円）","ローン返済世帯／40歳未満／構成比（％）","ローン返済世帯／40～49歳／実数（円）","ローン返済世帯／40～49歳／構成比（％）","ローン返済世帯／50歳以上／実数（円）","ローン返済世帯／50歳以上／構成比（％）","ローン返済のない世帯／実数（円）","ローン返済のない世帯／構成比（％）","ローン返済のない世帯／40歳未満／実数（円）","ローン返済のない世帯／40歳未満／構成比（％）","ローン返済のない世帯／40～49歳／実数（円）","ローン返済のない世帯／40～49歳／構成比（％）","ローン返済のない世帯／50歳以上／実数（円）","ローン返済のない世帯／50歳以上／構成比（％）"
"0","0","0","0","0","世帯数分布",10000,-,3481,-,661,-,1416,-,1405,-,6519,-,1329,-,1506,-,3684,-
"0","0","0","0","0","調査世帯数",340,-,125,-,25,-,51,-,49,-,215,-,42,-,51,-,123,-
"0","0","0","0","0","世帯人員",3.27,-,3.65,-,3.68,-,3.90,-,3.38,-,3.06,-,3.15,-,3.39,-,2.91,-
"0","0","0","0","0","有業人員",1.74,-,1.75,-,1.61,-,1.60,-,1.99,-,1.73,-,1.61,-,1.59,-,1.83,-
"0","0","0","0","0","世帯主平均年齢",49.7,-,47.6,-,35.7,-,44.5,-,56.3,-,50.9,-,33.3,-,45.0,-,59.7,-
"1","0","0","0","0","受取",1445626,-,1737369,-,1741238,-,1731116,-,1749412,-,1289203,-,1436715,-,1366182,-,1197436,-
"1","1","0","0","0","実収入",684038,100.0,829359,100.0,805066,100.0,819872,100.0,853724,100.0,606027,100.0,629936,100.0,632059,100.0,586625,100.0
"1","2","0","0","0","経常収入",669443,97.9,811196,97.8,778096,96.6,803758,98.0,836676,98.0,593336,97.9,607776,96.5,620961,98.2,576976,98.4
"1","3","0","0","0","勤め先収入",634811,92.8,782655,94.4,749735,93.1,785489,95.8,799417,93.6,555335,91.6,589228,93.5,594841,94.1,527345,89.9
"1","4","0","0","0","世帯主収入",523887,76.6,636098,76.7,585628,72.7,643208,78.5,651978,76.4,463553,76.5,482062,76.5,512378,81.1,437597,74.6
"1","6","0","0","0","うち男",496403,72.6,613266,73.9,534635,66.4,623439,76.0,639242,74.9,433720,71.6,440613,69.9,494078,78.2,406565,69.3
"1","5","0","0","0","定期収入",421077,61.6,508807,61.3,458939,57.0,512764,62.5,528194,61.9,374260,61.8,366168,58.1,422982,66.9,357799,61.0
"1","5","0","0","0","臨時収入",4075,0.6,4212,0.5,5349,0.7,3668,0.4,4428,0.5,4005,0.7,5623,0.9,4247,0.7,3339,0.6
"1","5","0","0","0","賞与",98735,14.4,123079,14.8,121339,15.1,126777,15.5,119356,14.0,85288,14.1,110271,17.5,85149,13.5,76459,13.0
"1","4","0","0","0","世帯主の配偶者の収入",98590,14.4,135814,16.4,164107,20.4,140861,17.2,122582,14.4,78620,13.0,99799,15.8,77273,12.2,71269,12.1
"1","6","0","0","0","うち女",95099,13.9,130644,15.8,138374,17.2,139812,17.1,122582,14.4,76041,12.5,88935,14.1,77273,12.2,70546,12.0
"1","4","0","0","0","他の世帯員収入",12334,1.8,10742,1.3,-,-,1420,0.2,24857,2.9,13161,2.2,7366,1.2,5191,0.8,18480,3.2
