"項目","階層","大分類","中分類","小分類","項目名","都平均／実数（円）","都平均／構成比（％）","夫婦のみの世帯／実数（円）","夫婦のみの世帯／構成比（％）","夫婦と未婚の子供から成る世帯／実数（円）","夫婦と未婚の子供から成る世帯／構成比（％）","一人親と未婚の子供から成る世帯／実数（円）","一人親と未婚の子供から成る世帯／構成比（％）","一人親と未婚の子供から成る世帯／母親と20歳未満の子供のみの世帯／実数（円）","一人親と未婚の子供から成る世帯／母親と20歳未満の子供のみの世帯／構成比（％）","その他／実数（円）","その他／構成比（％）","（再掲）夫婦共働き世帯／実数（円）","（再掲）夫婦共働き世帯／構成比（％）"
"0","0","0","0","0","世帯数分布",10000,-,3628,-,4646,-,933,-,113,-,793,-,3501,-
"0","0","0","0","0","調査世帯数",637,-,236,-,296,-,58,-,7,-,48,-,221,-
"0","0","0","0","0","世帯人員",2.90,-,2.00,-,3.70,-,2.24,-,2.35,-,3.19,-,3.35,-
"0","0","0","0","0","有業人員",1.32,-,0.79,-,1.77,-,1.10,-,0.79,-,1.38,-,2.19,-
"0","0","0","0","0","世帯主平均年齢",59.6,-,68.5,-,51.1,-,67.8,-,46.2,-,58.6,-,51.1,-
"2","2","0","0","0","生計支出",329608,-,308252,-,374811,-,233501,-,268539,-,278329,-,384671,-
"2","3","0","0","0","消費支出",324667,100.0,301356,100.0,369412,100.0,233501,100.0,268539,100.0,278329,100.0,383120,100.0
"2","4","1","0","0","食料",88881,27.4,82019,27.2,99145,26.8,65484,28.0,67703,25.2,86737,31.2,98753,25.8
"2","5","1","1","0","穀類",6719,2.1,5851,1.9,7703,2.1,5243,2.2,5120,1.9,6659,2.4,7010,1.8
"2","6","1","1","1","米類",1647,0.5,1383,0.5,1888,0.5,1347,0.6,1108,0.4,1821,0.7,1670,0.4
"2","6","1","1","2","パン",2932,0.9,2618,0.9,3354,0.9,2261,1.0,1840,0.7,2711,1.0,3110,0.8
"2","6","1","1","3","麺類",1608,0.5,1381,0.5,1854,0.5,1259,0.5,1430,0.5,1591,0.6,1660,0.4
"2","6","1","1","4","他の穀類",531,0.2,470,0.2,608,0.2,376,0.2,742,0.3,537,0.2,570,0.1
"2","5","1","2","0","魚介類",6327,1.9,6874,2.3,6112,1.7,5314,2.3,3663,1.4,6142,2.2,5582,1.5
"2","6","1","2","1","生鮮魚介",3566,1.1,3896,1.3,3510,1.0,2810,1.2,2303,0.9,3207,1.2,3272,0.9
