1,"東京都生計分析調査　令和 4年11月","","","","","","","","","","","","","","","","","",""
2,"","","第１５表　生計支出７分位階層別１世帯当たり１か月間の基礎的・選択的支出　―　全　世　帯　―","","","","","","","","","","","","","","","",""
3,"","","項目（0：世帯数等　1：品目　2：基礎的支出　3：選択的支出）","","","","","","","","","","","","","","","",""
4,"項目","項目名","都平均／実数（円）","都平均／構成比（％）","都平均／対前年同月増加率（％）","第1階層／実数（円）","第1階層／構成比（％）","第2階層／実数（円）","第2階層／構成比（％）","第3階層／実数（円）","第3階層／構成比（％）","第4階層／実数（円）","第4階層／構成比（％）","第5階層／実数（円）","第5階層／構成比（％）","第6階層／実数（円）","第6階層／構成比（％）","第7階層／実数（円）","第7階層／構成比（％）"
5,"0","世帯数分布",10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
6,"0","調査世帯数",624,-,-,88,-,94,-,91,-,88,-,87,-,87,-,89,-
7,"0","世帯人員",2.95,-,-,2.62,-,2.84,-,2.70,-,2.90,-,2.99,-,3.26,-,3.37,-
8,"0","有業人員",1.37,-,-,1.05,-,1.12,-,1.23,-,1.41,-,1.54,-,1.53,-,1.67,-
9,"0","世帯主平均年齢",59.5,-,-,66.3,-,61.0,-,61.9,-,60.7,-,56.0,-,54.8,-,56.1,-
10,"0","消費支出",346572,100.0,6.4,107595,100.0,177991,100.0,228871,100.0,282442,100.0,342836,100.0,430482,100.0,853363,100.0
11,"2","基礎的支出",189920,54.8,4.4,82316,76.5,120061,67.5,154240,67.4,172096,60.9,191042,55.7,214807,49.9,393637,46.1
12,"3","選択的支出",156652,45.2,9.0,25278,23.5,57930,32.5,74631,32.6,110346,39.1,151794,44.3,215675,50.1,459725,53.9
13,"1","食料",97443,28.1,5.7,57290,53.2,74712,42.0,83681,36.6,96624,34.2,106825,31.2,124524,28.9,137999,16.2
14,"2","基礎的支出",73472,21.2,4.4,49674,46.2,63177,35.5,66504,29.1,75101,26.6,78245,22.8,89979,20.9,91343,10.7
15,"3","選択的支出",23972,6.9,9.9,7617,7.1,11535,6.5,17177,7.5,21524,7.6,28581,8.3,34544,8.0,46655,5.5
16,"1","住居",34602,10.0,12.0,2199,2.0,8579,4.8,21563,9.4,20916,7.4,27602,8.1,23806,5.5,137182,16.1
