1,"東京都生計分析調査　令和 4年 7月","","","","","","","","","","","","","","","","","",""
2,"","","第１５表　生計支出７分位階層別１世帯当たり１か月間の基礎的・選択的支出　―　全　世　帯　―","","","","","","","","","","","","","","","",""
3,"","","項目（0：世帯数等　1：品目　2：基礎的支出　3：選択的支出）","","","","","","","","","","","","","","","",""
4,"項目","項目名","都平均／実数（円）","都平均／構成比（％）","都平均／対前年同月増加率（％）","第1階層／実数（円）","第1階層／構成比（％）","第2階層／実数（円）","第2階層／構成比（％）","第3階層／実数（円）","第3階層／構成比（％）","第4階層／実数（円）","第4階層／構成比（％）","第5階層／実数（円）","第5階層／構成比（％）","第6階層／実数（円）","第6階層／構成比（％）","第7階層／実数（円）","第7階層／構成比（％）"
5,"0","世帯数分布",10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
6,"0","調査世帯数",632,-,-,86,-,90,-,93,-,92,-,93,-,89,-,89,-
7,"0","世帯人員",2.88,-,-,2.58,-,2.52,-,2.60,-,2.98,-,3.02,-,3.08,-,3.35,-
8,"0","有業人員",1.31,-,-,1.21,-,0.99,-,1.16,-,1.36,-,1.37,-,1.42,-,1.66,-
9,"0","世帯主平均年齢",60.1,-,-,63.7,-,65.3,-,62.2,-,57.5,-,60.2,-,55.4,-,56.5,-
10,"0","消費支出",315107,100.0,4.3,96447,100.0,153120,100.0,201470,100.0,251343,100.0,318363,100.0,415243,100.0,765610,100.0
11,"2","基礎的支出",175087,55.6,0.3,74049,76.8,108262,70.7,136657,67.8,152864,60.8,196347,61.7,227526,54.8,328342,42.9
12,"3","選択的支出",140019,44.4,9.8,22398,23.2,44859,29.3,64814,32.2,98479,39.2,122017,38.3,187717,45.2,437268,57.1
13,"1","食料",93744,29.7,0.3,50845,52.7,67576,44.1,81024,40.2,89509,35.6,110645,34.8,117784,28.4,138319,18.1
14,"2","基礎的支出",73703,23.4,-4.5,44731,46.4,57779,37.7,66806,33.2,72668,28.9,88042,27.7,88883,21.4,96715,12.6
15,"3","選択的支出",20041,6.4,23.1,6114,6.3,9796,6.4,14218,7.1,16840,6.7,22603,7.1,28901,7.0,41604,5.4
16,"1","住居",23955,7.6,12.4,1243,1.3,5452,3.6,12986,6.4,17124,6.8,27990,8.8,46601,11.2,55969,7.3
17,"2","基礎的支出",21192,6.7,7.0,1243,1.3,4710,3.1,12057,6.0,13529,5.4,25889,8.1,45243,10.9,45413,5.9
18,"3","選択的支出",2762,0.9,84.5,-,-,742,0.5,929,0.5,3595,1.4,2101,0.7,1358,0.3,10556,1.4
19,"1","光熱・水道",18270,5.8,17.1,10414,10.8,16024,10.5,16421,8.2,18660,7.4,19485,6.1,20991,5.1,25797,3.4
20,"2","基礎的支出",18270,5.8,17.1,10414,10.8,16024,10.5,16421,8.2,18660,7.4,19485,6.1,20991,5.1,25797,3.4
21,"3","選択的支出",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
22,"1","家具・家事用品",12519,4.0,-20.2,3927,4.1,6225,4.1,5774,2.9,11976,4.8,15018,4.7,16175,3.9,28398,3.7
23,"2","基礎的支出",9621,3.1,-18.5,3002,3.1,4639,3.0,4698,2.3,9619,3.8,12527,3.9,12341,3.0,20429,2.7
24,"3","選択的支出",2898,0.9,-25.3,925,1.0,1586,1.0,1076,0.5,2357,0.9,2491,0.8,3834,0.9,7969,1.0
25,"1","被服及び履物",11682,3.7,13.2,2227,2.3,2929,1.9,6224,3.1,9994,4.0,11535,3.6,18146,4.4,30564,4.0
26,"2","基礎的支出",774,0.2,-14.8,338,0.4,333,0.2,405,0.2,795,0.3,745,0.2,1146,0.3,1647,0.2
27,"3","選択的支出",10908,3.5,15.9,1889,2.0,2596,1.7,5819,2.9,9199,3.7,10790,3.4,17000,4.1,28918,3.8
28,"1","保健医療",17763,5.6,-10.5,5418,5.6,9996,6.5,11287,5.6,14116,5.6,15845,5.0,21197,5.1,46218,6.0
29,"2","基礎的支出",15643,5.0,-8.5,5079,5.3,8583,5.6,10039,5.0,12563,5.0,13595,4.3,19412,4.7,40007,5.2
30,"3","選択的支出",2120,0.7,-22.8,339,0.4,1413,0.9,1248,0.6,1553,0.6,2250,0.7,1785,0.4,6211,0.8
31,"1","交通・通信",32310,10.3,-10.4,7059,7.3,11810,7.7,17716,8.8,24121,9.6,29088,9.1,46431,11.2,89442,11.7
32,"2","基礎的支出",7280,2.3,-5.0,1989,2.1,2315,1.5,4367,2.2,7373,2.9,7554,2.4,11890,2.9,15413,2.0
33,"3","選択的支出",25030,7.9,-11.9,5069,5.3,9495,6.2,13349,6.6,16748,6.7,21535,6.8,34540,8.3,74030,9.7
34,"1","教育",17098,5.4,63.9,221,0.2,1455,1.0,1914,1.0,5669,2.3,7136,2.2,20792,5.0,81960,10.7
35,"2","基礎的支出",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
36,"3","選択的支出",17098,5.4,63.9,221,0.2,1455,1.0,1914,1.0,5669,2.3,7136,2.2,20792,5.0,81960,10.7
37,"1","教養娯楽",42935,13.6,32.1,6931,7.2,14783,9.7,16980,8.4,28261,11.2,36731,11.5,53263,12.8,142725,18.6
38,"2","基礎的支出",5701,1.8,-3.5,2881,3.0,4771,3.1,5033,2.5,5502,2.2,6862,2.2,7806,1.9,7026,0.9
39,"3","選択的支出",37234,11.8,40.0,4050,4.2,10012,6.5,11947,5.9,22759,9.1,29869,9.4,45458,10.9,135699,17.7
40,"1","その他の消費支出",44831,14.2,-4.3,8163,8.5,16870,11.0,31144,15.5,31913,12.7,44890,14.1,53864,13.0,126217,16.5
41,"2","基礎的支出",22903,7.3,23.7,4373,4.5,9106,5.9,16829,8.4,12155,4.8,21649,6.8,19815,4.8,75895,9.9
42,"3","選択的支出",21928,7.0,-22.5,3791,3.9,7764,5.1,14315,7.1,19759,7.9,23241,7.3,34049,8.2,50322,6.6
