"項目","階層","大分類","中分類","小分類","項目名","都平均／実数（円）","都平均／構成比（％）","管理職／実数（円）","管理職／構成比（％）","専門職／実数（円）","専門職／構成比（％）","事務職／実数（円）","事務職／構成比（％）","技術職／実数（円）","技術職／構成比（％）","技能・労務職／実数（円）","技能・労務職／構成比（％）"
"0","0","0","0","0","世帯数分布",10000,-,199,-,936,-,5028,-,1809,-,2028,-
"0","0","0","0","0","調査世帯数",340,-,7,-,32,-,166,-,65,-,70,-
"0","0","0","0","0","世帯人員",3.27,-,3.57,-,3.35,-,3.27,-,3.35,-,3.13,-
"0","0","0","0","0","有業人員",1.74,-,1.90,-,1.66,-,1.74,-,1.72,-,1.77,-
"0","0","0","0","0","世帯主平均年齢",49.7,-,51.0,-,47.5,-,49.4,-,46.6,-,54.3,-
"1","0","0","0","0","受取",1445626,-,1840171,-,1708110,-,1514990,-,1604197,-,999834,-
"1","1","0","0","0","実収入",684038,100.0,1052424,100.0,846045,100.0,717387,100.0,728690,100.0,475728,100.0
"1","2","0","0","0","経常収入",669443,97.9,990832,94.1,829307,98.0,702137,97.9,714987,98.1,465989,98.0
"1","3","0","0","0","勤め先収入",634811,92.8,957450,91.0,796867,94.2,675588,94.2,687172,94.3,404990,85.1
"1","4","0","0","0","世帯主収入",523887,76.6,687975,65.4,623863,73.7,567527,79.1,562623,77.2,333735,70.2
"1","6","0","0","0","うち男",496403,72.6,687975,65.4,602903,71.3,540999,75.4,524514,72.0,306735,64.5
"1","5","0","0","0","定期収入",421077,61.6,527084,50.1,499560,59.0,443220,61.8,451280,61.9,298034,62.6
"1","5","0","0","0","臨時収入",4075,0.6,7620,0.7,6508,0.8,3642,0.5,3174,0.4,4415,0.9
"1","5","0","0","0","賞与",98735,14.4,153271,14.6,117795,13.9,120665,16.8,108169,14.8,31287,6.6
"1","4","0","0","0","世帯主の配偶者の収入",98590,14.4,269228,25.6,167189,19.8,91832,12.8,121832,16.7,54855,11.5
"1","6","0","0","0","うち女",95099,13.9,269228,25.6,158697,18.8,89897,12.5,112202,15.4,54855,11.5
"1","4","0","0","0","他の世帯員収入",12334,1.8,248,0.0,5814,0.7,16229,2.3,2717,0.4,16399,3.4
"1","3","0","0","0","事業・内職収入",7580,1.1,22403,2.1,5984,0.7,7255,1.0,6601,0.9,9064,1.9
"1","4","0","0","0","家賃収入",3529,0.5,17053,1.6,3296,0.4,4192,0.6,2726,0.4,1900,0.4
"1","4","0","0","0","他の事業収入",2728,0.4,-,-,1292,0.2,2234,0.3,2182,0.3,5225,1.1
"1","4","0","0","0","内職収入",1323,0.2,5350,0.5,1396,0.2,829,0.1,1694,0.2,1938,0.4
"1","3","0","0","0","他の経常収入",27052,4.0,10979,1.0,26456,3.1,19295,2.7,21215,2.9,51936,10.9
"1","4","0","0","0","財産収入",1543,0.2,1361,0.1,6622,0.8,1247,0.2,864,0.1,220,0.0
"1","4","0","0","0","社会保障給付",24705,3.6,9617,0.9,19586,2.3,16786,2.3,19847,2.7,51464,10.8
"1","5","0","0","0","公的年金給付",17438,2.5,7600,0.7,11447,1.4,10534,1.5,8916,1.2,45653,9.6
"1","5","0","0","0","他の社会保障給付",7267,1.1,2018,0.2,8139,1.0,6251,0.9,10931,1.5,5810,1.2
"1","4","0","0","0","仕送り金",804,0.1,-,-,248,0.0,1262,0.2,504,0.1,253,0.1
"1","2","0","0","0","特別収入",14595,2.1,61592,5.9,16738,2.0,15250,2.1,13703,1.9,9739,2.0
"1","3","0","0","0","受贈金",4591,0.7,53835,5.1,957,0.1,5467,0.8,3787,0.5,1393,0.3
"1","3","0","0","0","他の特別収入",10004,1.5,7757,0.7,15780,1.9,9783,1.4,9916,1.4,8346,1.8
"1","1","0","0","0","実収入以外の受取(繰入金を除く)",509717,-,636884,-,599382,-,514091,-,592610,-,374181,-
"1","2","0","0","0","預貯金引出",373790,-,422108,-,440450,-,372405,-,437381,-,287507,-
"1","2","0","0","0","保険金",6437,-,35475,-,3953,-,4853,-,7534,-,6351,-
"1","3","0","0","0","個人・企業年金保険金",6199,-,35475,-,3953,-,4604,-,7534,-,5793,-
"1","3","0","0","0","他の保険金",238,-,-,-,-,-,249,-,-,-,558,-
"1","2","0","0","0","有価証券売却",1087,-,-,-,956,-,1910,-,111,-,-,-
"1","2","0","0","0","土地家屋借入金",-,-,-,-,-,-,-,-,-,-,-,-
"1","2","0","0","0","他の借入金",719,-,1893,-,-,-,582,-,1012,-,935,-
"1","2","0","0","0","クレジット購入借入金",127276,-,177002,-,153585,-,133961,-,146204,-,78917,-
"1","2","0","0","0","土地家屋売却",-,-,-,-,-,-,-,-,-,-,-,-
"1","2","0","0","0","実収入以外の受取のその他",408,-,407,-,439,-,380,-,367,-,471,-
"1","1","0","0","0","繰入金",251871,-,150863,-,262683,-,283512,-,282897,-,149925,-
"2","0","0","0","0","支払",1445626,-,1840171,-,1708110,-,1514990,-,1604197,-,999834,-
"2","1","0","0","0","実支出",489039,-,690529,-,560253,-,510944,-,532022,-,355389,-
"2","2","0","0","0","生計支出",355980,-,419978,-,395271,-,365935,-,388859,-,281998,-
"2","3","0","0","0","消費支出",350149,100.0,419978,100.0,389789,100.0,362842,100.0,362667,100.0,281998,100.0
"2","4","1","0","0","食料",91862,26.2,117987,28.1,95842,24.6,93952,25.9,94855,26.2,80385,28.5
"2","5","1","1","0","穀類",6795,1.9,8023,1.9,6643,1.7,6813,1.9,6482,1.8,7030,2.5
"2","6","1","1","1","米類",1534,0.4,2181,0.5,1256,0.3,1448,0.4,1477,0.4,1864,0.7
"2","6","1","1","2","パン",3035,0.9,3450,0.8,3302,0.8,3155,0.9,2694,0.7,2915,1.0
"2","6","1","1","3","麺類",1668,0.5,1731,0.4,1559,0.4,1662,0.5,1706,0.5,1703,0.6
"2","6","1","1","4","他の穀類",558,0.2,661,0.2,526,0.1,547,0.2,604,0.2,549,0.2
"2","5","1","2","0","魚介類",5333,1.5,6821,1.6,5560,1.4,5224,1.4,5469,1.5,5290,1.9
"2","6","1","2","1","生鮮魚介",3078,0.9,4198,1.0,3400,0.9,3046,0.8,3094,0.9,2935,1.0
"2","6","1","2","2","塩干魚介",907,0.3,1071,0.3,819,0.2,911,0.3,876,0.2,948,0.3
"2","6","1","2","3","魚肉練製品",526,0.2,655,0.2,538,0.1,489,0.1,560,0.2,574,0.2
"2","6","1","2","4","他の魚介加工品",822,0.2,898,0.2,803,0.2,778,0.2,940,0.3,833,0.3
"2","5","1","3","0","肉類",8873,2.5,13696,3.3,9219,2.4,8857,2.4,9040,2.5,8188,2.9
"2","6","1","3","1","生鮮肉",7300,2.1,11560,2.8,7705,2.0,7294,2.0,7369,2.0,6682,2.4
"2","6","1","3","2","加工肉",1574,0.4,2137,0.5,1514,0.4,1563,0.4,1671,0.5,1506,0.5
"2","5","1","4","0","乳卵類",4419,1.3,4798,1.1,5029,1.3,4407,1.2,4768,1.3,3830,1.4
"2","6","1","4","1","牛乳",1348,0.4,1405,0.3,1494,0.4,1303,0.4,1499,0.4,1271,0.5
"2","6","1","4","2","乳製品",2240,0.6,2541,0.6,2711,0.7,2266,0.6,2413,0.7,1767,0.6
"2","6","1","4","3","卵",831,0.2,852,0.2,825,0.2,838,0.2,856,0.2,791,0.3
"2","5","1","5","0","野菜・海藻",9171,2.6,13295,3.2,9609,2.5,9026,2.5,9467,2.6,8731,3.1
"2","6","1","5","1","生鮮野菜",6524,1.9,10170,2.4,6947,1.8,6444,1.8,6797,1.9,5995,2.1
"2","6","1","5","2","乾物・海藻",677,0.2,707,0.2,682,0.2,661,0.2,725,0.2,666,0.2
"2","6","1","5","3","大豆加工品",988,0.3,1328,0.3,1046,0.3,961,0.3,1021,0.3,972,0.3
"2","6","1","5","4","他の野菜・海藻加工品",982,0.3,1090,0.3,934,0.2,961,0.3,924,0.3,1098,0.4
"2","5","1","6","0","果物",2908,0.8,3330,0.8,3391,0.9,2899,0.8,3021,0.8,2557,0.9
"2","6","1","6","1","生鮮果物",2532,0.7,2673,0.6,2927,0.8,2531,0.7,2564,0.7,2303,0.8
"2","6","1","6","2","果物加工品",377,0.1,657,0.2,464,0.1,368,0.1,458,0.1,254,0.1
"2","5","1","7","0","油脂・調味料",4012,1.1,4811,1.1,4082,1.0,3962,1.1,4253,1.2,3789,1.3
"2","6","1","7","1","油脂",447,0.1,534,0.1,410,0.1,438,0.1,492,0.1,431,0.2
"2","6","1","7","2","調味料",3565,1.0,4277,1.0,3672,0.9,3524,1.0,3761,1.0,3358,1.2
"2","5","1","8","0","菓子類",7957,2.3,8735,2.1,7702,2.0,8198,2.3,8416,2.3,7022,2.5
"2","5","1","9","0","調理食品",13586,3.9,13468,3.2,14797,3.8,13967,3.8,13115,3.6,12529,4.4
"2","6","1","9","1","主食的調理食品",6031,1.7,5810,1.4,6899,1.8,6023,1.7,5796,1.6,5918,2.1
"2","6","1","9","2","他の調理食品",7555,2.2,7658,1.8,7898,2.0,7944,2.2,7319,2.0,6611,2.3
"2","5","1","10","0","飲料",5733,1.6,5928,1.4,6024,1.5,5790,1.6,6014,1.7,5214,1.8
"2","6","1","10","1","茶類",1277,0.4,1798,0.4,1282,0.3,1300,0.4,1330,0.4,1134,0.4
"2","6","1","10","2","コーヒー・ココア",1242,0.4,1552,0.4,1576,0.4,1175,0.3,1309,0.4,1177,0.4
"2","6","1","10","3","他の飲料",3214,0.9,2578,0.6,3167,0.8,3315,0.9,3376,0.9,2903,1.0
"2","5","1","11","0","酒類",3634,1.0,4079,1.0,3024,0.8,3509,1.0,4138,1.1,3752,1.3
"2","5","1","12","0","外食",19441,5.6,31003,7.4,20763,5.3,21301,5.9,20672,5.7,12452,4.4
"2","6","1","12","1","一般外食",18170,5.2,30348,7.2,19523,5.0,19852,5.5,19390,5.3,11497,4.1
"2","6","1","12","2","学校給食",1271,0.4,655,0.2,1240,0.3,1449,0.4,1283,0.4,956,0.3
"2","4","2","0","0","住居",27718,7.9,1983,0.5,22351,5.7,28389,7.8,27184,7.5,30867,10.9
"2","5","2","1","0","家賃地代",21655,6.2,1589,0.4,20543,5.3,22345,6.2,20357,5.6,22936,8.1
"2","5","2","2","0","設備修繕・維持",6063,1.7,394,0.1,1808,0.5,6044,1.7,6827,1.9,7930,2.8
"2","6","2","2","1","設備材料",1470,0.4,59,0.0,531,0.1,1321,0.4,1221,0.3,2629,0.9
"2","6","2","2","2","工事その他のサービス",4593,1.3,335,0.1,1277,0.3,4723,1.3,5606,1.5,5301,1.9
"2","4","3","0","0","光熱・水道",23000,6.6,25405,6.0,23833,6.1,23476,6.5,21409,5.9,22627,8.0
"2","5","3","1","0","電気代",11337,3.2,11104,2.6,11603,3.0,11648,3.2,10710,3.0,11073,3.9
"2","5","3","2","0","ガス代",6275,1.8,8314,2.0,6767,1.7,6377,1.8,5576,1.5,6157,2.2
"2","5","3","3","0","他の光熱",256,0.1,190,0.0,161,0.0,288,0.1,266,0.1,230,0.1
"2","5","3","4","0","上下水道料",5132,1.5,5796,1.4,5303,1.4,5163,1.4,4857,1.3,5167,1.8
"2","4","4","0","0","家具・家事用品",13886,4.0,14406,3.4,13955,3.6,14218,3.9,16234,4.5,10883,3.9
"2","5","4","1","0","家庭用耐久財",4176,1.2,5303,1.3,4892,1.3,4045,1.1,5647,1.6,2842,1.0
"2","6","4","1","1","家事用耐久財",1774,0.5,4656,1.1,2266,0.6,1619,0.4,2231,0.6,1351,0.5
"2","6","4","1","2","冷暖房用器具",1227,0.4,398,0.1,2213,0.6,1275,0.4,1246,0.3,836,0.3
"2","6","4","1","3","一般家具",1175,0.3,249,0.1,413,0.1,1151,0.3,2170,0.6,656,0.2
"2","5","4","2","0","室内装備・装飾品",1036,0.3,69,0.0,527,0.1,1375,0.4,1113,0.3,463,0.2
"2","5","4","3","0","寝具類",1181,0.3,389,0.1,868,0.2,1308,0.4,1124,0.3,1163,0.4
"2","5","4","4","0","家事雑貨",3133,0.9,4306,1.0,3067,0.8,3134,0.9,3706,1.0,2444,0.9
"2","5","4","5","0","家事用消耗品",3748,1.1,3530,0.8,3612,0.9,3819,1.1,3901,1.1,3557,1.3
"2","5","4","6","0","家事サービス",612,0.2,809,0.2,990,0.3,537,0.1,743,0.2,415,0.1
"2","4","5","0","0","被服及び履物",14547,4.2,26640,6.3,21104,5.4,13920,3.8,16442,4.5,10501,3.7
"2","5","5","1","0","和服",218,0.1,74,0.0,99,0.0,27,0.0,489,0.1,501,0.2
"2","5","5","2","0","洋服",6336,1.8,10119,2.4,10735,2.8,5916,1.6,7770,2.1,3969,1.4
"2","6","5","2","1","男子用洋服",1934,0.6,3046,0.7,3490,0.9,1859,0.5,2146,0.6,1148,0.4
"2","6","5","2","2","婦人用洋服",3643,1.0,6848,1.6,5619,1.4,3392,0.9,4576,1.3,2361,0.8
"2","6","5","2","3","子供用洋服",761,0.2,225,0.1,1627,0.4,665,0.2,1049,0.3,460,0.2
"2","5","5","3","0","シャツ・セーター類",2665,0.8,5810,1.4,4241,1.1,2704,0.7,2516,0.7,1824,0.6
"2","6","5","3","1","男子用シャツ・セーター類",934,0.3,2257,0.5,1445,0.4,950,0.3,924,0.3,537,0.2
"2","6","5","3","2","婦人用シャツ・セーター類",1513,0.4,3457,0.8,2432,0.6,1504,0.4,1422,0.4,1160,0.4
"2","6","5","3","3","子供用シャツ・セーター類",218,0.1,97,0.0,364,0.1,250,0.1,170,0.0,127,0.0
"2","5","5","4","0","下着類",1052,0.3,1422,0.3,1101,0.3,1003,0.3,1167,0.3,1004,0.4
