"項目","階層","大分類","中分類","小分類","項目名","都平均／実数（円）","都平均／構成比（％）","都平均／対前年増加率（％）","65歳未満／実数（円）","65歳未満／構成比（％）","65歳以上／実数（円）","65歳以上／構成比（％）","（再掲）75歳以上／実数（円）","（再掲）75歳以上／構成比（％）"
"0","0","0","0","0","世帯数分布",10000,-,-,926,-,9074,-,5546,-
"0","0","0","0","0","調査世帯数",211,-,-,18,-,193,-,115,-
"0","0","0","0","0","世帯人員",2.25,-,-,2.51,-,2.23,-,2.19,-
"0","0","0","0","0","有業人員",0.41,-,-,0.68,-,0.38,-,0.34,-
"0","0","0","0","0","世帯主平均年齢",75.3,-,-,58.3,-,77.0,-,81.3,-
"1","0","0","0","0","受取",710502,-,1.5,936237,-,686961,-,624860,-
"1","1","0","0","0","実収入",248209,100.0,5.5,250057,100.0,248355,100.0,225638,100.0
"1","2","0","0","0","経常収入",230354,92.8,0.7,231302,92.5,230602,92.9,215950,95.7
"1","3","0","0","0","勤め先収入",27815,11.2,-14.8,85030,34.0,22225,8.9,17989,8.0
"1","4","0","0","0","世帯主収入",-,-,-,-,-,-,-,-,-
"1","6","0","0","0","うち男",-,-,-,-,-,-,-,-,-
"1","5","0","0","0","定期収入",-,-,-,-,-,-,-,-,-
"1","5","0","0","0","臨時収入",-,-,-,-,-,-,-,-,-
"1","5","0","0","0","賞与",-,-,-,-,-,-,-,-,-
"1","4","0","0","0","世帯主の配偶者の収入",13357,5.4,45.2,57812,23.1,9002,3.6,3997,1.8
"1","6","0","0","0","うち女",12505,5.0,44.4,57812,23.1,8061,3.2,3997,1.8
"1","4","0","0","0","他の世帯員収入",14458,5.8,-38.3,27218,10.9,13223,5.3,13991,6.2
"1","3","0","0","0","事業・内職収入",8229,3.3,22.9,23836,9.5,6542,2.6,4349,1.9
"1","4","0","0","0","家賃収入",3036,1.2,-8.9,2663,1.1,3048,1.2,2187,1.0
