1,"東京都生計分析調査　令和 4年 6月","","","","","","","","","","","","","","","","","","",""
2,"","","","第１１表　生計支出７分位階層別１世帯当たり１か月間の公共的料金支出　―　全　世　帯　―","","","","","","","","","","","","","","","",""
3,"","","","項目（0：世帯数等　1：公共料金等　2：準公共料金等）","","","","","","","","","","","","","","","",""
4,"項目","階層","項目名","都平均／実数（円）","都平均／負担率（％）","都平均／対前年同月増加率（％）","第1階層／実数（円）","第1階層／負担率（％）","第2階層／実数（円）","第2階層／負担率（％）","第3階層／実数（円）","第3階層／負担率（％）","第4階層／実数（円）","第4階層／負担率（％）","第5階層／実数（円）","第5階層／負担率（％）","第6階層／実数（円）","第6階層／負担率（％）","第7階層／実数（円）","第7階層／負担率（％）"
5,"0","0","世帯数分布",10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
6,"0","0","調査世帯数",643,-,-,83,-,91,-,93,-,92,-,96,-,97,-,91,-
7,"0","0","世帯人員",2.91,-,-,2.60,-,2.66,-,2.75,-,3.10,-,2.79,-,3.16,-,3.32,-
8,"0","0","有業人員",1.30,-,-,1.25,-,1.02,-,1.15,-,1.37,-,1.20,-,1.50,-,1.62,-
9,"0","0","世帯主平均年齢",59.5,-,-,61.0,-,62.3,-,60.8,-,58.5,-,60.8,-,57.5,-,55.8,-
10,"0","0","消費支出",287718,-,0.5,95918,-,151023,-,193036,-,242009,-,297456,-,384744,-,646240,-
11,"0","0","公共的料金",78301,27.2,3.8,23257,24.2,48384,32.0,56396,29.2,66415,27.4,78677,26.4,113106,29.4,160834,24.9
12,"1","0","公共料金等",55271,19.2,1.6,19798,20.6,40415,26.8,40880,21.2,52367,21.6,55723,18.7,79978,20.8,97098,15.0
13,"1","1","米",1610,0.6,-12.1,1032,1.1,1319,0.9,1593,0.8,2182,0.9,1611,0.5,1642,0.4,1884,0.3
14,"1","1","食塩",58,0.0,-4.9,17,0.0,42,0.0,36,0.0,127,0.1,61,0.0,60,0.0,59,0.0
15,"1","1","学校給食",1114,0.4,17.3,290,0.3,488,0.3,391,0.2,980,0.4,963,0.3,2459,0.6,2211,0.3
16,"1","1","公営家賃",2959,1.0,116.1,1887,2.0,1912,1.3,2888,1.5,4772,2.0,2970,1.0,4379,1.1,1900,0.3
17,"1","1","電気代",8690,3.0,14.5,4618,4.8,8177,5.4,8050,4.2,9003,3.7,9654,3.2,9243,2.4,12021,1.9
18,"1","1","都市ガス",5294,1.8,19.2,2501,2.6,4968,3.3,4676,2.4,4580,1.9,6007,2.0,7110,1.8,7165,1.1
19,"1","1","上下水道料",5818,2.0,-7.8,2535,2.6,5696,3.8,5787,3.0,5519,2.3,6214,2.1,7453,1.9,7462,1.2
20,"1","1","医科診療代",3744,1.3,14.2,1110,1.2,1953,1.3,2178,1.1,4094,1.7,4238,1.4,6670,1.7,5918,0.9
21,"1","1","歯科診療代",2767,1.0,-39.4,351,0.4,790,0.5,1130,0.6,1259,0.5,1317,0.4,2476,0.6,11998,1.9
22,"1","1","出産入院料",41,0.0,...,-,-,-,-,-,-,289,0.1,-,-,-,-,-,-
23,"1","1","他の入院料",736,0.3,-80.2,-,-,594,0.4,-,-,-,-,1122,0.4,2165,0.6,1252,0.2
24,"1","1","鉄道運賃",2473,0.9,52.3,227,0.2,751,0.5,901,0.5,2165,0.9,2502,0.8,4246,1.1,6476,1.0
25,"1","1","鉄道通学定期代",196,0.1,-20.0,-,-,40,0.0,-,-,80,0.0,-,-,567,0.1,680,0.1
26,"1","1","鉄道通勤定期代",1346,0.5,-7.2,330,0.3,-,-,123,0.1,477,0.2,1099,0.4,3499,0.9,3870,0.6
