1,"東京都生計分析調査　令和 4年 7月","","","","","","","","","","","","","","","","","","",""
2,"","","","第１２表　勤め先収入７分位階層別１世帯当たり１か月間の公共的料金支出　―　勤労者世帯　―","","","","","","","","","","","","","","","",""
3,"","","","項目（0：世帯数等　1：公共料金等　2：準公共料金等）","","","","","","","","","","","","","","","",""
4,"項目","階層","項目名","都平均／実数（円）","都平均／負担率（％）","都平均／対前年同月増加率（％）","第1階層／実数（円）","第1階層／負担率（％）","第2階層／実数（円）","第2階層／負担率（％）","第3階層／実数（円）","第3階層／負担率（％）","第4階層／実数（円）","第4階層／負担率（％）","第5階層／実数（円）","第5階層／負担率（％）","第6階層／実数（円）","第6階層／負担率（％）","第7階層／実数（円）","第7階層／負担率（％）"
5,"0","0","世帯数分布",10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
6,"0","0","調査世帯数",335,-,-,50,-,45,-,50,-,43,-,47,-,49,-,51,-
7,"0","0","世帯人員",3.25,-,-,2.92,-,2.79,-,3.10,-,3.32,-,3.36,-,3.70,-,3.55,-
8,"0","0","有業人員",1.72,-,-,1.74,-,1.59,-,1.54,-,1.69,-,1.56,-,1.91,-,2.04,-
9,"0","0","世帯主平均年齢",50.3,-,-,58.8,-,53.4,-,49.1,-,46.0,-,47.6,-,48.0,-,49.6,-
10,"0","0","消費支出",342428,-,-1.4,252031,-,241340,-,269092,-,323564,-,429413,-,432736,-,447158,-
11,"0","0","公共的料金",84523,24.7,4.6,73693,29.2,66185,27.4,63206,23.5,69839,21.6,110596,25.8,98110,22.7,109654,24.5
12,"1","0","公共料金等",56810,16.6,3.5,52447,20.8,40154,16.6,49013,18.2,56763,17.5,61063,14.2,63787,14.7,74199,16.6
13,"1","1","米",1612,0.5,-0.3,945,0.4,1507,0.6,1342,0.5,1896,0.6,1532,0.4,1880,0.4,2168,0.5
14,"1","1","食塩",39,0.0,-9.3,66,0.0,32,0.0,35,0.0,51,0.0,26,0.0,20,0.0,44,0.0
