"項目","階層","大分類","中分類","小分類","項目名","都平均／実数（円）","都平均／構成比（％）","都平均／対前年増加率（％）","400万円未満／実数（円）","400万円未満／構成比（％）","400万円以上600万円未満／実数（円）","400万円以上600万円未満／構成比（％）","600万円以上800万円未満／実数（円）","600万円以上800万円未満／構成比（％）","800万円以上1000万円未満／実数（円）","800万円以上1000万円未満／構成比（％）","1000万円以上／実数（円）","1000万円以上／構成比（％）"
"0","0","0","0","0","世帯数分布",10000,-,-,731,-,1944,-,2281,-,2261,-,2783,-
"0","0","0","0","0","調査世帯数",340,-,-,25,-,65,-,77,-,78,-,94,-
"0","0","0","0","0","世帯人員",3.27,-,-,2.69,-,3.11,-,3.17,-,3.44,-,3.46,-
"0","0","0","0","0","有業人員",1.74,-,-,1.50,-,1.57,-,1.78,-,1.78,-,1.85,-
"0","0","0","0","0","世帯主平均年齢",49.7,-,-,52.6,-,51.6,-,49.9,-,48.6,-,48.7,-
"0","0","0","0","0","平均年間収入(万円)",872,-,-,297,-,514,-,692,-,893,-,1401,-
"1","0","0","0","0","受取",1445626,-,-10.2,789894,-,1064167,-,1060120,-,1418735,-,2220707,-
"1","1","0","0","0","実収入",684038,100.0,-6.3,369186,100.0,452429,100.0,491294,100.0,671827,100.0,1085100,100.0
"1","2","0","0","0","経常収入",669443,97.9,-5.9,363352,98.4,441737,97.6,481756,98.1,651436,97.0,1066976,98.3
"1","3","0","0","0","勤め先収入",634811,92.8,-5.7,300177,81.3,390524,86.3,451078,91.8,630678,93.9,1036028,95.5
"1","4","0","0","0","世帯主収入",523887,76.6,-4.7,251885,68.2,343295,75.9,387152,78.8,533149,79.4,817915,75.4
"1","6","0","0","0","うち男",496403,72.6,-5.3,196202,53.1,317041,70.1,356969,72.7,521624,77.6,785912,72.4
"1","5","0","0","0","定期収入",421077,61.6,-4.9,227144,61.5,299383,66.2,332504,67.7,432458,64.4,618548,57.0
"1","5","0","0","0","臨時収入",4075,0.6,-10.7,2015,0.5,2005,0.4,4672,1.0,2652,0.4,6778,0.6
"1","5","0","0","0","賞与",98735,14.4,-3.5,22727,6.2,41907,9.3,49976,10.2,98038,14.6,192588,17.7
"1","4","0","0","0","世帯主の配偶者の収入",98590,14.4,-11.9,27388,7.4,36877,8.2,53281,10.8,85893,12.8,203653,18.8
"1","6","0","0","0","うち女",95099,13.9,-11.9,27388,7.4,36877,8.2,51911,10.6,84324,12.6,193977,17.9
"1","4","0","0","0","他の世帯員収入",12334,1.8,4.3,20904,5.7,10352,2.3,10644,2.2,11636,1.7,14460,1.3
"1","3","0","0","0","事業・内職収入",7580,1.1,10.0,3112,0.8,8761,1.9,4769,1.0,4184,0.6,12628,1.2
