"項目","階層","項目名","都平均／実数（円）","都平均／負担率（％）","都平均／対前年増加率（％）","第1階層／実数（円）","第1階層／負担率（％）","第2階層／実数（円）","第2階層／負担率（％）","第3階層／実数（円）","第3階層／負担率（％）","第4階層／実数（円）","第4階層／負担率（％）","第5階層／実数（円）","第5階層／負担率（％）","第6階層／実数（円）","第6階層／負担率（％）","第7階層／実数（円）","第7階層／負担率（％）"
"0","0","世帯数分布",10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
"0","0","調査世帯数",637,-,-,85,-,91,-,94,-,92,-,94,-,91,-,91,-
"0","0","世帯人員",2.90,-,-,2.64,-,2.66,-,2.75,-,2.89,-,2.95,-,3.13,-,3.32,-
"0","0","有業人員",1.32,-,-,1.16,-,1.07,-,1.16,-,1.31,-,1.40,-,1.52,-,1.61,-
"0","0","世帯主平均年齢",59.6,-,-,63.2,-,63.0,-,61.4,-,59.4,-,58.8,-,55.5,-,55.7,-
"0","0","消費支出",324667,-,0.6,101739,-,164395,-,211982,-,261413,-,322358,-,413097,-,796905,-
"0","0","公共的料金",88320,27.2,4.6,27887,27.4,48684,29.6,63240,29.8,74874,28.6,85948,26.7,109418,26.5,208256,26.1
"1","0","公共料金等",59666,18.4,9.8,24004,23.6,39240,23.9,47629,22.5,56876,21.8,63780,19.8,74778,18.1,111198,14.0
"1","1","米",1676,0.5,-5.4,1249,1.2,1530,0.9,1526,0.7,1746,0.7,1780,0.6,1933,0.5,1966,0.2
"1","1","食塩",41,0.0,-2.4,23,0.0,36,0.0,40,0.0,41,0.0,49,0.0,44,0.0,57,0.0
"1","1","学校給食",775,0.2,-1.6,203,0.2,288,0.2,546,0.3,825,0.3,896,0.3,1326,0.3,1335,0.2
"1","1","公営家賃",3718,1.1,181.0,1195,1.2,1613,1.0,3181,1.5,5128,2.0,4343,1.3,4782,1.2,5775,0.7
"1","1","電気代",11444,3.5,24.7,6395,6.3,9923,6.0,10927,5.2,12199,4.7,12836,4.0,13102,3.2,14675,1.8
"1","1","都市ガス",5976,1.8,18.8,3723,3.7,5267,3.2,5519,2.6,6363,2.4,6391,2.0,6763,1.6,7715,1.0
"1","1","上下水道料",5069,1.6,-4.6,2643,2.6,4362,2.7,4612,2.2,5325,2.0,5587,1.7,5803,1.4,7127,0.9
"1","1","医科診療代",4198,1.3,4.4,1359,1.3,2539,1.5,3440,1.6,4204,1.6,4978,1.5,5512,1.3,7340,0.9
"1","1","歯科診療代",2602,0.8,-19.1,468,0.5,758,0.5,866,0.4,1101,0.4,1850,0.6,2946,0.7,10267,1.3
"1","1","出産入院料",88,0.0,-62.6,-,-,-,-,97,0.0,-,-,43,0.0,-,-,469,0.1
"1","1","他の入院料",1316,0.4,-18.1,-,-,138,0.1,744,0.4,493,0.2,1292,0.4,1605,0.4,4986,0.6
"1","1","鉄道運賃",2937,0.9,43.8,302,0.3,831,0.5,1213,0.6,1948,0.7,2798,0.9,4615,1.1,8823,1.1
"1","1","鉄道通学定期代",458,0.1,25.5,12,0.0,24,0.0,58,0.0,195,0.1,335,0.1,521,0.1,2073,0.3
"1","1","鉄道通勤定期代",1589,0.5,-7.3,177,0.2,371,0.2,749,0.4,1135,0.4,1281,0.4,2760,0.7,4663,0.6
"1","1","バス代",262,0.1,23.6,43,0.0,94,0.1,159,0.1,149,0.1,297,0.1,404,0.1,683,0.1
"1","1","バス通学定期代",53,0.0,-18.5,8,0.0,6,0.0,5,0.0,51,0.0,37,0.0,83,0.0,178,0.0
"1","1","バス通勤定期代",106,0.0,-19.1,85,0.1,143,0.1,139,0.1,81,0.0,21,0.0,40,0.0,242,0.0
"1","1","タクシー代",672,0.2,29.2,327,0.3,446,0.3,485,0.2,490,0.2,551,0.2,672,0.2,1735,0.2
"1","1","航空運賃",970,0.3,133.2,-,-,48,0.0,61,0.0,289,0.1,501,0.2,1341,0.3,4557,0.6
"1","1","郵便料",356,0.1,-17.0,130,0.1,182,0.1,210,0.1,396,0.2,446,0.1,490,0.1,608,0.1
"1","1","固定電話通信料",1329,0.4,-11.0,957,0.9,1346,0.8,1294,0.6,1280,0.5,1413,0.4,1474,0.4,1541,0.2
"1","1","携帯電話通信料",9049,2.8,-4.8,3157,3.1,6597,4.0,7816,3.7,9470,3.6,10861,3.4,12111,2.9,13362,1.7
"1","1","ＮＨＫ放送受信料",1198,0.4,-3.6,410,0.4,1086,0.7,1112,0.5,1129,0.4,1468,0.5,1419,0.3,1753,0.2
"1","1","ケーブルテレビ放送受信料",1141,0.4,-1.7,517,0.5,853,0.5,1142,0.5,1333,0.5,1342,0.4,1265,0.3,1535,0.2
"1","1","他の放送受信料",159,0.0,-21.3,51,0.1,82,0.0,162,0.1,146,0.1,192,0.1,213,0.1,263,0.0
"1","1","国公立小学校",268,0.1,18.6,36,0.0,98,0.1,263,0.1,239,0.1,307,0.1,541,0.1,405,0.1
"1","1","国公立中学校",283,0.1,16.9,61,0.1,47,0.0,80,0.0,258,0.1,386,0.1,627,0.2,528,0.1
"1","1","国公立高校",267,0.1,9.0,9,0.0,-,-,242,0.1,119,0.0,47,0.0,957,0.2,507,0.1
"1","1","国公立大学",691,0.2,15.4,-,-,-,-,21,0.0,38,0.0,28,0.0,21,0.0,4655,0.6
"1","1","たばこ",975,0.3,-0.8,461,0.5,534,0.3,919,0.4,704,0.3,1427,0.4,1410,0.3,1375,0.2
"2","0","準公共料金等",28655,8.8,-4.8,3883,3.8,9444,5.7,15612,7.4,17998,6.9,22168,6.9,34640,8.4,97058,12.2
"2","1","牛乳",1362,0.4,-1.4,911,0.9,1199,0.7,1266,0.6,1376,0.5,1483,0.5,1619,0.4,1676,0.2
"2","1","灯油",346,0.1,45.4,197,0.2,282,0.2,474,0.2,389,0.1,396,0.1,313,0.1,343,0.0
"2","1","プロパンガス",453,0.1,9.7,288,0.3,526,0.3,473,0.2,502,0.2,546,0.2,342,0.1,486,0.1
"2","1","理髪料",412,0.1,-5.7,119,0.1,205,0.1,367,0.2,380,0.1,517,0.2,614,0.1,680,0.1
"2","1","パーマネント代",215,0.1,-4.0,76,0.1,194,0.1,228,0.1,232,0.1,155,0.0,327,0.1,290,0.0
"2","1","洗濯代",527,0.2,3.3,60,0.1,209,0.1,360,0.2,406,0.2,650,0.2,835,0.2,1168,0.1
"2","1","新聞",2155,0.7,-3.1,1374,1.4,2128,1.3,2169,1.0,2138,0.8,2440,0.8,2313,0.6,2524,0.3
"2","1","私立小学校",366,0.1,-36.3,-,-,8,0.0,-,-,41,0.0,108,0.0,461,0.1,1965,0.2
"2","1","私立中学校",1264,0.4,19.7,-,-,88,0.1,3,0.0,139,0.1,174,0.1,801,0.2,7675,1.0
"2","1","私立高校",2614,0.8,-4.5,-,-,39,0.0,118,0.1,33,0.0,822,0.3,2167,0.5,15167,1.9
