"項目","階層","大分類","中分類","小分類","項目名","都平均／実数（円）","都平均／構成比（％）","35歳未満／実数（円）","35歳未満／構成比（％）","35～39歳／実数（円）","35～39歳／構成比（％）","40～44歳／実数（円）","40～44歳／構成比（％）","45～49歳／実数（円）","45～49歳／構成比（％）","50～54歳／実数（円）","50～54歳／構成比（％）","55～59歳／実数（円）","55～59歳／構成比（％）","60～64歳／実数（円）","60～64歳／構成比（％）","65歳以上／実数（円）","65歳以上／構成比（％）","（再掲）75歳以上／実数（円）","（再掲）75歳以上／構成比（％）"
"0","0","0","0","0","世帯数分布",10000,-,555,-,587,-,808,-,982,-,1194,-,963,-,919,-,3993,-,2115,-
"0","0","0","0","0","調査世帯数",637,-,34,-,38,-,52,-,63,-,73,-,60,-,60,-,258,-,136,-
"0","0","0","0","0","世帯人員",2.90,-,3.04,-,3.62,-,3.74,-,3.54,-,3.50,-,3.04,-,2.72,-,2.29,-,2.25,-
"0","0","0","0","0","有業人員",1.32,-,1.59,-,1.60,-,1.48,-,1.68,-,1.81,-,1.93,-,1.71,-,0.74,-,0.56,-
"0","0","0","0","0","世帯主平均年齢",59.6,-,30.9,-,37.0,-,42.0,-,47.1,-,51.9,-,56.9,-,62.1,-,75.9,-,81.2,-
"2","2","0","0","0","生計支出",329608,-,292313,-,318780,-,366211,-,366459,-,416534,-,373945,-,351269,-,278953,-,256486,-
"2","3","0","0","0","消費支出",324667,100.0,292313,100.0,312462,100.0,341801,100.0,363688,100.0,416534,100.0,372085,100.0,348527,100.0,273781,100.0,256486,100.0
"2","4","1","0","0","食料",88881,27.4,71035,24.3,80023,25.6,98615,28.9,96458,26.5,98694,23.7,100091,26.9,94187,27.0,82047,30.0,76798,29.9
"2","5","1","1","0","穀類",6719,2.1,4895,1.7,5868,1.9,7268,2.1,7569,2.1,7098,1.7,7451,2.0,6923,2.0,6462,2.4,5947,2.3
"2","6","1","1","1","米類",1647,0.5,1365,0.5,987,0.3,1471,0.4,1881,0.5,1746,0.4,1975,0.5,1669,0.5,1661,0.6,1592,0.6
