1,"東京都生計分析調査　令和 4年12月","","","","","","","","","","","","","","",""
2,"","","","","","","第６表　世帯人員別１世帯当たり１か月間の収入と用途別生計支出　―　勤労者世帯　―　","","","","","","","","",""
3,"","","","","","","注）1)は「住居」のほか、「自動車等購入」、「贈与金」、「仕送り金」を除いている。","","","","","","","","",""
4,"","","","","","","項目（0：世帯数等　1：受取　2：支払　3：可処分所得等）","","","","","","","","",""
5,"項目","階層","大分類","中分類","小分類","項目名","都平均／実数（円）","都平均／構成比（％）","2人／実数（円）","2人／構成比（％）","3人／実数（円）","3人／構成比（％）","4人／実数（円）","4人／構成比（％）","5人以上／実数（円）","5人以上／構成比（％）"
6,"0","0","0","0","0","世帯数分布",10000,-,2831,-,3212,-,2951,-,1006,-
7,"0","0","0","0","0","調査世帯数",332,-,94,-,105,-,97,-,36,-
8,"0","0","0","0","0","世帯人員",3.22,-,2.00,-,3.00,-,4.00,-,5.10,-
9,"0","0","0","0","0","有業人員",1.75,-,1.48,-,1.90,-,1.76,-,1.98,-
10,"0","0","0","0","0","世帯主平均年齢",50.8,-,55.4,-,52.2,-,46.0,-,47.1,-
11,"1","0","0","0","0","受取",2150724,-,1995902,-,2112156,-,2321283,-,2209261,-
12,"1","1","0","0","0","実収入",1307926,100.0,1076172,100.0,1399318,100.0,1431668,100.0,1305419,100.0
13,"1","2","0","0","0","経常収入",1277503,97.7,1049541,97.5,1368753,97.8,1396583,97.5,1278453,97.9
14,"1","3","0","0","0","勤め先収入",1217738,93.1,925339,86.0,1323231,94.6,1378004,96.3,1233760,94.5
15,"1","4","0","0","0","世帯主収入",1004033,76.8,747265,69.4,1100807,78.7,1138513,79.5,1023246,78.4
16,"1","6","0","0","0","うち男",969902,74.2,679780,63.2,1088861,77.8,1105912,77.2,1007683,77.2
17,"1","5","0","0","0","定期収入",448374,34.3,359131,33.4,473132,33.8,470681,32.9,555068,42.5
18,"1","5","0","0","0","臨時収入",6840,0.5,13174,1.2,2536,0.2,6873,0.5,2658,0.2
19,"1","5","0","0","0","賞与",548819,42.0,374960,34.8,625138,44.7,660959,46.2,465521,35.7
20,"1","4","0","0","0","世帯主の配偶者の収入",198886,15.2,157452,14.6,208832,14.9,225299,15.7,206271,15.8
